 	le	calme	de	cette	fille	inquiète	les	gens	</S>
p	0.697132	0.195709	0.0702695	0.0171171	0.00368073	0.00811006	0.00678961	0.0010838	0.000108651
í	0.223217	0.645202	0.0585599	0.0355263	0.00899869	0.0124018	0.00777873	0.00597062	0.00234568
í	0.0110044	0.845316	0.0372019	0.0222223	0.033789	0.013502	0.00585466	0.00860541	0.0225039
y	0.243045	0.569069	0.113956	0.0262031	0.00297691	0.00762928	0.00801216	0.00282101	0.0262873
á	0.0522339	0.560403	0.180905	0.0856645	0.0224317	0.0264218	0.0090208	0.00243662	0.0604828
m	0.127946	0.0624482	0.330041	0.352051	0.0567072	0.00987874	0.0198866	0.0177799	0.0232621
w	0.0254028	0.0278955	0.0884083	0.204681	0.634171	0.0031857	0.00369305	0.00759287	0.00496972
á	0.0123422	0.0162521	0.0402154	0.119381	0.731414	0.00620059	0.0141518	0.0549988	0.00504499
n	0.117118	0.00938911	0.0357246	0.0746466	0.679214	0.00492365	0.0122303	0.0368007	0.0299527
a	0.0308245	0.0159312	0.0247688	0.10752	0.711893	0.0141743	0.0126276	0.0146569	0.0676042
o	0.127759	0.133169	0.290786	0.343594	0.0410285	0.0383873	0.0176112	0.00357383	0.00409067
y	0.0336728	0.12474	0.202	0.35013	0.163239	0.100881	0.0106987	0.00305794	0.0115802
ú	0.0622825	0.0749121	0.19403	0.291352	0.150478	0.163253	0.0325965	0.00253405	0.0285625
r	0.0916005	0.0300786	0.230889	0.212748	0.0386729	0.134502	0.0771037	0.00401799	0.180387
u	0.0700708	0.0778831	0.141149	0.593727	0.0457345	0.0344719	0.0201578	0.006638	0.0101685
w	0.0125743	0.0163955	0.234485	0.242673	0.131898	0.255686	0.0715674	0.0125025	0.0222178
ó	0.026662	0.020336	0.206096	0.335782	0.096105	0.123471	0.0459112	0.0728102	0.0728267
y	0.0126085	0.0119838	0.193188	0.148046	0.0508214	0.189122	0.0761411	0.0283613	0.289728
ε	0.0602376	0.0662916	0.210527	0.363971	0.0877446	0.100483	0.0457906	0.0421311	0.0228229
έ	0.0104187	0.00741329	0.0947278	0.0914949	0.0378829	0.208301	0.183938	0.0782745	0.287549
p	0.00962443	0.0160382	0.0196711	0.0211856	0.0217132	0.274706	0.23295	0.0956963	0.308415
έ	0.0014987	0.010239	0.0159189	0.0167928	0.0142828	0.353413	0.162272	0.180642	0.244941
b	0.0173698	0.0464004	0.0795548	0.0492277	0.0354672	0.238991	0.157274	0.16327	0.212445
a	0.0232984	0.0114577	0.085414	0.0631303	0.0888321	0.129184	0.159742	0.364841	0.0741002
r	0.000426494	0.000571235	0.00233187	0.00336763	0.0284423	0.0254603	0.0702781	0.610808	0.258314
e	0.00149957	0.00185487	0.00887503	0.0185873	0.0210324	0.0446755	0.116868	0.548495	0.238112
b	0.00212567	0.00243	0.0165611	0.0197124	0.0241876	0.0575342	0.2582	0.302069	0.31718
ώ	0.000719661	0.000240949	0.0051674	0.00152977	0.00274269	0.0125651	0.146857	0.815105	0.0150727
m	0.000846669	0.00023993	0.00189189	0.000891832	0.00251372	0.0187089	0.0891826	0.737694	0.148031
ώ	0.00622238	0.00492387	0.0171945	0.0111729	0.00924431	0.0689536	0.186106	0.31389	0.382292
</S>	0.00284055	0.00204472	0.0165657	0.007529	0.00307331	0.0350754	0.153077	0.136417	0.643377
