 	il	y	a	des	mangues	par	terre	dans	la	cour	</S>
a	0.210856	0.290097	0.256206	0.22155	0.0130965	0.00280659	0.00118311	0.0034974	0.000626668	2.79352e-05	5.25895e-05
m	0.137221	0.361408	0.194396	0.123952	0.147171	0.0146269	0.00411702	0.00158477	0.00843041	0.00417343	0.00291919
b	0.00675207	0.00903135	0.0388597	0.109619	0.808208	0.019201	0.001591	0.00246661	0.00100355	0.000162118	0.00310599
á	0.000419222	0.000436696	0.00122846	0.0111995	0.979722	0.00174412	0.00250848	0.00195289	0.000237062	0.000293011	0.000258993
n	0.00305562	0.00188234	0.00323163	0.00937074	0.974696	0.00178865	0.00363515	0.000364776	0.000170515	0.000684731	0.00112
g	0.0466418	0.0240364	0.0721108	0.251217	0.571901	0.00947035	0.00624198	0.00368262	0.000903845	0.000925889	0.0128679
é	0.118429	0.075738	0.107168	0.229441	0.445157	0.00894892	0.00812538	0.00222465	0.00038765	0.000631182	0.00374839
á	0.0458228	0.0677886	0.426455	0.148302	0.0650645	0.190924	0.0245675	0.0159889	0.00303724	0.000205975	0.0118427
d	0.00413153	0.0152871	0.0494935	0.0406491	0.0528613	0.600076	0.190494	0.0193709	0.0177739	0.00202466	0.00783809
í	0.00279699	0.00362905	0.0481121	0.069006	0.095673	0.60848	0.0554051	0.0451673	0.0233746	0.00387003	0.0444856
b	0.00257511	0.00244298	0.0642748	0.129862	0.0472831	0.309168	0.105469	0.166716	0.0825502	0.0124893	0.0771698
ω	0.0110124	0.02056	0.029423	0.0423531	0.0127649	0.36277	0.402616	0.0562184	0.043075	0.0154661	0.00374108
b	0.00349082	0.00889501	0.0222405	0.0106013	0.0258085	0.218889	0.533398	0.100549	0.0389017	0.0166958	0.0205305
ω	0.01799	0.00879248	0.0153562	0.0061743	0.00397714	0.101482	0.618506	0.0949013	0.048932	0.0183251	0.0655632
s	0.00186824	0.00185775	0.0135615	0.0129821	0.012215	0.131443	0.145479	0.478451	0.115257	0.0242746	0.0626109
á	0.00206005	0.00338375	0.00663498	0.0104553	0.00451092	0.0622181	0.42761	0.284237	0.0787027	0.0462206	0.0739659
l	0.00583497	0.00236965	0.00859383	0.0156833	0.00307825	0.00901708	0.0416561	0.241919	0.214568	0.446293	0.010987
e	0.00281384	0.00200851	0.00691848	0.00412077	0.00861007	0.0310815	0.0425783	0.0828116	0.236886	0.476979	0.105192
p	0.000824652	0.00077673	0.00226097	0.00239336	0.00317667	0.0129495	0.0250901	0.046784	0.34439	0.474359	0.0869952
á	0.000625319	0.00152463	0.00166567	0.0011285	0.000552214	0.0181882	0.0389975	0.0203368	0.346163	0.52755	0.0432676
n	0.00074294	0.00222682	0.00185534	0.00163889	0.00097846	0.0269014	0.00620221	0.0303402	0.186986	0.637603	0.104525
g	0.000573843	0.00206997	0.000937305	0.000405532	0.00187917	0.0175921	0.0500147	0.0473629	0.179668	0.599636	0.0998606
e	0.00812778	0.00636479	0.0054296	0.00481814	0.00508651	0.0097156	0.131219	0.0879247	0.0300003	0.492906	0.218407
</S>	0.00167942	0.00285182	0.00519945	0.00311422	0.00335824	0.0129127	0.00656477	0.115068	0.159449	0.108072	0.58173
