 	elle	habite	tout	au	bout	du	village	</S>
w	0.98481	0.00291711	0.00395976	0.00102166	0.00092432	0.00591957	0.000366025	8.16134e-05
a	0.967368	0.000902038	0.00529142	0.00435161	0.00236393	0.0191265	0.00055637	3.98202e-05
l	0.291382	0.40021	0.11768	0.0513787	0.0455181	0.042458	0.000846604	0.0505269
á	0.188282	0.062209	0.104716	0.070049	0.0137148	0.0202918	0.00139431	0.539342
a	0.483256	0.0399025	0.127399	0.0456561	0.0167753	0.0772608	0.00129422	0.208457
d	0.0155497	0.946614	0.0197302	0.00595308	0.00429446	0.000549869	0.00309613	0.0042128
z	0.000512987	0.980259	0.00302308	0.00377817	0.0098237	5.06037e-05	2.32833e-05	0.00252875
e	0.0394671	0.921952	0.0242518	0.00555213	0.00733356	0.000137144	0.000122035	0.00118448
e	0.0834457	0.617616	0.142836	0.0318928	0.0328926	0.00325929	0.000589987	0.0874674
m	0.0051339	0.0351793	0.446833	0.302837	0.111732	0.0174644	0.00362015	0.0772005
á	0.0214857	0.0195491	0.397289	0.380473	0.0494848	0.0595152	0.0003973	0.0718064
á	0.00836975	0.00326021	0.425683	0.447432	0.0636273	0.0438443	0.00128135	0.00650234
ó	0.00187872	0.00176967	0.0683267	0.514759	0.349914	0.0513378	0.00129985	0.010715
i	0.00167561	0.00193785	0.0608974	0.314518	0.570764	0.0296309	0.014823	0.00575332
s	0.00140469	0.0111319	0.0281963	0.304991	0.588084	0.0353305	0.0130941	0.0177673
ú	0.000144799	0.0321769	0.0130381	0.303815	0.602446	0.0249809	0.00385369	0.0195447
u	0.000387153	0.00299117	0.0469593	0.317131	0.454471	0.0799412	0.0173354	0.0807834
l	0.000525289	5.03588e-05	0.0298087	0.108957	0.0881368	0.468269	0.0507846	0.253468
á	0.00361907	0.000391309	0.0428203	0.157358	0.0836571	0.252336	0.118236	0.341582
p	0.0111373	0.000925556	0.035855	0.140125	0.0875973	0.275779	0.377028	0.0715535
o	0.00183843	0.000199336	0.00457813	0.00821012	0.0145491	0.0103378	0.951606	0.00868114
o	9.84931e-05	0.000261204	0.000361945	0.00073803	0.00325197	0.00145179	0.991069	0.00276723
</S>	0.000437544	3.78582e-05	0.00898955	0.0377473	0.0454412	0.187307	0.0144277	0.705612
