 	j'	ai	de	l'	antipathie	pour	cet	homme	</S>
n	0.5889	0.0443549	0.0436552	0.0625655	0.223115	0.0240305	0.00883775	0.00360936	0.00093205
g	0.98745	0.00461997	0.00145062	0.0050681	0.000393442	0.000656044	0.000162557	0.000162014	3.74951e-05
á	0.920065	0.0544795	0.0108836	0.0124587	0.00076227	0.000409964	0.00073281	4.45289e-05	0.000163375
i	0.0666081	0.242986	0.161992	0.183083	0.0259476	0.0410182	0.0939209	0.022165	0.162278
d	0.00582119	0.341195	0.482805	0.0290232	0.0134782	0.00901155	0.0180424	0.0269704	0.0736529
í	0.00875673	0.612311	0.274533	0.0259904	0.00221571	0.00316652	0.00456431	0.00118546	0.0672771
l	0.0360107	0.127445	0.353668	0.365208	0.0170734	0.0271524	0.00843937	0.00141837	0.0635851
a	0.0112375	0.240882	0.358942	0.214686	0.0121812	0.0255169	0.0125454	0.000794108	0.123215
o	0.011697	0.204574	0.29915	0.319782	0.0565589	0.0314305	0.0151827	0.00233391	0.0592905
b	0.00126956	0.0589262	0.239173	0.234225	0.238077	0.0235119	0.0199185	0.1055	0.0793996
h	0.000204865	0.0279919	0.0921864	0.0562629	0.726581	0.0199218	0.00589637	0.0667826	0.00417226
i	0.000305128	0.00807408	0.0413022	0.0164839	0.914596	0.00525016	0.00282488	0.00666936	0.00449462
n	0.0082726	0.0141028	0.104909	0.169081	0.509911	0.0627915	0.030217	0.0533133	0.0474022
i	0.000256065	0.00424166	0.0425651	0.0552842	0.7276	0.0323705	0.00510835	0.00580976	0.126764
m	0.00268452	0.0140779	0.0578108	0.222627	0.299241	0.268286	0.0464388	0.0307511	0.0580818
á	0.000390653	0.00391979	0.0099578	0.0987247	0.0454881	0.326025	0.17903	0.0543625	0.282101
i	0.00289868	0.0120009	0.0212388	0.169361	0.062589	0.285475	0.298533	0.100827	0.047077
b	0.000191374	0.00553988	0.0174404	0.0207133	0.082027	0.0845669	0.212163	0.441992	0.135366
a	5.03787e-05	0.00372943	0.0103099	0.0173083	0.0951469	0.0222355	0.0251561	0.816438	0.00962539
a	1.67074e-05	0.00022535	0.00180095	0.00587355	0.0640849	0.0262087	0.0354556	0.76529	0.101044
d	0.000268741	0.00421394	0.0101283	0.0218162	0.0135631	0.11277	0.208536	0.194848	0.433856
í	0.000243352	0.00513987	0.0194781	0.0285327	0.00199668	0.033093	0.0624012	0.0108456	0.83827
</S>	0.000901342	0.00340632	0.00791398	0.0349717	0.00484456	0.0801561	0.180413	0.100064	0.58733
