 	l'	abondance	de	nourriture	me	rend	gai	</S>
o	0.909602	0.0537022	0.023455	0.0120383	0.000534123	0.000546008	9.18333e-05	3.08772e-05
y	0.0966277	0.846788	0.0390235	0.00190526	0.00385515	0.0053765	0.00212534	0.00429804
í	0.0455271	0.930442	0.0166439	0.000396606	0.00135271	0.00252875	0.000496023	0.00261285
í	0.0152051	0.755251	0.0540221	0.00350858	0.0113891	0.0139325	0.00639239	0.1403
m	0.275415	0.245942	0.329067	0.0967959	0.0204635	0.00550185	0.000586538	0.0262278
á	0.34552	0.0321024	0.403788	0.15123	0.0277748	0.0115844	0.00484183	0.0231589
b	0.085115	0.0207346	0.463389	0.297456	0.107336	0.00795428	0.00186245	0.0161532
e	0.0231809	0.0288494	0.126027	0.606805	0.152275	0.0203378	0.0250689	0.0174561
a	0.00955748	0.00900751	0.162712	0.727585	0.0621468	0.00969658	0.00493318	0.0143614
b	0.0217453	0.0209072	0.169506	0.166618	0.4483	0.119198	0.0065335	0.0471922
í	0.00733436	0.0215401	0.0668726	0.133027	0.519871	0.156938	0.0318967	0.0625197
d	0.00883492	0.0185021	0.112353	0.248322	0.390742	0.0861385	0.0255222	0.109586
z	0.000408363	0.0148391	0.00572354	0.00303092	0.818533	0.0831247	0.0060306	0.0683093
á	0.00264716	0.0190658	0.108678	0.0288912	0.53257	0.122614	0.036292	0.149242
a	0.00287218	0.00469196	0.0858667	0.12111	0.0700881	0.424588	0.170388	0.120394
m	0.00781265	0.0051062	0.0509114	0.0326856	0.341203	0.257394	0.151748	0.153139
ó	0.0325634	0.00436262	0.0382327	0.0140736	0.0751626	0.179543	0.294058	0.362005
o	0.00613038	0.00470672	0.0162129	0.00538677	0.0181456	0.108021	0.780637	0.0607597
p	0.000823717	0.00997262	0.00304829	0.000560762	0.011183	0.165716	0.72071	0.087986
έ	0.000756261	0.0124036	0.0103688	0.00449911	0.00555673	0.348126	0.376703	0.241586
n	0.00746993	0.00511913	0.0451994	0.0276703	0.0593089	0.310143	0.389381	0.155709
g	0.0124294	0.0180012	0.0158929	0.042971	0.27756	0.179207	0.286206	0.167732
á	0.00892189	0.0100546	0.0467757	0.0372667	0.243118	0.0741407	0.219142	0.360581
e	0.0028131	0.00117622	0.0206523	0.00542541	0.0143949	0.0567586	0.746287	0.152493
s	0.00317533	0.0136694	0.0159175	0.00438064	0.0145266	0.103047	0.644825	0.200459
ε	0.00337231	0.0295369	0.01584	0.000361992	0.0591839	0.0644062	0.403949	0.423349
</S>	0.000545843	0.000306989	0.00126651	0.000116947	0.00656863	0.0200211	0.27096	0.700214
