 	j'	ai	échappé	à	la	mort	pendant	la	guerre	</S>
n	0.815723	0.0792322	0.0103736	0.0586988	0.0100587	0.0066604	0.00427913	0.00673221	0.00739909	0.000843054
g	0.961864	0.0363314	8.0313e-05	0.00113608	0.000179692	4.37195e-05	2.53606e-05	9.36587e-05	0.00023995	5.41691e-06
á	0.925467	0.071504	0.000225695	0.000392597	0.000928442	0.000253102	0.000117188	0.000217281	0.000869304	2.48451e-05
l	0.0749214	0.697477	0.012967	0.0412641	0.0286889	0.0132993	0.00716651	0.00846726	0.0197497	0.0959986
a	0.345565	0.454062	0.0177274	0.0312907	0.029293	0.0192701	0.0123505	0.00748931	0.019691	0.0632613
b	0.0692626	0.131464	0.0894011	0.0996722	0.212668	0.0754095	0.0512083	0.0226105	0.00566652	0.242638
h	0.00682652	0.168163	0.736316	0.0140413	0.0287729	0.00995351	0.00508846	0.00551321	0.0198377	0.00548686
ó	0.00024599	0.0308881	0.938857	0.00747687	0.0103852	0.00312244	0.000587721	0.000278985	0.00735586	0.000801794
l	0.00388058	0.0641277	0.386451	0.173044	0.248509	0.0686582	0.0177753	0.0120051	0.0173346	0.00821447
á	0.00235044	0.0193888	0.171612	0.162246	0.299502	0.1584	0.081351	0.030665	0.00487471	0.0696109
l	0.00322118	0.0143669	0.00588505	0.427277	0.217605	0.21899	0.0654781	0.0320598	0.0079749	0.00714239
a	0.00339773	0.00901189	0.00848138	0.0992012	0.393113	0.223578	0.111431	0.0190225	0.00260057	0.130162
l	0.00124609	0.00209449	0.00430903	0.189632	0.275933	0.316309	0.124602	0.0243164	0.00526498	0.056293
e	0.0020954	0.00862171	0.00686463	0.053564	0.27369	0.294672	0.199495	0.04527	0.00202989	0.113697
k	7.48837e-05	0.000659526	0.00131404	0.0365135	0.154434	0.23873	0.323337	0.146862	0.00589156	0.0921832
ú	7.45989e-05	0.00104102	0.00705982	0.0101425	0.184935	0.314442	0.334094	0.0705831	0.00332731	0.0743012
s	0.00301141	0.00203455	0.0027156	0.0121263	0.25754	0.169762	0.222493	0.172687	0.0389901	0.118641
á	0.0192968	0.00145841	0.00086423	0.0181199	0.159407	0.12479	0.270077	0.257052	0.0283464	0.120588
b	0.000216631	0.00101547	0.000425804	0.0180062	0.0178382	0.0278339	0.103653	0.27571	0.298413	0.256887
i	0.000472102	0.000611759	0.00232281	0.00555479	0.0103173	0.0240649	0.0836146	0.155969	0.643842	0.0732316
r	4.66085e-05	0.000354604	0.00034027	0.00180734	0.00127823	0.00240222	0.010832	0.0517858	0.897573	0.0335798
á	0.000156726	0.000318296	0.000105564	0.00124326	0.00944543	0.00613067	0.0343968	0.150428	0.696558	0.101218
</S>	7.78214e-05	0.000403353	6.49686e-05	0.00444495	0.00301237	0.00515726	0.0229065	0.0576119	0.0898334	0.816487
