 	la	bouteille	d'	eau	s'	est	cassée	</S>
o	0.696248	0.187815	0.0859127	0.0139977	0.0111739	0.00355299	0.000709274	0.000591193
l	0.058238	0.91192	0.0159456	0.00387971	0.00463121	0.00187652	0.00241332	0.00109559
a	0.0365576	0.847319	0.0488782	0.00195594	0.0197153	0.00597941	0.00837308	0.0312217
n	0.0292402	0.904683	0.0324073	0.00554013	0.00354986	0.00256859	0.00223131	0.01978
g	0.16523	0.569681	0.129521	0.0142311	0.0177975	0.00525673	0.00362886	0.0946536
e	0.21602	0.548187	0.148262	0.0102243	0.014728	0.00209493	0.00417065	0.0563139
m	0.130746	0.0365329	0.559811	0.13113	0.0829718	0.0288668	0.00209128	0.0278508
á	0.177357	0.00874154	0.201435	0.455499	0.111011	0.0341191	0.00140691	0.0104299
m	0.132083	0.0319703	0.229548	0.511491	0.0661013	0.0153866	0.00403168	0.00938693
á	0.00589053	0.0080438	0.0342423	0.857938	0.0665168	0.0219306	0.00105293	0.00438546
a	0.0407235	0.0209624	0.174039	0.445952	0.201225	0.0840013	0.0122265	0.0208702
ó	0.00818173	0.00346812	0.0636953	0.172317	0.352785	0.334337	0.0167341	0.0484817
m	0.0223694	0.00798663	0.0169612	0.021798	0.337586	0.525299	0.0399585	0.028041
i	0.00905913	0.00332678	0.0182541	0.108366	0.161966	0.509226	0.110076	0.0797252
b	0.00359518	0.00437951	0.00541636	0.00941364	0.112624	0.343322	0.43372	0.0875288
o	0.00058668	0.00094099	0.00225318	0.00101075	0.0138308	0.0290285	0.919302	0.0330468
n	0.000916633	0.0024247	0.0186712	0.00298512	0.0572229	0.144183	0.544944	0.228652
d	0.0246665	0.0122911	0.0451968	0.0186897	0.0769421	0.0291844	0.568659	0.224371
z	0.00560046	0.00284205	0.0196169	0.00622224	0.0183184	0.008358	0.832228	0.106814
a	0.00348027	0.00175361	0.00941641	0.00186951	0.0157146	0.0107024	0.868482	0.0885809
</S>	0.00721348	0.0013483	0.0217061	0.0369247	0.115485	0.190224	0.160183	0.466915
