 	cette	femme	lance	des	in	jures	obscènes	parce	qu'	elle	est	folle	</S>
o	0.900405	0.0602094	0.0113899	0.0120476	0.0044352	0.00175006	0.0030437	0.00441665	0.00123951	0.000716386	0.000235993	4.75028e-05	6.28802e-05
y	0.0447451	0.942568	0.00796665	0.000888247	0.0010039	0.00173972	0.000140527	0.000189987	7.57876e-05	4.19878e-05	8.54097e-05	0.000397816	0.000157284
ú	0.805835	0.189091	0.00194132	0.00105742	0.00107995	0.000528341	0.00020589	0.000105479	3.67647e-05	1.42031e-05	3.65693e-05	3.47777e-05	3.33953e-05
r	0.764301	0.230618	0.000576812	0.000132978	0.000322456	0.000465152	0.000105204	0.000197662	9.73052e-05	4.28078e-05	0.000129217	0.00238627	0.000625582
u	0.840819	0.0282606	0.0610148	0.0165075	0.00907469	0.0116798	0.00386462	0.00589566	0.0034332	0.00197097	0.00192278	0.0123324	0.00322389
w	0.387235	0.118715	0.330798	0.0805841	0.024284	0.00343137	0.00182975	0.0147985	0.00819695	0.00801541	0.00829226	0.000985832	0.0128332
ó	0.150881	0.0296017	0.279276	0.136147	0.0446234	0.00600959	0.0122802	0.0620704	0.069262	0.0812171	0.0298121	0.0319711	0.0668479
l	0.0128918	0.000628401	0.690346	0.202292	0.0271938	0.00207166	0.00438445	0.0134041	0.015113	0.00998753	0.0066919	0.00323854	0.0117576
á	0.0117558	0.00197436	0.186624	0.165385	0.0772262	0.0114475	0.0137822	0.0361527	0.0394587	0.0433714	0.0652271	0.0418054	0.30579
a	0.0717437	0.00947922	0.170583	0.448472	0.141923	0.0318878	0.0101126	0.0147079	0.0118216	0.00967616	0.0133356	0.0201339	0.0461239
k	0.00750015	0.00331136	0.044261	0.171276	0.531781	0.219749	0.00727481	0.0013433	0.00182794	0.00369651	0.002976	0.000639247	0.0043635
y	0.000569818	7.14496e-05	0.0780487	0.303694	0.166257	0.38317	0.0215148	0.00437869	0.00637843	0.0108932	0.00828757	0.000658459	0.0160785
á	0.00679035	0.000347657	0.0398238	0.212667	0.359682	0.307274	0.0201288	0.00408292	0.00730648	0.0102926	0.00647813	0.0031364	0.0219898
i	0.00164361	3.84702e-05	0.00771494	0.0870299	0.142731	0.516267	0.0810126	0.0341828	0.032632	0.0366247	0.0148423	0.00239318	0.0428878
t	0.000487835	4.76898e-05	0.00637985	0.0328827	0.201864	0.573666	0.112536	0.0150524	0.0135776	0.0130782	0.00577614	0.00896429	0.015688
ú	0.0001508	4.48415e-06	0.00443219	0.016358	0.0438653	0.66879	0.226196	0.00531476	0.00952667	0.0130148	0.00446447	0.00211728	0.00576519
u	0.000792526	1.99834e-05	0.00268015	0.0106118	0.023289	0.808771	0.0869959	0.00356051	0.00596452	0.00675121	0.00631803	0.012163	0.0320825
b	0.0045023	2.62808e-05	0.00289079	0.0136196	0.0455124	0.524551	0.149458	0.0576743	0.0629755	0.0240858	0.0232394	0.0109774	0.0804869
á	0.00387888	0.000313458	0.00193686	0.0178183	0.0189176	0.131404	0.185105	0.46199	0.119315	0.0427494	0.00574401	0.00171749	0.00911061
t	0.00135281	2.10393e-05	0.00170977	0.00283464	0.00579619	0.028659	0.156262	0.425009	0.269381	0.0736811	0.0118942	0.00303379	0.0203652
s	0.00036977	5.85493e-06	0.00212937	0.00357889	0.00746873	0.201067	0.220927	0.227148	0.233362	0.0652995	0.0148836	0.0098427	0.0139174
