 	la	souris	est	prise	au	piège	</S>
o	0.941927	0.0491126	0.00752771	0.000174386	0.000905482	0.000322268	3.02288e-05
b	0.0372998	0.94567	0.0134451	0.00256177	0.000539459	0.000190806	0.000293215
v	0.00946613	0.985933	0.00189102	0.0014729	0.000232576	0.000747196	0.000256867
u	0.0127546	0.965375	0.0137495	0.00291526	0.00100769	0.00382054	0.000377962
a	0.507962	0.365626	0.101816	0.0045161	0.00933397	0.00220446	0.00854127
ó	0.275302	0.0903312	0.544688	0.0314188	0.023291	0.0010762	0.0338929
m	0.0280488	0.0328629	0.671447	0.214462	0.0374969	0.00194629	0.0137363
i	0.0564923	0.0152797	0.230541	0.312928	0.290615	0.0155704	0.0785729
t	0.00144408	0.0283901	0.0928583	0.845816	0.0228727	0.000603783	0.00801533
u	0.000331157	0.00496457	0.0323455	0.94356	0.0122835	0.000680736	0.00583425
s	0.00116819	0.00401065	0.100059	0.75729	0.0846578	0.00365206	0.0491629
á	0.0414206	0.00377208	0.196895	0.492087	0.195649	0.0139075	0.0562688
ó	0.0231224	0.00196094	0.0362699	0.0566419	0.3788	0.445732	0.0574724
b	0.00534221	0.00270473	0.0335596	0.0504601	0.220019	0.634826	0.0530888
ó	0.00676076	0.00383315	0.0126141	0.0235347	0.0500034	0.868854	0.0343994
y	0.000587686	0.00309956	0.0218722	0.206856	0.0957947	0.502401	0.169389
a	0.00224599	0.00371149	0.0297932	0.238144	0.186373	0.301568	0.238164
</S>	0.00332997	0.00106306	0.0144586	0.013677	0.215692	0.231354	0.520425
