 	cet	enfant	est	rusé	</S>
m	0.86163	0.135	0.00276192	0.000362625	0.000244639
w	0.0640401	0.909064	0.0181548	0.000562425	0.00817821
á	0.0022446	0.997752	1.29921e-06	3.78926e-07	1.51077e-06
n	0.182563	0.815155	0.000381099	1.38605e-05	0.00188637
a	0.169341	0.614674	0.00864212	0.00111648	0.206227
w	0.923956	0.0148674	0.0339745	0.0128241	0.0143782
ó	0.596356	0.210268	0.112001	0.0318481	0.0495267
a	0.158782	0.0394291	0.487598	0.0627636	0.251427
d	0.00545922	0.00182636	0.81067	0.124048	0.0579969
í	0.00451055	0.0017239	0.323926	0.0439495	0.62589
l	0.0216094	0.00584878	0.22006	0.221	0.531481
o	0.00199503	0.000427644	0.297254	0.246218	0.454106
y	0.00181219	0.000828951	0.0645573	0.724681	0.208121
έ	0.00927912	0.00165509	0.0899186	0.477965	0.421183
l	0.00455231	0.00133866	0.0681333	0.464191	0.461784
i	0.00251041	0.000958885	0.110092	0.380117	0.506322
</S>	0.00245189	0.000101111	0.126891	0.162712	0.707844
