 	il	m'	a	donné	un	panier	de	safous	bien	mûrs	</S>
w	0.76461	0.209093	0.0193485	0.0015568	0.000785815	0.00202951	0.00208073	0.000131239	0.000320165	2.11037e-05	2.28413e-05
a	0.801964	0.1658	0.0101139	0.00365481	0.00518233	0.0069131	0.00449776	0.000558478	0.00116541	3.90257e-05	0.000111208
á	0.0979879	0.543222	0.30057	0.036775	0.00951258	0.00375447	0.00359847	0.000991133	0.00246227	0.000559806	0.000566628
p	0.00988733	0.0427962	0.692308	0.194989	0.0186744	0.00238574	0.00159763	0.00790828	0.018569	0.00171357	0.00917073
έ	0.00342978	0.00519777	0.250649	0.548865	0.0883515	0.0271793	0.0163423	0.0125843	0.00812037	0.00942269	0.0298588
ε	0.0104903	0.0298542	0.261764	0.404664	0.175883	0.0857241	0.0171679	0.00274246	0.00244327	0.00240226	0.00686471
n	0.0367829	0.413739	0.0864629	0.084548	0.107409	0.149732	0.0813713	0.0133923	0.00406658	0.00234632	0.0201488
g	0.0472446	0.665165	0.0569997	0.0619364	0.0561312	0.0567976	0.0232428	0.0272059	0.000488288	3.62464e-05	0.00475253
á	0.0117484	0.727587	0.0578904	0.0746533	0.0658026	0.0371271	0.00745113	0.00674397	0.000980541	0.000649692	0.00936576
m	0.0140639	0.0410058	0.0307642	0.0544111	0.165155	0.486587	0.181526	0.0162378	0.00490826	0.00273474	0.00260613
ú	0.00852313	0.00375265	0.0101305	0.0171954	0.276327	0.400155	0.190063	0.0297242	0.00676069	0.00047327	0.0568957
a	0.00492855	0.00446926	0.0417975	0.0275476	0.603681	0.191708	0.045716	0.0199441	0.0188867	0.00688222	0.0344388
m	0.00122709	0.000430693	0.0103062	0.0560206	0.226662	0.401098	0.195014	0.0180043	0.0603227	0.0207676	0.0101465
á	0.00616963	0.00139049	0.00578456	0.00795525	0.0997314	0.19062	0.161726	0.0765371	0.127599	0.0170298	0.305457
k	0.00973742	0.00655465	0.018584	0.0346026	0.0974798	0.136837	0.131196	0.119864	0.238977	0.186156	0.0200121
í	0.00103728	0.000441786	0.0036643	0.0340879	0.124287	0.313243	0.0920218	0.0176738	0.0431397	0.344703	0.0257001
l	0.00148447	0.00249705	0.00524924	0.0550214	0.035508	0.0948946	0.0996264	0.0612082	0.0258814	0.552126	0.0665037
i	0.000302995	6.81032e-05	0.00210594	0.0393479	0.0265286	0.0779344	0.133458	0.0406077	0.0613779	0.41166	0.206608
</S>	0.000243418	0.000229293	0.00283144	0.00633176	0.0124401	0.0188022	0.0479523	0.0354063	0.304137	0.282313	0.289314
