 	cette	plaine	a	des	sauterelles	</S>
o	0.751573	0.186953	0.0321174	0.0126117	0.0149439	0.0018015
l	0.0556489	0.898718	0.0380129	0.00360338	0.00160292	0.00241357
ω	0.024968	0.707232	0.110337	0.0420751	0.00197312	0.113415
n	0.0446797	0.716621	0.131804	0.0525762	0.0164927	0.0378266
g	0.130079	0.582291	0.151938	0.0519737	0.00504555	0.078673
ώ	0.385618	0.36107	0.0238834	0.0344775	0.0148094	0.180142
m	0.541855	0.0973306	0.211588	0.116092	0.0118227	0.0213111
ú	0.573641	0.00272942	0.081983	0.17091	0.118126	0.0526105
ó	0.0444609	0.0131565	0.448276	0.321318	0.0388852	0.133903
d	0.072905	0.0175431	0.343248	0.432869	0.0297534	0.103682
í	0.00335321	0.000764327	0.0353673	0.217412	0.0722365	0.670867
l	0.0516485	0.00108179	0.0637016	0.440542	0.20998	0.233047
a	0.00781867	0.0087197	0.0969917	0.262396	0.210042	0.414032
m	0.0244599	0.00398188	0.0528687	0.211491	0.517595	0.189604
b	0.00105524	9.53215e-05	0.00710546	0.0727379	0.904682	0.0143245
á	0.00223316	0.000174707	0.0111306	0.106773	0.861221	0.0184669
s	0.000814469	3.71669e-05	0.00364735	0.0592552	0.888941	0.0473051
i	0.0174698	0.0190444	0.0607453	0.272215	0.207011	0.423515
</S>	0.00705205	0.00640095	0.0893569	0.158824	0.0418981	0.696468
