 	angelique	otsana	danse	</S>
a	0.997791	0.00133622	0.000807515	6.49564e-05
n	0.9595	0.0367924	0.00270206	0.0010055
d	0.401725	0.232697	0.0373764	0.328202
z	0.844322	0.0986035	0.019765	0.0373094
e	0.652421	0.109554	0.0807345	0.157291
é	0.331525	0.288282	0.121687	0.258506
n	0.038804	0.821424	0.0436208	0.0961508
a	0.144645	0.702086	0.00995405	0.143315
o	0.0131591	0.677116	0.0626682	0.247057
t	0.00467334	0.674966	0.276311	0.0440506
s	0.00171892	0.578246	0.207818	0.212217
a	0.00445324	0.423192	0.296141	0.276214
n	0.00946093	0.0790705	0.460753	0.450716
a	0.0248801	0.10449	0.56141	0.30922
l	0.00278969	0.322932	0.153452	0.520827
á	0.000824704	0.167288	0.152868	0.679019
a	0.00610464	0.176114	0.449626	0.368155
k	0.0130295	0.22118	0.391188	0.374602
w	0.00144077	0.100499	0.626129	0.271932
ε	0.0139401	0.0926889	0.492641	0.40073
r	0.000231109	0.016882	0.341356	0.641531
έ	0.0134475	0.27771	0.228633	0.480209
b	0.000402807	0.0250719	0.0640752	0.91045
v	0.00407671	0.0215559	0.222325	0.752042
a	0.00184684	0.00526434	0.771113	0.221776
n	0.00134296	0.00922787	0.154479	0.834951
g	0.00389218	0.0449509	0.0537385	0.897418
a	0.000498696	0.00557095	0.0252018	0.968729
</S>	0.00330798	0.0179999	0.028636	0.950056
