 	la	tempête	a	emporté	le	toit	de	l'	école	</S>
e	0.910356	0.0677683	0.0138998	0.0010828	0.00377515	0.00104703	0.00127093	0.000719483	6.18736e-05	1.80727e-05
p	0.103796	0.868009	0.0206935	0.00214138	0.00122401	0.00270492	0.000674889	0.00018171	7.14309e-05	0.000503225
f	0.00313278	0.966559	0.0101344	0.00726284	0.000546577	0.00728772	0.00190543	0.000410208	0.00223445	0.000526468
u	0.0122993	0.972554	0.00939567	0.00201181	0.00118972	0.00121553	0.000521411	0.000262501	0.000213405	0.000337099
b	0.0215347	0.947626	0.0145939	0.00404534	0.00123084	0.00179084	0.00217156	0.00212665	0.0010423	0.00383778
h	0.0893189	0.48839	0.131614	0.0939339	0.0390109	0.0169332	0.0355504	0.012413	0.017935	0.0749012
á	0.291551	0.413149	0.121184	0.0428815	0.0230202	0.0125871	0.0155556	0.00492407	0.00182291	0.0733255
é	0.145189	0.00991341	0.786891	0.0340557	0.0135882	0.00146248	0.00214557	0.00143919	0.000347741	0.00496774
m	0.022071	0.00356533	0.585029	0.284695	0.0637231	0.0211743	0.00505039	0.00209386	0.00109929	0.0114984
i	0.0797948	0.003143	0.160758	0.09685	0.348098	0.180225	0.0755096	0.0406509	0.00183381	0.0131369
t	0.0103436	0.00787318	0.0716149	0.666647	0.110264	0.10681	0.0126809	0.00302269	0.00112877	0.00961454
y	0.000281747	0.00587997	0.00975038	0.906874	0.0107674	0.0508352	0.00541374	0.00074787	0.000626262	0.00882327
έ	0.00112635	0.0143774	0.0402364	0.858286	0.0252196	0.0376171	0.00829304	0.00164901	0.00202254	0.0111727
έ	0.0010139	0.00421732	0.0598547	0.746807	0.091213	0.0138268	0.0245292	0.0132637	0.0119821	0.0332922
s	0.00590921	0.000207061	0.0641833	0.177702	0.606599	0.0444505	0.0441294	0.0224839	0.0111785	0.0231571
έ	0.00176979	0.00250623	0.053753	0.445636	0.25298	0.106801	0.0673442	0.0241452	0.0106724	0.0343928
m	0.00843748	0.00106972	0.0321427	0.0441977	0.461408	0.242536	0.101807	0.0502961	0.0143055	0.0438
w	0.00447835	0.000442388	0.00410257	0.0098835	0.119468	0.546188	0.17695	0.0725976	0.0044133	0.0614764
a	0.00129276	0.000851821	0.000919561	0.020672	0.0265743	0.801323	0.0996732	0.018791	0.0141329	0.0157697
n	0.00269302	0.000104405	0.00451341	0.019963	0.176484	0.391165	0.306782	0.0664128	0.00634469	0.0255385
d	0.00811515	0.00216966	0.0109414	0.010778	0.142435	0.46118	0.122911	0.0966034	0.00338642	0.14148
z	0.00340668	0.00690368	0.00331864	0.0239847	0.0596095	0.678685	0.098508	0.0314219	0.00564633	0.0885157
á	0.000653476	0.0040306	0.00120281	0.0171739	0.0304636	0.634383	0.125977	0.0412651	0.0152806	0.12957
m	0.00734656	0.000864308	0.00988215	0.00641058	0.0810063	0.313357	0.281515	0.116779	0.0309328	0.151907
á	0.0037113	0.000207097	0.0024914	0.000882569	0.0498571	0.0530647	0.232405	0.444933	0.0617343	0.150714
n	0.00436956	0.00068791	0.00422662	0.00163846	0.0364206	0.078705	0.110967	0.193873	0.547047	0.0220648
d	0.00535819	0.000974123	0.00508522	0.00123294	0.0502855	0.0318261	0.099168	0.508592	0.169468	0.12801
é	0.00189398	0.00338982	0.00139376	0.00105285	0.0171591	0.0515517	0.0776038	0.402266	0.125562	0.318127
e	3.86095e-05	0.000646765	0.00136067	0.00134683	0.0162942	0.048781	0.13699	0.296237	0.186682	0.311622
y	0.000479399	0.000279724	0.00345421	0.000859295	0.011419	0.00894431	0.12752	0.330786	0.0858988	0.430359
á	0.00755794	0.00288174	0.0172874	0.00341425	0.028055	0.0253182	0.147038	0.424672	0.193602	0.150173
l	0.0025592	0.00290498	0.0144362	0.00352295	0.0285072	0.0123827	0.0493792	0.299186	0.485946	0.101175
e	0.0031686	0.00082145	0.00571033	0.00421426	0.0211746	0.012862	0.0495938	0.16337	0.451556	0.28753
k	0.000353908	7.74323e-05	0.000882967	0.000318399	0.00799135	0.00463372	0.0411966	0.163685	0.607913	0.172948
ώ	9.24712e-05	0.00094482	0.00435779	0.00466354	0.00756053	0.0200618	0.0541623	0.0437089	0.802805	0.0616425
ώ	0.000249796	7.71692e-05	0.000352991	0.00177823	0.00175886	0.00421303	0.0246066	0.0258494	0.867935	0.0731792
l	0.00403728	0.000287546	0.0059048	0.00159771	0.0209933	0.00861431	0.0649877	0.273819	0.179887	0.439872
i	0.00180976	0.00141467	0.00758852	0.00585746	0.0205068	0.0274618	0.091654	0.177504	0.268501	0.397701
</S>	0.00246219	0.000424651	0.00621501	0.00118519	0.0122868	0.00223233	0.0328167	0.197459	0.112109	0.632809
