 	les	singes	ikoli	ne	se	trouvent	plus	dans	les	forêts	de	boundji	</S>
i	0.365834	0.495132	0.09957	0.0129482	0.00597282	0.00267275	0.00553915	0.00381489	0.006356	0.000807296	0.00104559	0.00029542	1.1372e-05
k	0.0415299	0.728379	0.180543	0.00548663	0.00284194	0.00563516	0.00179411	0.00773814	0.00284618	0.0107179	0.00054262	0.0095516	0.002394
ó	0.0384568	0.407473	0.450942	0.0447879	0.00799855	0.00263762	0.00238631	0.00225729	0.000988218	0.00916125	0.000817993	0.0290077	0.00308582
l	0.0161486	0.237954	0.668132	0.0493311	0.00882212	0.00283056	0.00224868	0.00200414	0.000937151	0.00501071	0.000473635	0.0033022	0.00280483
i	0.0489294	0.328753	0.559433	0.0307494	0.00739909	0.00262437	0.00922947	0.00381475	0.00162539	0.00222077	0.00109865	0.000783236	0.00333923
í	0.100687	0.157496	0.562528	0.120346	0.0185737	0.00516859	0.00567468	0.00396457	0.00664318	0.00308753	0.0037717	0.00015197	0.0119075
b	0.0773209	0.128465	0.197805	0.152534	0.12349	0.114907	0.0330078	0.0440273	0.026084	0.0211943	0.016769	0.0011228	0.0632725
h	0.0270521	0.0486081	0.166251	0.0980002	0.268348	0.16853	0.0395615	0.0492991	0.0627417	0.0408404	0.0144281	0.00459891	0.0117404
i	0.0422594	0.0580696	0.134235	0.144206	0.2556	0.155626	0.0604451	0.0450635	0.065351	0.0240069	0.00460729	0.00123757	0.00929267
á	0.0153937	0.00825396	0.0196616	0.0826912	0.205125	0.292654	0.0700038	0.105208	0.090715	0.0275676	0.0144578	0.00335858	0.0649099
o	0.00727852	0.00620029	0.0149879	0.0436612	0.185045	0.241172	0.130944	0.160168	0.135759	0.0416617	0.0174174	0.00224079	0.0134638
t	0.00518235	0.00313677	0.0140649	0.0395362	0.131774	0.239635	0.0311923	0.158761	0.0835362	0.205893	0.00422911	0.0678106	0.0152482
á	0.00114761	0.00194067	0.0114677	0.0401819	0.105388	0.174549	0.0621872	0.118543	0.0554817	0.231399	0.00305282	0.12358	0.0710804
á	0.000777941	0.000835939	0.00797919	0.0435857	0.0947906	0.424323	0.0929895	0.106058	0.0550968	0.0522141	0.00554274	0.00976908	0.106038
m	0.00391768	0.00126059	0.00227852	0.019732	0.065257	0.106423	0.238651	0.196552	0.248124	0.0442531	0.0546332	0.00304861	0.0158701
á	0.0324165	0.00147208	0.00131282	0.0418069	0.0710752	0.030432	0.0435447	0.0652206	0.0643557	0.0236118	0.191997	0.071221	0.361533
s	0.00592226	0.0017262	0.00899292	0.0271646	0.0420406	0.0339064	0.185725	0.132572	0.184185	0.104605	0.148541	0.0846263	0.0399923
á	0.00337962	0.00198339	0.00126996	0.0103395	0.0453776	0.0759255	0.143761	0.387834	0.12597	0.0458957	0.0845161	0.0119041	0.0618445
k	0.00273436	0.00140508	0.00359298	0.012258	0.0178063	0.0273967	0.131224	0.139805	0.15446	0.0902954	0.235209	0.093031	0.0907829
ω	0.000422035	0.00173633	0.00641715	0.00361245	0.00362146	0.0120398	0.0455021	0.034617	0.0858799	0.555128	0.00880622	0.224798	0.0174197
m	9.01494e-05	0.000140278	0.00285012	0.00183061	0.00519613	0.00596209	0.0236585	0.02783	0.049359	0.702931	0.0371618	0.12756	0.0154294
á	0.00967284	0.000900118	0.00576679	0.0168207	0.00579775	0.00267445	0.0164448	0.0113106	0.0271065	0.0887441	0.15796	0.237858	0.418944
m	0.00458625	0.00167463	0.00216103	0.00475572	0.00617819	0.00486009	0.0222039	0.0251812	0.064699	0.117193	0.33718	0.265227	0.1441
b	0.00785317	0.00147924	0.00141412	0.0126542	0.017873	0.00391833	0.0121542	0.0105359	0.0198968	0.010024	0.338279	0.296003	0.267915
o	0.00403064	0.00067117	0.00153658	0.00326352	0.00586821	0.00138087	0.0110079	0.00879419	0.017757	0.0170046	0.0511759	0.833485	0.0440244
n	0.00149291	0.000842077	0.00419707	0.00196363	0.00542602	0.00213892	0.00617881	0.00985406	0.00783131	0.0392603	0.0112681	0.818779	0.0907684
d	0.00367693	0.0018398	0.00787326	0.00427976	0.00440614	0.00102913	0.0218847	0.0147273	0.0146956	0.0438111	0.0537362	0.763256	0.0647841
z	0.0018574	0.00166842	0.0027939	0.00524274	0.00680216	0.00383889	0.058607	0.021345	0.0268047	0.0358655	0.0315998	0.731476	0.0720982
i	0.000927851	0.00123442	0.00405978	0.00278318	0.00424844	0.00285632	0.0714386	0.0150925	0.0244474	0.0532857	0.0134657	0.725137	0.0810233
k	0.00199672	0.00228911	0.00285578	0.00291873	0.00815144	0.00623552	0.109014	0.0410484	0.0587528	0.0778631	0.0875901	0.104204	0.49708
a	0.00416228	0.0296356	0.142591	0.0183382	0.0215889	0.0335037	0.0711453	0.0382266	0.0788299	0.136406	0.111651	0.129167	0.184754
á	0.00242663	0.00841012	0.0220036	0.00581947	0.0105656	0.0149154	0.0347077	0.0200488	0.0204158	0.0542992	0.0155781	0.0971694	0.69364
</S>	0.0032634	0.0016389	0.00534073	0.0196553	0.0226975	0.0256161	0.0278371	0.0200677	0.0166867	0.0136674	0.179226	0.0258578	0.638446
