 	cet	enfant	n'	a	plus	une	bonne	santé	</S>
m	0.809801	0.164066	0.0130179	0.00308938	0.00379762	0.00247794	0.00331627	0.000126971	0.000307633
w	0.1253	0.843415	0.0140699	0.00380101	0.000920859	0.00135412	0.00163509	0.000318279	0.00918493
á	0.11286	0.884029	0.0014311	0.000527547	0.000354317	0.000250654	0.000125849	0.000344103	7.78255e-05
n	0.285282	0.702401	0.00288346	0.00115693	0.000622725	0.000559748	0.000915971	0.00140583	0.00477239
a	0.17899	0.66834	0.0175873	0.010692	0.00331297	0.00226721	0.00177946	0.0203602	0.0966712
w	0.448811	0.213057	0.220108	0.0621638	0.0140206	0.00673905	0.0184091	0.0115438	0.00514714
ó	0.149193	0.0824602	0.244982	0.156839	0.0599382	0.0674032	0.0686777	0.026188	0.144318
á	0.0284527	0.0310204	0.53846	0.274911	0.0325622	0.0143856	0.00699921	0.00307746	0.070131
m	0.00132186	0.00241922	0.191162	0.424553	0.19885	0.0553887	0.0106075	0.0128381	0.10286
i	0.00489892	0.00683873	0.229714	0.335805	0.247754	0.0941182	0.0215745	0.00752835	0.0517686
s	0.00131495	0.00220001	0.0466644	0.345478	0.437568	0.0886607	0.00975501	0.00499212	0.0633669
á	0.00281244	0.000846057	0.065489	0.229666	0.384355	0.170918	0.0320376	0.0161461	0.0977301
á	0.000866718	0.00241679	0.0972994	0.177059	0.169318	0.105466	0.040108	0.0224172	0.385049
o	0.00457193	0.0115649	0.0219905	0.0544134	0.0832797	0.110393	0.419878	0.27183	0.022078
p	0.0027803	0.000860526	0.010638	0.0380325	0.424862	0.348114	0.0398041	0.0435555	0.091353
é	0.000640383	0.00012919	0.0152284	0.044443	0.388383	0.49129	0.0186021	0.00103085	0.0402535
s	0.000285802	0.000341871	0.0518361	0.123568	0.321214	0.367105	0.0543543	0.00495593	0.0763379
i	0.00060484	0.000117215	0.0174098	0.0430175	0.208807	0.361614	0.0566738	0.0152543	0.296502
n	0.000601202	0.000440424	0.0313684	0.0477311	0.0888498	0.200769	0.15278	0.0674735	0.409986
a	0.00586679	0.0053311	0.00412239	0.00438092	0.0112576	0.0650995	0.101113	0.603063	0.199766
</S>	0.00254194	0.00161175	0.0361672	0.0186391	0.0267243	0.093831	0.174343	0.373441	0.2727
