 	la	lune	est	apparue	</S>
s	0.865584	0.13106	0.00319543	3.40624e-05	0.000126131
w	0.306396	0.673744	0.00660047	0.00027164	0.0129879
é	0.174871	0.819822	0.00251215	0.000901666	0.0018934
n	0.49943	0.369813	0.0864833	0.0166695	0.0276041
g	0.268122	0.544143	0.0148945	0.00695791	0.165882
é	0.450698	0.369286	0.0336453	0.0106433	0.135727
á	0.1573	0.185278	0.589172	0.0100938	0.0581562
m	0.0168795	0.00964905	0.721974	0.180516	0.0709809
i	0.0170958	0.00671679	0.791492	0.0587786	0.125917
t	0.000212824	0.000111628	0.110831	0.869904	0.0189408
é	0.000242202	6.72741e-05	0.0515568	0.935326	0.0128076
e	0.000710509	0.0013734	0.164491	0.778084	0.0553413
</S>	0.00781663	0.00938676	0.119787	0.129142	0.733868
