 	la	chouette	a	un	visage	effrayant	</S>
e	0.627011	0.348648	0.0178534	0.00457627	0.00168739	0.000152114	7.18654e-05
n	0.0447384	0.946569	0.00458701	0.00300998	0.000387175	0.00040638	0.000301871
d	0.0621302	0.907374	0.0107891	0.00263117	0.0110754	0.00132243	0.00467792
z	0.00543907	0.991775	0.000471215	0.00021118	0.00147401	0.000168567	0.000460644
a	0.00735395	0.984492	0.00112753	0.000676027	0.0018297	0.00191963	0.00260122
n	0.0298663	0.859648	0.0232538	0.00526658	0.0565856	0.000869837	0.0245105
d	0.097194	0.556923	0.143162	0.0421425	0.0264903	0.00312321	0.130965
z	0.0974301	0.555469	0.109536	0.0262705	0.0662028	0.00538638	0.139705
a	0.168655	0.624491	0.0629965	0.0220139	0.0469496	0.00468267	0.0702122
é	0.157656	0.0290555	0.735663	0.0508367	0.0199108	0.000948148	0.00592984
d	0.0690779	0.0193512	0.385991	0.320346	0.16975	0.00828684	0.0271969
í	0.014326	0.00259574	0.209383	0.387481	0.063075	0.0171919	0.305947
l	0.0266467	0.00420556	0.183664	0.4572	0.113241	0.0117754	0.203267
a	0.00986825	0.00111904	0.107039	0.32952	0.2545	0.0566502	0.241304
m	0.0135717	0.00364238	0.0386356	0.149163	0.557864	0.143078	0.0940454
w	0.000746182	6.6316e-05	0.00263681	0.0232319	0.0334228	0.881667	0.0582292
a	0.00059777	0.000346709	0.00188246	0.021045	0.0710713	0.874629	0.0304281
s	0.0292756	0.000277944	0.0245144	0.186532	0.0484706	0.400618	0.310311
é	0.0166177	0.000601133	0.0163951	0.175669	0.246567	0.221508	0.322642
l	0.00924023	0.00337359	0.0276708	0.104229	0.412004	0.130226	0.313256
é	0.0086345	0.00397645	0.0455036	0.0966721	0.239692	0.231857	0.373665
n	0.00200402	0.000918821	0.0143518	0.0628568	0.340458	0.284819	0.294592
g	0.0115673	0.0291271	0.0126399	0.0379616	0.539765	0.13924	0.229699
é	0.000998459	0.0186675	0.0128071	0.019787	0.830776	0.0714847	0.0454789
</S>	0.000558347	0.0019832	0.0117803	0.0450495	0.218666	0.153299	0.568664
