 	otswende	est	un	couturier	maladroit	</S>
o	0.933785	0.0324876	0.0234957	0.00329846	0.00586315	0.00106964
t	0.781909	0.153254	0.0191481	0.0382246	0.00618654	0.00127712
s	0.522481	0.0727845	0.0643071	0.318047	0.0125625	0.0098174
w	0.723075	0.153567	0.0690363	0.0287803	0.0178039	0.00773721
ε	0.531364	0.261897	0.12013	0.0217231	0.0112974	0.0535887
n	0.289904	0.374866	0.107684	0.0158789	0.0350261	0.176641
d	0.235544	0.0617303	0.12301	0.04935	0.0868498	0.443516
έ	0.414824	0.201736	0.110513	0.0342303	0.0992386	0.139458
a	0.00551532	0.328499	0.496998	0.0832146	0.0185558	0.0672179
d	0.00536757	0.385343	0.370817	0.177054	0.00351475	0.0579038
í	0.000317932	0.137756	0.467093	0.131626	0.0211851	0.242022
l	0.000299464	0.0674634	0.190735	0.422711	0.0627871	0.256004
í	0.000399023	0.0252839	0.161533	0.479724	0.0447317	0.288328
p	0.000481902	0.0153815	0.0931252	0.553961	0.278017	0.0590338
a	0.000128165	0.00293111	0.0281974	0.887629	0.0477788	0.0333358
l	0.000155633	0.00189546	0.0236346	0.874696	0.0365923	0.0630265
e	0.00172762	0.00359753	0.0575257	0.725247	0.12303	0.0888726
s	0.00100206	0.0146089	0.0695288	0.366659	0.336088	0.212113
í	0.000843429	0.00284306	0.0195616	0.299804	0.35386	0.323088
t	0.00023178	0.00490337	0.0186925	0.0688048	0.600869	0.306498
ó	0.00390722	0.00834925	0.0319622	0.294821	0.417179	0.243781
n	0.000436318	0.0022302	0.00964591	0.269455	0.453298	0.264935
g	0.0282174	0.0171083	0.0480861	0.141388	0.490069	0.275132
a	0.0126011	0.000264026	0.00303911	0.013402	0.739623	0.231071
l	0.001365	0.0117276	0.0203381	0.0158685	0.250748	0.699953
ó	0.00175621	0.0185218	0.0394867	0.0651338	0.314018	0.561083
k	0.000909721	0.00337529	0.00922593	0.0101781	0.569541	0.40677
á	0.00539738	0.00230532	0.0111966	0.0309173	0.500844	0.44934
n	0.000266103	0.00259927	0.0110199	0.0434473	0.111729	0.830939
d	0.00323022	0.00235302	0.0197728	0.11858	0.373356	0.482709
á	0.00508257	0.00150532	0.00799274	0.022754	0.51479	0.447875
</S>	0.00291623	0.0100985	0.0211136	0.0310724	0.258583	0.676217
