 	cette	plaine	a	pris	feu	depuis	hier	</S>
o	0.737026	0.194138	0.0319246	0.0200436	0.0122213	0.00427464	0.000122291	0.000249987
l	0.017896	0.961712	0.0109197	0.0078565	0.000661537	0.000305292	0.000201765	0.000446983
ω	0.00659295	0.896949	0.000915045	0.0881849	0.00234106	7.38548e-05	0.000781481	0.00416193
n	0.00160963	0.973498	0.00589733	0.0162597	0.00121151	0.000123414	9.80333e-05	0.0013025
g	0.0266266	0.83419	0.0263919	0.0454167	0.00830151	0.0107667	0.00138868	0.0469178
ώ	0.112148	0.794092	0.0161902	0.0171692	0.01245	0.0264333	0.000117552	0.0213996
b	0.330174	0.0453522	0.433239	0.0755065	0.0515313	0.0401968	0.00220531	0.0217945
v	0.565572	0.0316253	0.0219013	0.0778771	0.0333185	0.170203	0.00439929	0.0951026
ú	0.272077	0.102891	0.0738216	0.380394	0.123644	0.0405295	9.87168e-05	0.0065431
b	0.493319	0.0134811	0.140942	0.225611	0.0863874	0.0322463	0.00028944	0.0077247
ó	0.621707	0.0232929	0.0567398	0.194831	0.0427831	0.0476403	0.00129692	0.0117083
b	0.206131	0.0237757	0.271095	0.0847997	0.202816	0.131712	0.0144354	0.0652355
ó	0.410484	0.0169964	0.271998	0.0592722	0.108509	0.123668	0.000214256	0.00885865
o	0.283876	0.0214215	0.264946	0.0615656	0.166284	0.129562	0.0278357	0.0445101
b	0.00793373	0.0131351	0.0429581	0.195199	0.0977802	0.0171022	0.609954	0.0159377
o	0.00155208	0.0152826	0.032124	0.832839	0.0549028	0.00377813	0.0184049	0.0411167
n	0.00576987	0.00504334	0.0449651	0.427882	0.0588373	0.00628413	0.115858	0.33536
g	0.0854899	0.0324256	0.0519148	0.275644	0.144088	0.10588	0.0251291	0.279429
á	0.144211	0.0733046	0.0873083	0.161672	0.127313	0.179015	0.0278171	0.199358
w	0.024287	0.00271274	0.0483691	0.0227185	0.103869	0.536283	0.0940693	0.167692
ú	0.0162296	0.00265204	0.020904	0.031236	0.0528658	0.787339	0.0284624	0.0603115
r	0.0130575	0.0010701	0.00669531	0.0214197	0.0623208	0.13848	0.459649	0.297308
á	0.0592481	0.00760872	0.0160703	0.110836	0.0814238	0.186308	0.255462	0.283043
m	0.0256836	0.00236995	0.0240566	0.00951186	0.0444437	0.135255	0.0565601	0.70212
á	0.0747103	0.00719149	0.0398827	0.0259871	0.0569748	0.274189	0.0792998	0.441764
p	0.0377474	0.0217542	0.0840606	0.0551015	0.106999	0.191494	0.153534	0.349309
ó	0.00266192	0.00542544	0.00688126	0.0162995	0.00344028	0.0142676	0.829665	0.12136
a	0.00199111	0.00238509	0.00194069	0.00822429	0.00530124	0.0914117	0.531327	0.357419
</S>	0.0328117	0.0199695	0.087205	0.0470353	0.116731	0.120227	0.0356178	0.540403
