 	celui	qui	tousse	dans	la	maison-là	c'	est	qui	</S>
o	0.812921	0.0832916	0.0501252	0.0288123	0.0122254	0.00815796	0.00370826	0.000423087	0.000154137	0.000180937
k	0.0275323	0.0567281	0.768822	0.0347918	0.0463224	0.023241	0.00565182	0.0100228	0.0187194	0.00816817
ω	0.0020674	0.00612592	0.914808	0.0460052	0.0205097	0.00143308	0.00144209	0.00237884	0.00299367	0.00223617
r	0.00185427	0.00351604	0.977762	0.00973519	0.00527487	0.000385319	0.000153669	0.000248996	0.000611156	0.000458351
i	0.0531563	0.0457125	0.699885	0.0709138	0.091905	0.0126123	0.00607093	0.00087698	0.00414409	0.0147229
s	0.0220021	0.0315204	0.0158504	0.147304	0.306591	0.391468	0.0659787	0.00372133	0.00243362	0.0131304
á	0.00137959	0.00406718	0.0179519	0.0722281	0.29774	0.531564	0.0221615	0.00650488	0.0108142	0.0355891
n	0.0124569	0.0118118	0.00329628	0.0489131	0.331881	0.412995	0.0245474	0.0294274	0.106735	0.0179366
d	0.000178296	0.00108391	0.00012274	0.00480134	0.0376678	0.938293	0.00562639	0.000958692	0.00998371	0.00128364
é	0.000195389	0.000660189	0.000113554	0.00109788	0.0249166	0.833636	0.0659431	0.0112667	0.0542664	0.00790406
e	0.000694401	0.00100591	0.000994243	0.0137579	0.196675	0.0921784	0.23436	0.0864337	0.336263	0.0376377
w	0.0060309	0.0029176	0.00410183	0.0245063	0.0632655	0.0112209	0.615147	0.119346	0.107008	0.0464561
ú	0.00486789	0.00631109	0.0658552	0.101326	0.136274	0.00553046	0.047067	0.221313	0.243386	0.168069
u	0.00120907	0.00192725	0.00220731	0.0379527	0.0641659	0.0105881	0.221101	0.161678	0.23589	0.26328
n	0.00748048	0.00388375	0.00367829	0.041443	0.0268015	0.00258838	0.127668	0.210903	0.192637	0.382917
d	0.000584648	0.00284046	0.000576168	0.0124383	0.0550543	0.0194073	0.128401	0.130413	0.410033	0.240252
a	0.000233901	0.000536057	0.000744044	0.00407686	0.0222881	0.0210197	0.0601906	0.112014	0.351299	0.427598
</S>	0.000433676	0.00202423	0.00435835	0.0301157	0.0607701	0.00528264	0.0795865	0.109061	0.199869	0.508499
