 	ses	aisselles	sont	bien	vélues	</S>
m	0.833785	0.154557	0.00732633	0.0037188	0.000359634	0.000253191
á	0.092967	0.823022	0.0633014	0.0124637	0.0023789	0.00586719
b	0.076682	0.913063	0.00396692	0.0017934	0.00165667	0.00283807
h	0.0465957	0.848143	0.0262116	0.00531067	0.00131746	0.072421
a	0.326742	0.61924	0.02595	0.00650499	0.000568925	0.0209944
m	0.517284	0.149388	0.185457	0.0295056	0.00369797	0.114668
á	0.572258	0.0858633	0.232906	0.0311072	0.00742392	0.0704411
w	0.293398	0.21965	0.347803	0.0683052	0.0428738	0.0279704
a	0.177224	0.173181	0.410112	0.157425	0.00921061	0.0728484
á	0.0453276	0.0296345	0.464534	0.269365	0.0283214	0.162817
d	0.00337093	0.00168924	0.386698	0.466914	0.0356921	0.105635
í	0.000719146	0.00114333	0.120416	0.391999	0.00461411	0.481109
l	0.00820323	0.00108699	0.118198	0.49583	0.0794241	0.297257
a	0.00977488	0.0159319	0.169918	0.293297	0.096674	0.414404
n	0.00731153	0.0117395	0.0234961	0.0378143	0.889024	0.0306148
g	0.0007522	0.000276212	0.00174742	0.00670521	0.969231	0.0212878
u	0.000416028	0.000136397	0.00270562	0.0097226	0.969644	0.0173748
n	0.00230041	0.000536254	0.00389449	0.0122932	0.852262	0.128714
g	0.00959622	0.00189303	0.0102628	0.0353754	0.569474	0.373398
a	0.00548427	0.000589889	0.00486519	0.0124792	0.723007	0.253575
</S>	0.00119403	0.000129977	0.0224877	0.0711861	0.042328	0.862674
