 	ce	brusque	retour	des	pluies	nous	a	surpris	</S>
e	0.559987	0.422511	0.00766478	0.00545268	0.0014274	0.00191674	0.000660422	0.000325577	5.47865e-05
b	0.0776999	0.685991	0.0594838	0.00598704	0.0174909	0.00602987	0.0107151	0.133517	0.00308491
v	0.00681362	0.26835	0.654583	0.00815535	0.023002	0.0202899	0.00128054	0.0170381	0.000487312
ú	0.0316857	0.418861	0.395052	0.0245784	0.0233237	0.0887446	0.00460198	0.0119258	0.00122666
l	0.323745	0.630346	0.0360404	0.00448562	0.001669	0.00121201	0.000222318	0.000751165	0.00152856
ú	0.427865	0.184278	0.0625084	0.140394	0.0270083	0.00612773	0.0127082	0.00625913	0.132851
l	0.354145	0.122783	0.127148	0.226578	0.0309442	0.0226598	0.042172	0.00419369	0.069376
ú	0.174028	0.0577802	0.0444969	0.115958	0.0310089	0.0306656	0.0678811	0.0100548	0.468126
y	0.530688	0.080448	0.0689084	0.202696	0.0160596	0.00469789	0.0159836	0.00146134	0.0790571
á	0.771179	0.0671696	0.0264422	0.104895	0.0139368	0.00218638	0.00435907	0.000405107	0.00942685
m	0.258484	0.045525	0.0411125	0.495746	0.0825302	0.0431808	0.0160173	0.00559047	0.0118138
b	0.0844353	0.0131148	0.0471148	0.590392	0.15289	0.0472652	0.0163387	0.000769078	0.0476801
v	0.00610087	0.0149055	0.18359	0.444158	0.288194	0.0285832	0.00404542	0.00152925	0.0288937
ú	0.0133568	0.0464875	0.195818	0.26182	0.137014	0.055355	0.00620958	0.00427058	0.279669
á	0.045774	0.0619566	0.0884946	0.381759	0.357081	0.0155829	0.00658613	0.00871754	0.0340481
m	0.027104	0.0139865	0.0282229	0.489675	0.173252	0.127756	0.0961341	0.0166931	0.027177
b	0.0816575	0.00438194	0.0166253	0.256903	0.274721	0.047379	0.170798	0.00454743	0.142987
a	0.00589498	0.00707037	0.0596845	0.370128	0.456721	0.0465794	0.0140567	0.0048974	0.0349671
l	0.00638372	0.00360937	0.0207449	0.236974	0.635156	0.0558239	0.0104939	0.00413803	0.0266767
a	0.0101104	0.0126175	0.0265789	0.189464	0.197823	0.0797749	0.0388821	0.056582	0.388167
p	0.014374	0.00251111	0.00337337	0.131452	0.17379	0.18037	0.342221	0.0512866	0.100622
ω	0.0165922	0.00552298	0.00615759	0.101609	0.733841	0.0266106	0.0470961	0.0213683	0.041202
ώ	0.00185453	0.00287847	0.0114731	0.0412755	0.375957	0.0472623	0.127537	0.201618	0.190144
é	0.0042808	0.00372934	0.00841284	0.0123392	0.0205331	0.0326576	0.416848	0.364577	0.136621
p	0.00604317	0.010467	0.00813059	0.00906722	0.00778805	0.0378425	0.494704	0.299422	0.126535
έ	0.000271907	0.000887084	0.00419997	0.00322384	0.0494271	0.00404621	0.129908	0.52837	0.279667
ε	0.00480304	0.00339731	0.0157597	0.0735553	0.0877	0.257761	0.142932	0.152823	0.261269
b	0.00559939	0.00265064	0.00472482	0.0277717	0.0152372	0.117825	0.267764	0.261865	0.296562
í	0.000136191	0.000667035	0.000976838	0.00559935	0.0140317	0.874781	0.0194436	0.0713968	0.0129674
s	0.000241095	0.000525002	0.00071352	0.00854779	0.013665	0.862164	0.013988	0.0292286	0.0709274
í	0.000488608	0.00215188	0.0140415	0.0252259	0.0725978	0.352785	0.0489472	0.227929	0.255833
a	0.000478626	0.000514689	0.000740098	0.00577233	0.0042088	0.0946173	0.195664	0.102938	0.595066
m	0.003846	0.00489524	0.0148036	0.0295578	0.0313994	0.0468621	0.221464	0.259383	0.387789
w	0.044825	0.0168186	0.0140492	0.0335333	0.0101297	0.0423409	0.512107	0.0243056	0.30189
a	0.0255982	0.00286695	0.00336907	0.044804	0.0105509	0.307574	0.0482812	0.013327	0.543629
</S>	0.00263432	0.00104983	0.0013876	0.00550081	0.00840999	0.0186627	0.038471	0.0354267	0.888457
