 	ce	commerçant	est	venu	de	brazaville	avec	des	tas	de	marchandises	</S>
o	0.950873	0.0276549	0.00625803	0.00211166	0.00460951	0.00106213	0.00324826	0.00131181	0.00191706	0.00073539	0.000140183	7.81004e-05
k	0.0230251	0.975606	0.00033842	0.000284078	0.000135097	0.000129371	6.3851e-05	7.52395e-05	2.38201e-05	2.21372e-05	0.00019357	0.000102953
i	0.0103217	0.97894	0.00415714	0.00222164	0.000978254	0.000210313	0.000561215	0.000798685	0.00102389	0.000224523	0.000100953	0.000461569
l	0.00934485	0.981365	0.00422835	0.0014105	0.000663844	0.000586843	0.000476651	0.000403686	0.000425576	0.000392076	9.97286e-05	0.000603103
i	0.301739	0.663939	0.0152478	0.00219046	0.00282906	0.00108719	0.00321429	0.00204879	0.0033915	0.000359796	2.71855e-05	0.00392589
o	0.628684	0.207733	0.0498988	0.026443	0.0189299	0.00188626	0.0210121	0.0106357	0.0102476	0.00661533	0.000738022	0.0171758
m	0.154186	0.727655	0.0571462	0.030845	0.00587777	0.000596885	0.00245963	0.00268426	0.00590587	0.00123341	0.00160421	0.00980548
b	0.673305	0.0759905	0.182574	0.0318671	0.00823639	0.000561783	0.00464586	0.00376226	0.000592726	0.00217534	0.0026147	0.0136738
ó	0.118802	0.382687	0.42726	0.0336005	0.0100082	0.000411652	0.00394609	0.00382962	0.000814491	0.00237734	0.00906076	0.0072028
n	0.3358	0.250753	0.328023	0.0299336	0.00822807	0.000120106	0.00849952	0.00616676	0.0023934	0.0030228	0.00591493	0.0211455
g	0.435511	0.345511	0.107544	0.0116346	0.0146268	0.0142452	0.00865119	0.0053105	0.0010392	0.00400915	0.00119882	0.0507186
o	0.585933	0.222247	0.109082	0.0123184	0.00969511	0.0411856	0.00325252	0.00178182	0.000499226	0.000847212	0.000850106	0.012308
w	0.0315497	0.0483626	0.534408	0.283868	0.0443393	0.00375833	0.0189299	0.0112119	0.00361481	0.00425399	0.00174116	0.0139622
ó	0.174451	0.0512822	0.265749	0.107741	0.080868	0.0119614	0.0961963	0.0579448	0.0503334	0.0197552	0.00112888	0.0825884
á	0.0209906	0.00601469	0.371564	0.22851	0.0959537	0.0118196	0.0702464	0.0439303	0.0242495	0.0231084	0.00184693	0.101766
w	0.0225684	0.0292288	0.107714	0.550293	0.0812652	0.011756	0.0262	0.0251221	0.0377926	0.010464	0.029406	0.0681893
ú	0.002841	0.0127554	0.128861	0.639757	0.0987714	0.0189852	0.0263656	0.0176108	0.0166341	0.00789519	0.0144153	0.0151077
r	0.0254852	0.0366242	0.204915	0.281633	0.198472	0.0477269	0.0509007	0.0353801	0.0410435	0.0135438	0.00292934	0.0613451
u	0.0378743	0.0131385	0.208739	0.155776	0.287406	0.121371	0.0790955	0.0412234	0.0128963	0.0164552	0.000923438	0.0251011
n	0.00291003	0.000244192	0.0695443	0.233356	0.316741	0.240362	0.0989387	0.0195831	0.00475364	0.00858472	0.00167427	0.00330801
g	0.0055968	0.000179633	0.0178057	0.0211445	0.104325	0.79319	0.0186427	0.0134361	0.00310373	0.0057941	0.000453694	0.0163275
y	0.00150843	0.000411308	0.0163081	0.0427671	0.0654323	0.855031	0.0076376	0.0038462	0.00058327	0.00113788	0.00281631	0.00252084
ε	0.00093801	0.0019855	0.0464898	0.0792275	0.235423	0.497497	0.0449281	0.0265625	0.00642456	0.00944289	0.0229539	0.0281277
l	0.000891979	0.00159771	0.0317751	0.0506546	0.181364	0.298614	0.112989	0.132583	0.0472887	0.0207322	0.00812297	0.113387
έ	0.00047956	0.00174265	0.0291911	0.0431261	0.134973	0.11519	0.340697	0.100224	0.0984837	0.0055326	0.000547471	0.129813
l	0.00502722	0.000444917	0.0190999	0.059216	0.159851	0.050883	0.343331	0.190875	0.0608624	0.0487434	0.00999811	0.0516683
a	0.00417791	0.00300304	0.0140436	0.0483888	0.131277	0.202409	0.147672	0.145746	0.0685862	0.035954	0.00718781	0.191555
b	0.00020643	0.000271455	0.00823867	0.0217576	0.0948155	0.0488968	0.269083	0.222467	0.109867	0.125702	0.0254681	0.0732275
e	0.000460009	0.000444906	0.00846787	0.0222231	0.0843369	0.0127583	0.169597	0.152431	0.439373	0.0331073	0.0452141	0.0315866
a	0.000114722	0.000629316	0.00717173	0.0225267	0.0282354	0.00539926	0.175626	0.157412	0.401557	0.0193809	0.0331387	0.148808
