 	il	ajuste	les	montants	du	lit	</S>
w	0.971351	0.0130361	0.00744804	0.00624209	0.00184317	4.77103e-05	3.17212e-05
a	0.938085	0.00868956	0.040666	0.00308728	0.00901355	0.00042457	3.41179e-05
l	0.723898	0.194472	0.0380418	0.0086913	0.0199201	0.0031322	0.011845
á	0.134627	0.0782923	0.140067	0.0463446	0.0717667	0.0165424	0.51236
a	0.383985	0.093648	0.146229	0.0278119	0.0437776	0.0482791	0.25627
y	0.0429105	0.885019	0.0147646	0.0205144	0.00442366	0.00843502	0.0239326
ε	0.00739023	0.945616	0.00270697	0.0294112	0.00191661	0.00398779	0.00897082
m	0.0164254	0.837605	0.0198484	0.0203687	0.0165983	0.00153867	0.0876158
b	0.0425378	0.584019	0.16822	0.0336139	0.0406973	0.00143369	0.129478
έ	0.161526	0.510041	0.220571	0.0184811	0.0185106	0.00143384	0.0694368
s	0.0888486	0.0508035	0.546805	0.268763	0.0197746	0.0143946	0.0106102
έ	0.0300921	0.12595	0.557064	0.167102	0.0742576	0.00911894	0.0364152
i	0.0234589	0.0270777	0.467543	0.339767	0.0727993	0.0398723	0.0294825
k	0.00363765	0.0821385	0.108253	0.73451	0.0361184	0.0143711	0.0209713
ó	0.000842646	0.0261331	0.0207773	0.914761	0.0199001	0.00383347	0.0137524
n	0.000872678	0.0381879	0.0321175	0.83745	0.0238046	0.0105531	0.0570143
g	0.0169149	0.109124	0.0734302	0.605449	0.0287718	0.00707454	0.159235
o	0.0232897	0.112183	0.048956	0.793117	0.0103128	0.00356549	0.00857583
m	0.00927362	0.0100957	0.17414	0.0537334	0.435444	0.0805291	0.236784
á	0.0527508	0.00344984	0.155586	0.00887539	0.38458	0.058673	0.336085
o	0.0143578	0.00658081	0.175928	0.10182	0.453855	0.221468	0.025991
b	0.000766897	0.00769447	0.0217563	0.0498046	0.276818	0.566438	0.0767215
é	0.00245426	0.0106933	0.043246	0.0266376	0.119969	0.776741	0.0202581
é	0.00030043	0.00438101	0.0143824	0.0357985	0.114228	0.551234	0.279675
</S>	0.00575524	0.00370753	0.0501823	0.00586331	0.293826	0.275282	0.365384
