 	les	chasseurs	ont	allumé	le	feu	pour	braiser	la	viande	</S>
a	0.77979	0.21728	0.00103023	0.000176663	0.000700595	0.0001202	0.000291296	0.000247453	0.000293822	4.46776e-05	2.57524e-05
b	0.280046	0.690862	0.0103831	0.0130557	0.00307013	0.000236069	0.000374351	0.00014403	0.00050817	0.000897705	0.000422282
e	0.141058	0.842294	0.00327061	0.0038304	0.00167416	0.000439626	0.000610274	0.00150801	0.00108492	0.00143752	0.00279169
n	0.0857357	0.778875	0.0224542	0.0090287	0.00492185	0.00324068	0.00540158	0.0105392	0.00760389	0.00111509	0.0710845
g	0.795939	0.138455	0.0306514	0.00445057	0.00615888	0.00213578	0.00345041	0.0040275	0.0023899	0.000716382	0.011625
i	0.357146	0.543163	0.0563589	0.0133051	0.00832606	0.00177271	0.00194679	0.00100551	0.00170863	0.00113712	0.0141299
á	0.0592185	0.0140812	0.817623	0.0424274	0.0335322	0.00263504	0.00753834	0.00714001	0.00662047	6.32267e-05	0.00912095
m	0.00997974	0.004157	0.364991	0.449581	0.128693	0.0157671	0.0079672	0.0057535	0.00478848	0.000535038	0.00778723
i	0.0116265	0.0038136	0.200524	0.483845	0.195543	0.0798972	0.0102468	0.00113298	0.00374578	0.000600304	0.00902437
l	0.000924414	0.000628494	0.0889445	0.749834	0.127644	0.0216618	0.00427429	0.000782631	0.00134749	0.000215567	0.00374263
o	0.000567731	0.000525435	0.0487866	0.866946	0.0541394	0.00887734	0.00387972	0.00155207	0.00214824	0.00022129	0.0123565
o	0.000846269	0.00014059	0.102041	0.486006	0.366549	0.0114736	0.00745921	0.00215238	0.00405797	0.000299029	0.018976
s	0.000943289	0.000249014	0.0218957	0.0591644	0.726718	0.14305	0.0358253	0.00368832	0.00472289	0.000507755	0.00323522
á	0.00616116	0.000680368	0.0357991	0.0991948	0.594979	0.0605399	0.0805724	0.00764847	0.0270278	0.0383207	0.0490762
m	0.0107089	0.00262137	0.0161377	0.025168	0.300053	0.523899	0.0666269	0.00629346	0.00796438	0.0363274	0.00420005
í	4.35995e-05	3.58764e-05	9.24986e-05	0.00120741	0.00251523	0.982311	0.0116481	0.000397162	0.000362415	0.000259675	0.00112714
á	0.00348159	0.000174816	0.0039208	0.00571619	0.017936	0.811323	0.0952154	0.0396071	0.0096452	0.00541707	0.00756335
m	0.000804004	7.92048e-05	0.010239	0.00415309	0.0136127	0.25656	0.410782	0.156228	0.0998537	0.00320345	0.0444844
í	0.00665512	0.000629829	0.00996284	0.006544	0.017595	0.199423	0.280309	0.0644114	0.212385	0.00946877	0.192616
b	0.00454534	0.000488714	0.00995275	0.00705539	0.0144619	0.178546	0.154947	0.230945	0.158756	0.153663	0.0866376
á	0.0093812	0.00277684	0.0133116	0.00440719	0.0294564	0.0234176	0.157683	0.458991	0.157032	0.075769	0.0677733
b	0.000986052	0.00019945	0.00200652	0.000666017	0.00504948	0.0207169	0.110085	0.649822	0.0780463	0.0253716	0.107051
h	0.000322461	7.3958e-05	0.00090644	0.0011707	0.000736962	0.00373266	0.118398	0.715243	0.0762035	0.00387131	0.0793417
a	0.00351257	0.00140951	0.00167261	0.00576	0.0216417	0.0209222	0.129063	0.392359	0.0655448	0.0569796	0.301135
l	0.000856721	0.000112454	0.00301463	0.000789465	0.0167147	0.00264463	0.0890953	0.169019	0.363616	0.0334851	0.320652
á	0.0019399	9.14557e-05	0.00647271	0.00529068	0.00925701	0.00786498	0.109705	0.0640484	0.28604	0.0977999	0.411491
n	0.00936001	0.000632401	0.00828095	0.00129696	0.00849041	0.00813114	0.0516947	0.033214	0.228928	0.571334	0.0786376
y	0.00232577	0.000361481	0.000297138	0.000573872	0.000450489	0.00177528	0.00606574	0.00321913	0.0109089	0.96081	0.013212
a	0.001055	0.000447416	0.000151887	0.00064885	0.000359182	0.000241185	0.00217699	0.00270609	0.00343229	0.98286	0.00592121
m	0.000112361	0.000116774	0.000156055	0.00213812	0.00177135	0.00100097	0.0053715	0.00172246	0.0108082	0.832903	0.143899
a	0.00230652	0.000909074	0.00289277	0.00111531	0.00740839	0.00446899	0.053609	0.0143544	0.233386	0.269559	0.409991
</S>	0.00159917	1.16755e-05	0.00248735	0.000908704	0.00255902	0.00163598	0.0505104	0.0213992	0.126357	0.0155916	0.77694
