 	le	soleil	s'	est	déjà	couché	</S>
i	0.717909	0.23063	0.0433191	0.00332908	0.000911251	0.00363689	0.000264523
k	0.36981	0.486253	0.0690214	0.0416483	0.0196034	0.0112399	0.00242433
á	0.383834	0.240277	0.138265	0.117643	0.02395	0.0683497	0.0276803
n	0.26907	0.242578	0.136405	0.0776453	0.0269066	0.011864	0.235531
g	0.775065	0.133821	0.0340976	0.0193281	0.00425614	0.00734389	0.0260877
a	0.758861	0.178492	0.0344544	0.00897579	0.00155938	0.000438112	0.0172196
í	0.113546	0.0134548	0.535748	0.225268	0.0747302	0.000667855	0.0365853
m	0.0270824	0.00370483	0.199659	0.538462	0.212601	0.00144548	0.0170449
i	0.0206911	0.0230743	0.14546	0.331712	0.383329	0.00672791	0.0890054
s	0.00117667	0.00108992	0.0302875	0.403644	0.544612	0.00260954	0.0165797
á	0.00428594	0.00283759	0.032618	0.343696	0.588605	0.00187182	0.0260864
á	0.0227794	0.00542015	0.0541422	0.399325	0.247261	0.00787375	0.263199
o	0.0266487	0.0154696	0.0936652	0.354239	0.333563	0.12729	0.0491244
b	0.00416054	0.00219094	0.00704897	0.0916952	0.562813	0.276871	0.055221
v	0.00189335	0.00113922	0.0155298	0.0607345	0.0906347	0.767123	0.0629451
a	0.000735186	0.000446985	0.00851207	0.0279574	0.0326311	0.894915	0.0348018
</S>	0.00127981	0.000582549	0.00224861	0.0115196	0.0170201	0.295646	0.671703
