 	l'	étang	où	mon	épouse	et	moi	avons	péché	à	l'	écope	n'	avait	que	très	peu	d'	eau	dans	son	lit	</S>
e	0.727448	0.153467	0.0461119	0.0174543	0.00423072	0.01106	0.00567051	0.0112938	0.00276304	0.00785029	0.00247504	0.000144273	0.000537771	0.00118974	0.00141081	0.00186357	0.000547113	0.000968071	0.000262447	0.00169856	0.00139732	0.000110486	4.60355e-05
t	0.0255374	0.963065	0.00150734	9.39212e-05	0.000478671	0.000289913	0.000163655	0.00031997	0.00342449	0.000757205	0.000611409	0.000160957	0.00029674	0.000612557	0.000377058	0.000329617	0.000167877	0.000156552	0.000154325	0.000442652	0.000198017	0.000475684	0.000379284
ó	0.00357873	0.974615	0.00311144	0.000166604	0.000242407	0.000923327	0.000154394	9.92e-05	0.000965503	0.000614797	0.000580092	0.00468632	0.0024656	0.00185613	0.00176576	0.00116406	0.000904915	0.000531578	0.000162543	0.000131995	0.00021895	0.000428396	0.00063259
n	0.00643843	0.952808	0.00645689	0.000284044	0.000324332	0.00120596	0.000901261	0.000336275	0.0052973	0.000836828	0.00178027	0.00489591	0.00134381	0.00201043	0.0022612	0.00312243	0.00201842	0.00145017	0.000247115	0.000173721	0.000551308	0.000391929	0.00486368
g	0.146137	0.732389	0.00671362	0.00186314	0.00112321	0.00395581	0.00324944	0.0014384	0.00421974	0.0102375	0.00309762	0.00401335	0.00424962	0.00835202	0.0071422	0.00674503	0.006922	0.00436907	0.00563464	0.00330852	0.00199574	0.00325932	0.0295844
o	0.076514	0.900126	0.0048163	0.000459535	0.000878329	0.00206311	0.000763713	0.000900184	0.000585023	0.00134005	0.00071554	0.000572722	0.000398669	0.00100844	0.00140066	0.00155527	0.00103293	0.000905205	0.000699395	0.000330523	0.000388233	0.000112588	0.00243395
y	0.373986	0.0435232	0.487364	0.00902677	0.0105583	0.0114402	0.00277994	0.00779331	0.0105751	0.00580183	0.00218136	0.00124822	0.0036487	0.00392995	0.00400467	0.00259403	0.00389404	0.00223935	0.00212406	0.00219541	0.00223769	0.0009579	0.00589582
é	0.733104	0.00761058	0.0673937	0.132551	0.0053525	0.0102525	0.0111846	0.00245042	0.000859771	0.00321216	0.00252408	0.000889077	0.00267482	0.00290995	0.00309429	0.00265737	0.00164123	0.0014734	0.00145121	0.00136635	0.00298563	0.000143821	0.00221787
é	0.278944	0.0160559	0.114081	0.249357	0.131076	0.0442998	0.0292549	0.0251133	0.00290729	0.0094574	0.0101111	0.00418181	0.00637329	0.00814359	0.00901336	0.0091316	0.00559835	0.00587237	0.00717266	0.00464593	0.0133392	0.000729634	0.0151393
t	0.245622	0.00647583	0.204138	0.069362	0.0398998	0.0254069	0.0146045	0.0137625	0.229445	0.0204314	0.0180673	0.0163624	0.0122274	0.018109	0.00881774	0.00432986	0.00561654	0.00410679	0.0114093	0.00451523	0.00391056	0.0142552	0.00912447
ó	0.00749214	0.0126083	0.0254677	0.0030045	0.0053404	0.041562	0.00355501	0.00708707	0.363387	0.0481087	0.0370266	0.134743	0.0663754	0.0521004	0.0331832	0.0164436	0.0275364	0.014488	0.0199436	0.0111353	0.00505333	0.0227922	0.0415659
í	0.0427824	0.096204	0.123756	0.0247418	0.00428647	0.0647861	0.0198239	0.00910255	0.148409	0.0487367	0.0646924	0.0748586	0.0534884	0.0307157	0.0304451	0.0280699	0.0231998	0.0179726	0.00472921	0.00870346	0.0136438	0.00735605	0.0594967
b	0.0159104	0.000421268	0.113561	0.269227	0.133906	0.172601	0.0775531	0.0542204	0.0355508	0.0288716	0.0157363	0.00841253	0.0106568	0.00636591	0.00613133	0.00578276	0.00648192	0.00657887	0.00869782	0.00868444	0.00676381	0.00174132	0.00614344
í	0.012264	0.00150224	0.0573023	0.130453	0.102799	0.0973403	0.0455167	0.152526	0.0546522	0.0442329	0.052869	0.0587435	0.0102328	0.0150249	0.0175144	0.0237989	0.0262893	0.043517	0.0298301	0.00366029	0.00181673	0.0108858	0.00722803
s	0.00722632	0.00048073	0.100021	0.287006	0.135513	0.106168	0.0731265	0.120065	0.0254347	0.0103665	0.0144627	0.0157463	0.00573479	0.00625969	0.00521358	0.00906018	0.00868377	0.0110382	0.0252166	0.00790442	0.00249494	0.00377233	0.0190049
í	0.00436027	0.0028597	0.0839021	0.331936	0.0134643	0.128205	0.0464428	0.0118491	0.0538258	0.0681857	0.0337849	0.00790331	0.00757885	0.0162242	0.0154251	0.0184259	0.0138961	0.0170029	0.0247756	0.0399105	0.0123371	0.00219084	0.045514
l	0.000840784	0.00034697	0.0257823	0.0803418	0.0259068	0.109149	0.173626	0.136509	0.191603	0.0359239	0.0612184	0.066653	0.022492	0.0111838	0.0104125	0.00648605	0.00568606	0.00452822	0.00417864	0.00530979	0.007806	0.00582769	0.0081888
a	0.00230065	0.000294149	0.0317132	0.0329415	0.0136491	0.052831	0.0960009	0.0273405	0.244348	0.0403088	0.0636581	0.0504007	0.0207141	0.0361324	0.0331511	0.018104	0.0221452	0.0144709	0.013785	0.0123727	0.0123009	0.0119367	0.1491
m	0.00649714	0.00278534	0.0201148	0.0276187	0.0192347	0.116482	0.0699238	0.0338324	0.104179	0.0272	0.0970043	0.338211	0.0423221	0.0147897	0.0122922	0.0072713	0.00746552	0.00727165	0.00418246	0.00259171	0.0049413	0.00638872	0.027401
w	0.00340233	3.29515e-05	0.00777038	0.0286418	0.120642	0.108396	0.0750293	0.10927	0.145811	0.0374901	0.1856	0.0665372	0.0224142	0.0260201	0.0126115	0.00563614	0.00622913	0.0126623	0.0154214	0.00143202	0.00125013	0.000676656	0.00702389
á	0.000828304	8.65194e-05	0.00126096	0.00343999	0.348399	0.0321467	0.00982864	0.2376	0.113071	0.0164787	0.0515692	0.0659937	0.0140402	0.0183705	0.0121672	0.0056469	0.0072872	0.0128409	0.0331269	0.00139301	0.000512794	0.0024229	0.0114891
s	0.00263699	1.48126e-05	0.00456944	0.0555932	0.034194	0.0690417	0.0849055	0.646281	0.0170695	0.0262279	0.0374749	0.00240047	0.00132635	0.0019452	0.0017741	0.00173888	0.000989624	0.00295856	0.00401573	0.000660728	0.00093782	0.000158294	0.00308516
í	0.0193558	0.000533177	0.0146155	0.133645	0.0294306	0.163456	0.23032	0.0551758	0.0222901	0.0430108	0.0912791	0.0175801	0.013121	0.0297841	0.023902	0.0162741	0.00904605	0.0126915	0.0187203	0.00825298	0.00718829	0.00189633	0.0384313
é	0.00363646	0.000164692	0.0075514	0.0191032	0.00244011	0.0389866	0.0529386	0.0622138	0.0415836	0.163333	0.120075	0.0376533	0.152586	0.0961233	0.080249	0.0422449	0.0199365	0.0144611	0.00371056	0.0127788	0.0187781	0.00186384	0.00758829
d	0.00256547	0.000604167	0.00832215	0.0017074	0.000433745	0.00786083	0.0116258	0.0137257	0.0482837	0.0480073	0.0480356	0.06309	0.262913	0.200487	0.130182	0.0363619	0.0431135	0.0167561	0.00771592	0.0189902	0.0108811	0.0137303	0.00460681
z	0.002194	1.07172e-05	0.00564349	0.00313991	0.00120521	0.0187275	0.0117103	0.0194632	0.139937	0.0581244	0.0506222	0.0242918	0.174967	0.202055	0.105884	0.0211611	0.023832	0.0119094	0.0134032	0.0406073	0.0120196	0.012487	0.0466041
e	0.00327965	5.29468e-05	0.00693439	0.0145629	0.0105682	0.0778162	0.0232499	0.0227499	0.026632	0.0903197	0.0645862	0.0349683	0.291631	0.150239	0.0582966	0.0234739	0.0180007	0.0177595	0.0223692	0.019093	0.00837014	0.00104183	0.0140047
é	0.00148058	7.03804e-06	0.00207118	0.0110421	0.000701607	0.0180596	0.0183042	0.0317147	0.0188907	0.036179	0.0290764	0.0212556	0.149616	0.130146	0.176084	0.0937134	0.0543933	0.0405671	0.0117866	0.0646046	0.0615547	0.0100821	0.0186707
b	0.00129302	0.000300908	0.00487864	0.00165921	0.000342155	0.00271946	0.00564351	0.00946205	0.028026	0.0156204	0.0151121	0.0111251	0.0361403	0.129376	0.218389	0.111311	0.0849713	0.0855756	0.0214085	0.0626046	0.0629352	0.0722686	0.0188375
h	0.000745539	8.62418e-05	0.00426985	0.0010589	0.000362082	0.00782623	0.00286497	0.0145953	0.0244829	0.0141701	0.00984943	0.0194022	0.00849968	0.03858	0.0899152	0.0558102	0.0662744	0.110607	0.0325092	0.0426256	0.0217266	0.371449	0.0622897
i	0.000427272	0.000137907	0.00131154	0.000177671	4.28054e-05	0.0049538	0.000872285	0.00466055	0.0225076	0.0257637	0.0115777	0.0294281	0.0402678	0.0692463	0.142338	0.0921596	0.125568	0.112396	0.0209938	0.0480847	0.0163106	0.158216	0.0725591
i	0.000416697	8.68096e-06	0.000377429	0.000555388	6.5718e-05	0.00514931	0.00183434	0.00952108	0.00427314	0.021118	0.00726883	0.00943715	0.0682736	0.0750604	0.12811	0.0960997	0.0985328	0.10037	0.0530561	0.116423	0.0458922	0.051055	0.107101
t	0.000713282	5.18581e-05	0.000926719	0.00022769	0.000287418	0.00153789	0.00109938	0.00493122	0.00332562	0.0152243	0.00390796	0.0048128	0.0131513	0.0482454	0.09204	0.0786499	0.105341	0.128236	0.0865845	0.107553	0.0522302	0.0766234	0.174299
i	0.000110899	0.000272818	0.00109001	0.000149543	9.66098e-05	0.00302485	0.000867703	0.002095	0.00158585	0.00874486	0.00402261	0.029755	0.0318251	0.043297	0.0946225	0.104651	0.158422	0.147469	0.0499671	0.0605234	0.0283262	0.11315	0.115931
b	5.15169e-05	6.16551e-05	0.000256906	9.4832e-05	5.5631e-05	0.00129203	0.000564989	0.00167745	0.0014511	0.00724044	0.00256014	0.0152887	0.0419276	0.0447726	0.0677267	0.07219	0.147273	0.125761	0.083659	0.0622852	0.0214213	0.0773902	0.224999
h	6.16453e-05	3.63601e-05	0.000714187	0.000385195	3.3593e-05	0.00229794	0.000417284	0.00164151	0.00159249	0.0192889	0.00501033	0.00604532	0.0176282	0.0325908	0.0726992	0.09123	0.116323	0.140048	0.0543949	0.0902654	0.028549	0.0721008	0.246645
í	0.000418877	0.000534298	0.00198815	0.000768561	8.89504e-05	0.00457497	0.00121739	0.00342609	0.00517257	0.0159012	0.0031104	0.0065331	0.0225932	0.0425176	0.0697931	0.0757098	0.102759	0.12713	0.0702782	0.0698095	0.0274523	0.0961793	0.252043
</S>	0.000298984	0.000110422	0.000951325	0.000572759	0.000197546	0.00174015	0.00113809	0.0011327	0.00057767	0.00598525	0.00179907	0.00114062	0.00368544	0.00890267	0.0235077	0.0530548	0.0732858	0.117403	0.112228	0.184768	0.144583	0.0810204	0.181916
