 	la	promenade	à	laquelle	ils	sont	partis	s'	est	mal	terminée	</S>
i	0.836091	0.126023	0.0263016	0.004168	0.00171456	0.00251295	0.000139272	0.00104952	0.000325489	0.00127187	0.000227047	0.000175695
b	0.16501	0.823581	0.00579179	0.00129512	0.000213734	0.000769179	0.000689598	0.000207764	0.000172066	0.000222396	0.000761232	0.00128602
h	0.00577718	0.986006	0.00457752	0.00110447	0.00103729	0.000321721	7.54239e-05	7.26388e-05	0.000134274	0.000186765	0.00042971	0.000277472
é	0.0419158	0.766459	0.0465945	0.126155	0.00990001	0.00116257	0.000960179	0.000602643	0.000363798	0.000214952	0.000321791	0.0053497
m	0.411951	0.477542	0.0753041	0.0278555	0.00142577	0.00131253	7.15605e-05	0.00103876	0.00045804	0.00147228	0.000475683	0.00109279
b	0.403357	0.0809895	0.405021	0.0719321	0.00420339	0.0111437	0.00267481	0.00858751	0.00320597	0.000808766	0.000422348	0.00765357
a	0.368634	0.129535	0.0571438	0.41428	0.0053722	0.00120044	0.000595788	0.00340636	0.000664412	0.000301562	0.00034115	0.0185257
l	0.112004	0.0157584	0.544754	0.213721	0.0427262	0.0238488	0.00498478	0.0106457	0.00246739	0.00161955	0.00225809	0.0252122
í	0.117857	0.00268104	0.141588	0.199668	0.0251998	0.0647539	0.0338246	0.0823966	0.019355	0.01105	0.00552913	0.296097
í	0.0759022	0.00513527	0.208835	0.339825	0.0867284	0.0969586	0.0656756	0.039178	0.0102453	0.0112233	0.00656125	0.0537312
d	0.0100086	0.0357073	0.0272166	0.017966	0.0199288	0.20871	0.39606	0.0280816	0.0312538	0.0359011	0.0862013	0.102965
w	0.00117373	0.00140025	0.00754845	0.00618153	0.00525962	0.0665424	0.716034	0.0120184	0.0207818	0.0178304	0.0199495	0.12528
e	0.00458232	0.000161679	0.00567401	0.00414874	0.00616547	0.151074	0.728528	0.0348079	0.0291415	0.0207388	0.00350863	0.011469
b	0.00366894	0.00141976	0.0263106	0.0149966	0.11264	0.140345	0.271867	0.0998411	0.0577226	0.040141	0.0541754	0.176872
á	0.0031479	0.0210575	0.0253073	0.102161	0.59185	0.0922373	0.0606501	0.0448213	0.0320853	0.00999611	0.00663577	0.010051
a	0.00249385	0.00544997	0.024838	0.0713174	0.639903	0.0454632	0.0343404	0.0631288	0.0593884	0.0147388	0.00712264	0.031815
í	0.00151383	0.00685533	0.0269743	0.0101389	0.0144618	0.162526	0.0565717	0.175661	0.141833	0.0839645	0.215598	0.103902
s	0.0046898	0.0138572	0.00882702	0.00123312	0.000849505	0.0101743	0.014497	0.0137032	0.0332481	0.060986	0.808019	0.0299159
ú	0.000375337	0.000137945	0.000360406	0.000215918	9.48425e-05	0.00158569	0.0203146	0.00463113	0.0282931	0.126352	0.646399	0.17124
u	0.000526562	9.53557e-06	0.00110143	0.000164987	0.000100573	0.00794814	0.0182807	0.0408216	0.118999	0.399419	0.172633	0.239995
o	0.00292247	0.00031772	0.00483799	0.00370033	0.00316019	0.0125994	0.00233749	0.114003	0.217591	0.191457	0.117705	0.329369
b	0.00524963	0.00520058	0.00341359	0.00111716	0.00032687	0.0035664	0.0120114	0.0109865	0.045713	0.151695	0.544579	0.216141
é	0.0272154	0.0568807	0.0293854	0.00952863	0.00766925	0.0171474	0.01004	0.0382488	0.0353706	0.142041	0.530624	0.0958497
</S>	0.000572181	0.00086957	0.00176322	0.00182657	0.0020846	0.00362805	0.00433281	0.00842841	0.0620877	0.103115	0.176562	0.63473
