 	l'	éléphant	barrit	</S>
n	0.759872	0.238888	0.00112648	0.000113085
z	0.875613	0.124041	4.50521e-05	0.000300655
ω	0.312654	0.681174	0.000861583	0.00530992
i	0.0184315	0.967305	0.000836313	0.0134273
l	0.0819897	0.0723296	0.638251	0.20743
á	0.0286113	0.0266519	0.183981	0.760755
a	0.677618	0.0529421	0.160614	0.108826
b	0.0159592	0.0411667	0.655735	0.287139
h	0.00451558	0.00604317	0.961136	0.0283057
ώ	0.00183283	0.00434159	0.750999	0.242827
ω	0.0137447	0.00227018	0.146952	0.837033
</S>	0.0352592	0.00717879	0.0550251	0.902537
