 	la	femme	prépare	de	la	viande	boucanée	</S>
o	0.946875	0.0340786	0.000202238	0.0102751	0.00585067	0.00208624	0.000243838	0.000388778
y	0.0446707	0.954167	0.00070564	3.51955e-05	2.74494e-05	5.14343e-05	0.000227633	0.0001146
u	0.864006	0.131019	0.000632914	0.000470719	0.00026918	0.000655142	0.00205346	0.000893172
r	0.956823	0.0287672	0.00121758	0.000855334	0.000927061	0.000651248	0.00376938	0.00698907
u	0.919441	0.0319678	0.00348162	0.00780725	0.00627515	0.00283822	0.0145388	0.0136497
l	0.161323	0.0697095	0.449041	0.136746	0.0284767	0.0218452	0.0185008	0.114358
á	0.13193	0.0100458	0.174376	0.123601	0.0440187	0.02378	0.0158182	0.476431
a	0.626991	0.0304125	0.0991569	0.123067	0.041857	0.0277593	0.015729	0.0350278
l	0.00762131	0.0224767	0.940197	0.0124447	0.00344342	0.000118446	0.00609012	0.00760827
á	0.00225719	0.000258562	0.968503	0.0088517	0.00373696	0.000208668	0.008489	0.00769443
m	0.0407854	0.000504371	0.786744	0.101384	0.0275508	0.0118992	0.00774481	0.0233881
b	0.0921018	0.000173244	0.0965783	0.406273	0.259184	0.0833111	0.0203135	0.0420652
á	0.00265875	3.40335e-05	0.184531	0.318129	0.21892	0.0241634	0.0389358	0.212628
n	0.00260306	3.14556e-05	0.0124286	0.265878	0.205695	0.479111	0.0263755	0.0078774
g	0.00312661	4.24671e-05	0.00226133	0.121859	0.356866	0.449939	0.045055	0.0208502
w	0.00438536	0.000481307	0.00297349	0.0941289	0.317337	0.365984	0.205206	0.00950386
έ	0.000485291	6.95091e-05	0.00100509	0.0253321	0.488048	0.103976	0.365157	0.015926
m	0.000175657	1.31463e-06	0.00932634	0.143352	0.414973	0.0527005	0.119984	0.259487
b	0.000608417	3.7691e-06	0.00191995	0.0361726	0.38526	0.176096	0.0930952	0.306844
ε	0.00272504	6.17131e-06	0.00126277	0.0758061	0.56955	0.13902	0.118636	0.0929947
y	0.00776293	8.64289e-06	0.00186728	0.0761278	0.173319	0.115522	0.149088	0.476305
a	0.00564786	6.73665e-06	0.00113047	0.0187967	0.0535847	0.527299	0.295842	0.097692
o	0.0138051	0.000240983	0.000678842	0.00861869	0.0221829	0.568646	0.0933093	0.292518
w	0.000911543	0.000167375	0.0186958	0.0121322	0.0248083	0.0171613	0.712038	0.214086
ó	0.000834069	4.37918e-05	0.00325791	0.0130275	0.0268986	0.0114573	0.88467	0.059811
m	0.000215134	3.41823e-06	0.00254015	0.00829876	0.0174855	0.0196189	0.752004	0.199834
í	0.00390228	3.34324e-05	0.002826	0.0144224	0.0778104	0.0270401	0.462328	0.411637
í	0.0078701	4.19498e-05	0.00909348	0.0182109	0.0189817	0.0803219	0.108233	0.757247
</S>	0.0101884	0.000235765	0.0856222	0.178764	0.0833981	0.0273703	0.11364	0.500781
