 	l'	homme	partit	et	aussitôt	la	femme	se	changea	en	oiseau	</S>
i	0.822239	0.164348	0.000180273	0.00123253	0.00315463	0.00695591	0.000343766	0.000633047	0.000141662	0.000740924	2.70684e-05	3.90403e-06
b	0.151936	0.842967	0.00096793	0.000527218	0.000678605	0.000126467	0.000423202	0.000297401	0.000809393	0.000738209	0.00010881	0.000419868
a	0.00279183	0.99658	0.000132472	4.4304e-05	0.00016351	5.18542e-06	3.44797e-05	2.5945e-05	8.20346e-05	0.000102525	9.59852e-06	2.77841e-05
a	0.0719374	0.880012	0.00889176	0.00840411	0.00680396	0.00162146	0.000358099	0.00443489	0.00513356	0.00226849	0.00044116	0.00969276
í	0.617115	0.180256	0.0274327	0.010625	0.0130819	0.00613745	0.00160566	0.0214578	0.0188496	0.0051401	0.000237973	0.0980611
d	0.136988	0.0344697	0.408886	0.0580895	0.040704	0.0189568	0.00900911	0.0494228	0.108092	0.0798529	0.0110063	0.0445217
z	0.0116288	0.0180574	0.48627	0.105953	0.0362011	0.00462347	0.0106193	0.0198866	0.111018	0.0183346	0.00039211	0.177015
w	0.032384	0.00109788	0.644557	0.148301	0.104525	0.0114716	0.0382293	0.00516979	0.00317745	0.00249933	0.000543374	0.0080451
e	0.023748	0.00168533	0.36294	0.205508	0.209434	0.0374863	0.028491	0.0381618	0.0117282	0.0235852	0.000825506	0.0564075
o	0.0211538	0.00344689	0.313365	0.33691	0.0801319	0.125802	0.0345668	0.0208027	0.00800442	0.0107707	0.00190496	0.0431411
d	0.00374396	0.0063131	0.61446	0.185593	0.0954156	0.0108947	0.0310421	0.00729698	0.0328402	0.00308865	0.000820011	0.00849186
í	0.00477064	0.000892466	0.429719	0.169243	0.16342	0.0191852	0.0500412	0.00926391	0.0837335	0.0134814	0.00123585	0.0550139
n	0.0121886	0.000149777	0.22513	0.162245	0.179144	0.110715	0.126828	0.0242805	0.0406261	0.0122304	0.000615267	0.105847
g	0.00760954	0.000549233	0.116703	0.437098	0.152366	0.149723	0.0111236	0.0363669	0.0241403	0.0243001	0.00575475	0.0342655
á	0.00604916	0.00016541	0.206576	0.471832	0.15437	0.0825793	0.00656677	0.0134778	0.00584606	0.00748487	0.0123456	0.0327066
k	0.00418095	0.000587825	0.0254437	0.179678	0.298567	0.343522	0.00673123	0.0759147	0.0309266	0.0151944	0.00241237	0.0168413
a	0.00114446	0.001891	0.0142136	0.0938748	0.674323	0.0358301	0.00324553	0.0945778	0.0315383	0.00790301	0.00391486	0.0375432
á	0.00027331	0.00204174	0.0119827	0.147445	0.197792	0.02091	0.00202712	0.216807	0.139936	0.01837	0.00115812	0.241257
o	0.00108605	0.000376017	0.00658255	0.0291234	0.0847306	0.188964	0.0370092	0.417573	0.146777	0.027762	0.00158516	0.0584306
y	0.00770581	0.00757368	0.0181992	0.0171385	0.0632559	0.0738946	0.0559904	0.179442	0.521117	0.0367478	0.0076354	0.0112992
ú	0.00446984	4.96232e-05	0.0179416	0.0103143	0.0421431	0.555117	0.173455	0.0346376	0.100118	0.020483	0.023141	0.01813
r	0.00433687	7.57454e-06	0.0125624	0.0141321	0.107404	0.662427	0.0423103	0.0276056	0.0369052	0.0115759	0.00184536	0.0788869
u	0.0042437	0.000134448	0.0462825	0.102883	0.224793	0.28904	0.0251371	0.16107	0.046154	0.0188325	0.0143833	0.0670473
a	0.000624485	5.34748e-05	0.00437067	0.0186985	0.0284371	0.197283	0.0101207	0.427453	0.205608	0.0673988	0.00701048	0.0329417
k	0.00181841	0.000499663	0.00952524	0.0163804	0.0145349	0.0349794	0.00686234	0.186028	0.42589	0.198529	0.0302405	0.0747119
a	0.000466604	0.00124236	0.00135812	0.00420012	0.00820677	0.00403507	3.01877e-05	0.0470868	0.641081	0.14094	0.0143748	0.136979
l	0.000288924	0.000158405	0.00048727	0.00140583	0.0053401	0.00232488	5.03937e-05	0.0426118	0.700874	0.040942	0.0030018	0.202515
í	0.000246296	0.000170294	0.000931204	0.00325399	0.00434343	0.0105385	7.06352e-05	0.0561676	0.632055	0.0811447	0.0167689	0.19431
í	0.000716189	0.000104036	0.00138108	0.00516398	0.00346414	0.0636627	0.00290699	0.0895226	0.176738	0.414445	0.0369385	0.204957
n	0.00701513	0.00171588	0.00465589	0.00723488	0.00305384	0.0424918	0.00734596	0.0309496	0.123297	0.488088	0.118763	0.165389
y	0.00840838	3.69126e-05	0.0118891	0.0156757	0.00622205	0.0579525	0.00799849	0.0122216	0.0428187	0.146281	0.450611	0.239885
ω	0.00287214	5.73037e-06	0.00257926	0.00242277	0.00228006	0.0200327	0.000438773	0.00315094	0.0138907	0.0659871	0.808739	0.0776004
s	7.69146e-05	7.40434e-06	0.000395927	0.000274953	0.000109882	0.00061737	0.000327712	0.000566834	0.0152602	0.00804747	0.971067	0.00324846
í	6.76439e-05	6.92624e-05	0.00169238	0.001004	0.00279724	0.00107121	6.16523e-05	0.00943746	0.155579	0.171491	0.23518	0.421549
</S>	0.00116979	5.47303e-05	0.00143467	0.00196104	0.00380098	0.0112908	0.000313044	0.0307049	0.0546285	0.152911	0.0147834	0.726947
