 	tu	iras	pêcher	à	l'	écope	dans	la	rivière	</S>
n	0.987843	0.00122509	0.00486662	0.00250956	0.00162882	0.000134875	0.000528828	0.000910431	0.000294034	5.897e-05
ω	0.998425	0.00036883	0.000357987	0.000514105	5.01615e-05	1.50173e-06	3.39774e-05	9.21314e-05	0.000126192	3.05268e-05
l	0.818833	0.145907	0.00910927	0.00441598	0.0048993	0.00143853	0.00271108	0.0040303	0.00215998	0.00649574
ó	0.127604	0.125293	0.053363	0.0690493	0.0869522	0.0314067	0.0675296	0.061186	0.0635132	0.314103
o	0.141127	0.564712	0.0587132	0.0359927	0.0323186	0.00894116	0.0145147	0.0136212	0.0175036	0.112557
d	0.000139197	0.961179	0.0243648	0.00140238	0.00102544	0.00946592	0.000792637	0.000323568	0.000223611	0.00108322
z	0.000109336	0.987711	0.00734424	0.00025852	6.36096e-05	0.00403697	5.69064e-05	2.1395e-05	2.42399e-05	0.000373552
w	0.0320434	0.950014	0.00955653	0.00113216	0.000738323	0.00593593	0.000125924	8.27644e-05	4.4961e-05	0.000325686
á	0.0571712	0.481995	0.105533	0.223961	0.0434837	0.0194916	0.025192	0.00706284	0.00105893	0.0350506
o	0.00227723	0.0785574	0.343941	0.276284	0.131044	0.0405687	0.0652663	0.0241693	0.00709667	0.0307951
d	0.000113612	0.371509	0.488512	0.0413899	0.0156221	0.071157	0.00392664	0.00131426	0.00248983	0.00396576
z	0.000680405	0.405349	0.158769	0.026549	0.0198833	0.347077	0.0144077	0.00337056	0.00699702	0.016916
a	0.0106011	0.64334	0.172912	0.0312619	0.018568	0.114214	0.00220621	0.000503606	0.000436615	0.00595638
r	0.00154958	0.0772753	0.103423	0.198744	0.0737325	0.168579	0.151487	0.0240635	0.00668451	0.194461
á	0.00028711	0.0104714	0.211776	0.206213	0.0722074	0.0241303	0.220261	0.0400833	0.0450174	0.169554
a	0.000956122	0.00160533	0.0335877	0.377216	0.362543	0.031844	0.144575	0.0346753	0.00830627	0.00469155
s	0.000468214	0.0369972	0.0756067	0.0890272	0.121196	0.238773	0.26203	0.0932942	0.0631908	0.0194173
w	0.000930994	0.0537114	0.0136316	0.0454714	0.0594281	0.117152	0.353148	0.198677	0.0567982	0.101051
é	0.000355756	0.00795252	0.0104861	0.110317	0.167157	0.074237	0.380424	0.160315	0.0429196	0.0458358
s	7.19697e-06	0.00283264	0.00594569	0.0484601	0.0768588	0.0937518	0.464745	0.188219	0.0406107	0.0785698
ó	0.000311227	0.0101952	0.00784472	0.0225579	0.0276133	0.043561	0.244624	0.232636	0.18528	0.225375
k	9.4254e-05	0.00275039	0.00226946	0.0068546	0.0200176	0.0500549	0.136325	0.27952	0.434088	0.0680249
y	5.35116e-05	0.00024095	0.00233709	0.00120154	0.0027677	0.0186459	0.0504197	0.0714802	0.81637	0.0364833
ε	3.53587e-06	0.000127768	0.00106006	0.00067658	0.00128354	0.00813247	0.0548291	0.0453739	0.805995	0.0825181
s	1.41033e-06	7.38552e-05	0.00114089	0.00211985	0.00376792	0.00354736	0.14951	0.173606	0.47194	0.194293
í	6.46972e-06	0.00116024	0.00224232	0.00507768	0.00842735	0.048321	0.175751	0.0904062	0.19054	0.478068
</S>	2.50286e-05	0.000741555	0.00121876	0.00414608	0.00299067	0.00265681	0.0749242	0.180909	0.18822	0.544168
