 	ma	boucle	d'	oreille	est	tombée	</S>
n	0.185531	0.51735	0.190256	0.0750484	0.024813	0.00168965	0.00531169
g	0.753138	0.243376	0.00211779	0.000895317	0.000107707	9.28489e-05	0.000272548
á	0.187529	0.808558	0.00167708	0.00148786	0.000111543	0.000456701	0.000180566
m	0.0948465	0.580602	0.17912	0.101575	0.00781823	0.00909528	0.0269421
w	0.0226586	0.0933291	0.601126	0.152245	0.0378679	0.0221493	0.0706233
e	0.189699	0.216868	0.128458	0.396189	0.00329368	0.0142902	0.0512018
r	0.230109	0.104418	0.168727	0.435154	0.00845984	0.00599496	0.0471373
é	0.0934521	0.108879	0.0936477	0.563104	0.00121035	0.00522871	0.134478
m	0.0618526	0.180122	0.249053	0.36605	0.110172	0.0205651	0.0121851
í	0.0180579	0.000718041	0.148413	0.320391	0.158918	0.0355948	0.317907
t	0.123821	0.0352644	0.160709	0.172032	0.106696	0.180179	0.2213
ú	0.00157637	0.00476476	0.0197643	0.851418	0.036194	0.063879	0.0224037
e	0.0203968	0.0270714	0.0149102	0.901399	0.0185748	0.0104924	0.00715544
ó	0.00555039	0.00333943	0.0540914	0.0992543	0.563763	0.168092	0.10591
m	0.00779505	0.00185308	0.0149554	0.0320297	0.17678	0.285122	0.481465
i	0.0132595	0.00153953	0.0380421	0.058335	0.147579	0.18951	0.551735
p	0.000952719	0.00135444	0.00449515	0.0128612	0.0684788	0.417532	0.494326
á	3.02012e-05	0.0015466	0.00436211	0.0409449	0.0486188	0.411406	0.493091
s	0.00141723	0.00447157	0.0143165	0.445709	0.120735	0.27335	0.140001
a	0.00313341	0.00922474	0.011895	0.199237	0.0195404	0.279546	0.477424
</S>	0.000739246	0.000507693	0.00524579	0.0275521	0.0713794	0.176166	0.71841
