 	le	guérisseur	rencontre	des	cas	difficiles	dans	le	traitement	des	malades	</S>
n	0.272406	0.692784	0.0095696	0.00408592	0.00368381	0.011506	0.00182414	0.00120031	0.000354575	0.00224652	0.000265197	7.45224e-05
g	0.286474	0.712811	0.000116726	0.000362829	2.5384e-05	1.28477e-05	1.02676e-05	8.60375e-06	1.45762e-05	0.000133867	2.7243e-05	2.05926e-06
a	0.0193417	0.980042	0.000304069	0.000187844	5.63378e-05	8.40624e-06	5.20618e-06	5.41646e-06	1.35313e-05	1.17502e-05	2.27484e-05	1.01754e-06
n	0.385222	0.600952	0.00663343	0.00181483	0.000831919	9.86185e-05	0.000227172	0.000283133	0.00066309	0.000250574	0.000315185	0.00270842
g	0.386935	0.495856	0.0739947	0.0106396	0.004996	0.000844857	0.00225844	0.002019	0.00150444	0.00057235	0.000200833	0.0201784
a	0.291919	0.534063	0.133271	0.0172674	0.00594641	0.000890029	0.00174025	0.00177647	0.00213852	0.0005474	0.000542419	0.00989784
l	0.194728	0.0333691	0.454976	0.201197	0.0294174	0.0134267	0.0114952	0.0131881	0.00684206	0.00810699	0.00106519	0.0321883
á	0.138166	0.0332168	0.507051	0.117949	0.0450793	0.00853456	0.00964343	0.0153684	0.0107577	0.0133938	0.00512172	0.0957192
a	0.416754	0.028916	0.221016	0.166214	0.0588015	0.0155427	0.0117565	0.0138544	0.00794667	0.00711357	0.00556571	0.0465198
t	0.00573164	0.00582603	0.712032	0.138419	0.117772	0.00830149	0.00139124	0.00110579	0.00381636	0.000668043	0.00110978	0.00382675
á	0.00209626	0.000517796	0.71637	0.0622137	0.179237	0.00754224	0.00360277	0.003044	0.0106061	0.000687165	0.00143476	0.0126484
á	0.0210894	0.0050949	0.336462	0.197538	0.282149	0.0225041	0.014916	0.0158477	0.0408994	0.00800407	0.0106959	0.0447999
i	0.0147282	0.00565347	0.0235445	0.400189	0.246199	0.191888	0.0681643	0.0242175	0.00414351	0.00926483	0.0030939	0.00891403
k	0.00173682	0.00128215	0.0197405	0.160808	0.406875	0.320827	0.0356888	0.0164814	0.014948	0.00266721	0.0116956	0.00724983
ó	0.00219592	0.000251881	0.0467919	0.0826716	0.371459	0.375607	0.0397369	0.0180315	0.0410471	0.00288137	0.0156729	0.00365302
m	0.000559942	0.000240946	0.0564487	0.101044	0.235552	0.451653	0.0725703	0.0218657	0.0423588	0.00550472	0.00573424	0.00646802
á	0.00806393	0.000555726	0.00968831	0.079627	0.14367	0.27737	0.284576	0.0971415	0.00684365	0.0251325	0.000871646	0.0664595
á	0.00984071	0.000445715	0.00313647	0.0388571	0.0407098	0.157063	0.443693	0.161895	0.0611464	0.0462531	0.0241754	0.0127846
s	0.00176637	0.000330885	0.00812892	0.0518612	0.0325177	0.0893162	0.266293	0.174533	0.141024	0.169287	0.0334382	0.0315047
í	0.00847724	0.000304999	0.00743941	0.03953	0.0378794	0.00530708	0.193499	0.129711	0.212944	0.145237	0.00456925	0.215103
b	0.00439545	0.000533843	0.000941112	0.00752035	0.0067066	0.00689582	0.186969	0.169815	0.196558	0.321237	0.0723215	0.0261071
v	0.00348369	0.000261274	0.00681761	0.0122189	0.0275115	0.0388138	0.125338	0.105717	0.297727	0.0748927	0.294142	0.0130772
á	0.00211829	7.78387e-05	0.00296806	0.012961	0.00904789	0.121185	0.208146	0.11472	0.198537	0.090453	0.211798	0.0279885
a	0.00396599	0.000469493	0.00144596	0.00529747	0.00343661	0.0277475	0.102135	0.134425	0.230454	0.123635	0.25791	0.109076
l	0.000316385	9.80805e-06	0.000976164	0.00466368	0.00242418	0.0127557	0.0292902	0.067309	0.184355	0.338293	0.206723	0.152883
á	0.00227569	5.47335e-05	0.0114423	0.0271054	0.0177835	0.0104074	0.0285872	0.0360515	0.349556	0.172841	0.186642	0.157254
k	0.00230956	0.00022807	0.00119638	0.00948043	0.00323809	0.00484323	0.0173937	0.0276568	0.107942	0.247606	0.476804	0.101303
ω	7.18973e-05	1.31881e-05	0.00110614	0.000882389	0.00101022	0.000827099	0.00094165	0.00352491	0.15858	0.0331471	0.794101	0.00579504
n	0.000209724	1.20203e-05	6.95933e-05	0.000271167	0.000250345	0.00151798	0.00112006	0.00742629	0.110601	0.0256688	0.835123	0.0177305
í	0.00156585	0.000290624	0.000505999	0.00212512	0.00202082	0.0038287	0.00293411	0.0213781	0.546147	0.127569	0.244648	0.0469872
</S>	0.00264284	3.8792e-05	0.000254974	0.00364142	0.000876421	0.00460459	0.014284	0.0271739	0.0462084	0.274834	0.0523737	0.573067
