 	j'	aime	manger	l'	aile	de	poulet	</S>
n	0.918649	0.0494982	0.0112732	0.0141018	0.0028302	0.00344455	0.000112609	9.07777e-05
g	0.994645	0.00123223	0.00148847	0.00149167	7.24995e-06	0.0010506	2.55483e-05	5.903e-05
á	0.986761	0.00644782	0.00366366	0.00262564	6.36189e-05	0.000291861	0.000128065	1.83385e-05
i	0.303371	0.17837	0.123044	0.1117	0.0110473	0.0865079	0.00230975	0.183651
d	0.00964271	0.880606	0.0575183	0.0154135	0.0164218	0.0044283	0.00181118	0.0141579
i	0.181215	0.597081	0.163076	0.0275859	0.00606327	0.00309747	0.00102769	0.0208529
í	0.0737265	0.436911	0.389228	0.0357764	0.0080165	0.0142035	0.00308197	0.0390565
l	0.202458	0.28697	0.37171	0.0947591	0.0135622	0.0172993	0.00340806	0.00983249
a	0.0424489	0.386037	0.255828	0.0834801	0.0113399	0.0234459	0.0220698	0.175351
p	0.0351802	0.611636	0.202596	0.0453523	0.0139274	0.00955446	0.0206762	0.0610771
ó	0.00153148	0.581041	0.111402	0.0341842	0.207934	0.00264708	0.0337569	0.0275022
s	0.000153569	0.663796	0.159436	0.0411363	0.0948701	0.00790505	0.00696646	0.0257363
á	0.0026341	0.225703	0.240556	0.0752951	0.370597	0.00894373	0.0201728	0.056098
o	0.0337073	0.0163564	0.308149	0.475567	0.0586959	0.0581239	0.00581249	0.043588
d	0.000647286	0.033076	0.420989	0.12162	0.387916	0.00144871	0.0269848	0.00731781
z	0.000133243	0.0139723	0.728043	0.061056	0.15297	0.00214942	0.00823639	0.0334402
á	0.000767787	0.027745	0.846813	0.0489431	0.0693723	0.000880812	0.00187789	0.00360039
á	0.00253889	0.00164947	0.0982691	0.10539	0.416207	0.0892758	0.0302369	0.256432
i	0.0105072	0.00506139	0.0911942	0.155504	0.187545	0.222895	0.163267	0.164026
p	0.00041458	0.0126029	0.0442324	0.0488468	0.547208	0.0289503	0.208078	0.109667
a	1.00742e-05	0.0013085	0.00669993	0.0123014	0.845901	0.00727541	0.0905341	0.0359695
b	2.82566e-05	0.000874307	0.00587286	0.0154598	0.816664	0.0145493	0.0872928	0.059259
h	0.00274628	0.00265763	0.0253155	0.0622124	0.358006	0.0950351	0.00476572	0.449262
í	0.000159528	0.00876728	0.0276369	0.0239875	0.315192	0.0285756	0.0616132	0.534068
l	0.000661481	0.00199077	0.0125419	0.038621	0.102866	0.155788	0.108534	0.578998
á	0.00431157	0.012502	0.0586462	0.0477131	0.0764109	0.0767672	0.183458	0.540191
t	0.0151831	0.00240316	0.0181117	0.0363944	0.014886	0.236417	0.530513	0.146092
s	0.000489702	0.00181619	0.00711535	0.0130031	0.256839	0.0471905	0.596495	0.0770504
ó	0.000223535	0.000751603	0.00142322	0.00388021	0.175206	0.0500024	0.713991	0.0545218
s	1.52098e-05	0.000302399	0.00121847	0.00260448	0.128492	0.0119368	0.693149	0.162282
ó	0.000102691	0.00390491	0.0182326	0.0174608	0.067133	0.0784082	0.629099	0.185658
</S>	0.000365725	0.00118914	0.0135669	0.0268998	0.0172381	0.179217	0.0448532	0.71667
