 	j'	ai	mal	au	bras	</S>
n	0.903496	0.0396654	0.0278377	0.0225112	0.00540844	0.00108101
g	0.993701	0.00445807	0.000938457	0.000722121	7.31267e-05	0.000107745
á	0.899268	0.0721022	0.0188882	0.00639886	0.00240744	0.000934943
e	0.153446	0.286848	0.142852	0.179954	0.0876287	0.149272
b	0.024416	0.338459	0.503303	0.0625879	0.0431775	0.0280567
ώ	0.0208124	0.280508	0.160226	0.0741751	0.451591	0.0126866
ω	0.00291859	0.110418	0.449498	0.260802	0.139383	0.0369804
y	0.0138616	0.184044	0.254615	0.448511	0.0563946	0.0425735
é	0.00599448	0.139296	0.163041	0.225963	0.060445	0.405261
e	0.060615	0.0805432	0.103502	0.35549	0.31219	0.0876599
l	0.000674263	0.0174871	0.0461905	0.0843278	0.528754	0.322566
a	0.000400489	0.0173889	0.101469	0.112132	0.582422	0.186187
n	0.000361385	0.0196647	0.115283	0.161411	0.39949	0.30379
d	0.00237308	0.0407074	0.185077	0.143444	0.166393	0.462005
a	0.00117449	0.0110852	0.0471552	0.0700066	0.0308405	0.839738
</S>	0.000303508	0.00682855	0.0678407	0.132346	0.210029	0.582652
