 	mets	les	bananes	dans	ce	sac	rouge	</S>
k	0.773498	0.162498	0.0131692	0.015846	0.0066481	0.026674	0.00156711	0.000100312
a	0.748507	0.0530516	0.126824	0.0119877	0.0230758	0.0308518	0.0045619	0.00113961
n	0.601061	0.208081	0.122122	0.0111989	0.0087397	0.0033132	0.00431982	0.0411637
á	0.768508	0.120423	0.0427192	0.00930578	0.00762764	0.00892326	0.00469425	0.037799
a	0.123076	0.476005	0.194393	0.0640128	0.00977212	0.0157026	0.00280522	0.114233
t	0.0239633	0.351203	0.419127	0.115593	0.0333705	0.0115478	0.0110807	0.0341141
ω	0.070004	0.0620989	0.671672	0.0470004	0.0606728	0.0235841	0.0223463	0.0426218
r	0.06273	0.104021	0.473187	0.136483	0.0735489	0.0477539	0.0351008	0.0671759
ω	0.0817008	0.363998	0.128195	0.185455	0.107402	0.0806307	0.0266241	0.0259959
s	0.00229835	0.0813038	0.0319185	0.566516	0.0955387	0.142601	0.0422286	0.0375951
á	0.003657	0.028587	0.0287404	0.0635172	0.0979611	0.0805471	0.418416	0.278574
p	0.00123426	0.00745696	0.002891	0.0539514	0.0501334	0.0984056	0.740535	0.0453925
ε	0.0057323	0.00405851	0.0518319	0.0372405	0.154607	0.106571	0.529932	0.110027
n	0.00259752	0.00454921	0.107371	0.0777217	0.235015	0.116366	0.345161	0.111218
g	0.00346455	0.00876496	0.0221678	0.119924	0.461525	0.18169	0.111637	0.0908262
ε	0.00185074	0.0158335	0.0141294	0.040948	0.252861	0.362792	0.247641	0.0639438
y	0.000638042	0.00488132	0.00242728	0.24573	0.169986	0.130518	0.131135	0.314684
á	0.00201891	0.0099375	0.00567339	0.098806	0.135419	0.266744	0.339136	0.142265
t	0.00229303	0.0119865	0.00300894	0.0604233	0.0665478	0.0829139	0.514116	0.258711
s	0.00531416	0.0039258	0.0178868	0.0206573	0.0704687	0.0649711	0.655391	0.161385
ω	0.00141087	0.00134516	0.00972933	0.0190739	0.0735926	0.0577673	0.700926	0.136155
y	0.000578336	0.00150401	0.00424231	0.0376216	0.093756	0.0649308	0.357553	0.439814
é	0.00248863	0.00429944	0.00989379	0.0361129	0.057453	0.0876817	0.502229	0.299842
</S>	0.00103333	0.00443098	0.00725514	0.0523687	0.0490401	0.0450385	0.23511	0.605724
