 	apporte-moi	quelques	grains	d'	arachides	</S>
y	0.978326	0.0101474	0.00834734	0.00307784	1.94651e-05	8.15345e-05
a	0.957084	0.0258332	0.00307084	0.00385408	0.00423151	0.00592665
á	0.643893	0.156667	0.00792283	0.00234159	0.182206	0.00696984
n	0.791559	0.144555	0.0171104	0.00593716	0.00224613	0.0385921
g	0.327817	0.533576	0.0107425	0.038368	0.00535908	0.0841374
á	0.286496	0.615541	0.0261766	0.0075919	0.0457229	0.0184722
l	0.0685677	0.103782	0.348493	0.238253	0.0338807	0.207023
a	0.141979	0.578856	0.0563955	0.0410142	0.00464252	0.177113
m	0.279203	0.379358	0.223323	0.0490134	0.02241	0.0466934
í	0.00352999	0.932053	0.0223538	0.0259302	0.00687883	0.00925394
s	0.0493817	0.404071	0.305797	0.12704	0.011292	0.102418
i	0.0259574	0.0804077	0.49392	0.104428	0.108722	0.186564
m	0.00237784	0.0128132	0.443786	0.306276	0.0317219	0.203024
á	0.000806768	0.0276249	0.100967	0.421913	0.017092	0.431596
n	0.0382104	0.0411275	0.186863	0.167262	0.523498	0.0430398
d	0.0117767	0.0384595	0.274433	0.291471	0.247801	0.136059
z	0.00108909	0.00278421	0.0302476	0.0828493	0.824374	0.0586553
o	2.76226e-05	0.000303467	0.00484412	0.00775211	0.977499	0.00957346
ó	0.00191508	0.0091614	0.300242	0.0367284	0.210602	0.441352
</S>	0.000381611	0.00568393	0.04902	0.0959812	0.00994258	0.838991
