 	ibara	est	en	train	de	danser	le	kyebe-	kyebe	</S>
i	0.946006	0.0322766	0.00384141	0.00576013	0.00295473	0.00133413	0.00411664	0.0012129	0.00214073	0.000356714
b	0.994467	0.00362101	0.000417863	0.000739175	0.000194645	0.000106032	0.000140581	0.000110395	4.64034e-05	0.000156591
a	0.98998	0.00367989	0.00105181	0.0037843	0.000309172	0.00013814	0.000347575	0.000117895	0.000124693	0.000466908
r	0.665918	0.215262	0.0615445	0.041308	0.00319423	0.00113617	0.00156408	0.000711532	0.000599097	0.00876234
a	0.886506	0.0479667	0.0207229	0.00530572	0.0107859	0.00591135	0.006354	0.00116803	0.000181695	0.0150975
b	0.072895	0.412097	0.330773	0.0438273	0.055615	0.012101	0.0164618	0.00731462	0.000794275	0.0481205
ó	0.0150274	0.156064	0.3087	0.0692025	0.112821	0.0968091	0.0714097	0.0156691	0.00764513	0.146652
l	0.00327058	0.218062	0.585879	0.0734323	0.0312482	0.0331888	0.0108653	0.00925826	0.000518202	0.034277
á	0.00615875	0.15141	0.138086	0.00781131	0.0954094	0.165024	0.0710073	0.0141436	0.000333224	0.350617
a	0.00395456	0.253201	0.294681	0.125598	0.167286	0.0727458	0.0407657	0.00776379	0.00102294	0.032982
b	0.0278805	0.21854	0.184498	0.149463	0.155316	0.158294	0.0259413	0.0357168	0.0108247	0.0335249
í	0.0683441	0.13849	0.235254	0.216622	0.218941	0.0495155	0.0460673	0.0131643	0.00193703	0.0116651
n	0.00225484	0.18101	0.273778	0.11497	0.0504594	0.0657558	0.071514	0.109798	0.0159265	0.114533
á	0.000389639	0.0562223	0.132674	0.0367387	0.217362	0.237171	0.224415	0.0525366	0.00978035	0.0327093
k	3.36521e-05	0.00790481	0.0234177	0.00601615	0.163749	0.377189	0.271896	0.108342	0.0242135	0.0172374
y	0.0001229	0.00506905	0.00500667	0.0674069	0.0225217	0.0290082	0.0699838	0.543439	0.238177	0.0192645
e	0.000192933	0.00248928	0.00383666	0.00964481	0.0173821	0.0393203	0.147637	0.659992	0.096914	0.0225913
b	2.12903e-05	0.00179206	0.00883035	0.00447735	0.0443713	0.0373244	0.280581	0.382833	0.180026	0.0597435
h	3.69719e-05	0.00127689	0.00314872	0.00244898	0.0449122	0.0343422	0.252493	0.194427	0.292566	0.174349
é	8.70077e-05	0.0087157	0.0160811	0.00802243	0.109914	0.0931758	0.433071	0.0953503	0.0848206	0.150762
k	1.06883e-05	0.00123076	0.0028601	0.00114833	0.0314973	0.0238051	0.262864	0.352991	0.122955	0.200638
y	5.98201e-06	0.00100974	0.00036473	0.00186732	0.00330444	0.0020275	0.0424136	0.285199	0.595409	0.0683982
e	2.77105e-05	0.000381813	0.000992878	0.000448313	0.00367138	0.007544	0.0531453	0.285846	0.544417	0.103525
b	1.20379e-05	0.000335713	0.000756373	0.000206909	0.00310145	0.00558189	0.0461027	0.22762	0.463312	0.252971
h	7.78604e-06	0.00134271	0.00151427	0.00196805	0.0143658	0.00501283	0.0997859	0.109962	0.569528	0.196513
é	0.000545834	0.0343157	0.0453315	0.0233262	0.0532739	0.045164	0.172785	0.129569	0.18872	0.30697
</S>	0.000111322	0.00251555	0.00515637	0.00224007	0.0158613	0.0110366	0.0753477	0.228594	0.0960936	0.563044
