 	celui-ci	est	mon	champ	celui-là	est	à	mon	oncle	</S>
y	0.310073	0.170631	0.0535466	0.252271	0.141098	0.0224489	0.0212107	0.0259257	0.001646	0.0011485
é	0.00285175	0.00747037	0.00699381	0.143584	0.782351	0.0260384	0.00509251	0.0173645	0.00677398	0.00147903
n	0.00580329	0.0558773	0.00896093	0.715036	0.106657	0.0402444	0.0204845	0.00603175	0.0133919	0.0275133
g	0.000394235	0.00142425	0.00451927	0.946156	0.00291596	0.000304267	0.000375065	0.0073632	0.0305155	0.00603264
o	0.000373779	0.00112515	0.00424665	0.977897	0.0019034	0.000237878	0.000262423	0.00200282	0.0105808	0.00136982
n	0.00159742	0.00614541	0.0199551	0.857532	0.0398742	0.00568581	0.0114352	0.0171327	0.0219071	0.018735
d	0.0785373	0.0407142	0.0156319	0.0272444	0.0986619	0.0270488	0.0840108	0.00758628	0.00397848	0.616586
a	0.028238	0.033367	0.0264853	0.430057	0.137118	0.017943	0.0622771	0.0760928	0.0436821	0.14474
y	0.137345	0.15809	0.22155	0.110664	0.213007	0.0590735	0.042345	0.0321002	0.0109783	0.0148476
á	0.0698575	0.0787338	0.403027	0.0678247	0.150024	0.103145	0.0375109	0.0357217	0.0387473	0.0154087
n	0.00847459	0.00697093	0.754685	0.0107421	0.0887415	0.0132333	0.0144815	0.0866132	0.0115286	0.00452912
g	8.82909e-05	0.000300989	0.74806	0.0496354	0.0274121	0.000875262	0.00120887	0.114892	0.0568625	0.000663755
á	0.000265858	0.00180771	0.332516	0.0610276	0.0580737	0.0120622	0.0188088	0.189093	0.303834	0.0225114
y	0.011148	0.00874827	0.0807382	0.00987922	0.0848774	0.191663	0.168244	0.226038	0.20524	0.013424
é	0.00730744	0.0325548	0.277584	0.0186057	0.0642344	0.13672	0.0946867	0.128202	0.226566	0.013538
y	0.0046417	0.00891448	0.354477	0.00622979	0.030472	0.102061	0.147356	0.103321	0.171971	0.070555
á	0.00257777	0.0205218	0.105972	0.0111648	0.0286271	0.136049	0.110137	0.0715045	0.484247	0.0291991
n	0.0105872	0.00578245	0.0735329	0.00303524	0.0325132	0.11607	0.351285	0.180574	0.0760775	0.150542
g	0.000295986	0.00149241	0.268329	0.00433341	0.010423	0.0169643	0.0527972	0.126094	0.435594	0.0836771
ó	0.000105619	0.000323709	0.0226215	0.006462	0.00703441	0.00871963	0.0188099	0.0776695	0.791281	0.0669727
l	0.000291826	0.000421588	0.00994411	0.0026373	0.000925039	0.00671177	0.013634	0.0162623	0.768068	0.181104
o	0.0035315	0.00219122	0.0118487	0.00546076	0.00356563	0.0167265	0.037357	0.0614969	0.728093	0.129729
m	0.000780733	0.00106295	0.111047	0.00198391	0.00279679	0.00443237	0.00890508	0.0397	0.759943	0.0693479
i	0.0249781	0.0250941	0.0246703	0.00387645	0.0241307	0.0556615	0.105673	0.0979278	0.206183	0.431805
</S>	0.00948488	0.00567715	0.00391781	0.00046168	0.00621162	0.0159459	0.0827404	0.0852104	0.0137039	0.776646
