 	de	petits	enfants	sont	en	train	de	jouer	au	foot-	ball	</S>
b	0.316975	0.397946	0.280131	0.000954066	0.00074899	0.00134579	0.000246021	0.000419864	0.000304856	0.000547728	0.00032679	5.34845e-05
á	0.0146659	0.419745	0.550101	0.00293928	0.00633515	0.00427811	0.000336102	0.000698245	0.000308362	0.000495619	5.55196e-05	4.17958e-05
n	0.00336864	0.240244	0.746832	0.00657863	0.00217276	0.000151749	9.95954e-05	0.00019805	9.75829e-05	2.10817e-05	5.12975e-06	0.000230601
a	0.0835017	0.681291	0.212163	0.0137573	0.00278729	7.94325e-05	0.000426378	0.000396723	0.00104333	0.000132459	9.61701e-05	0.00432517
b	0.217567	0.204235	0.25277	0.203866	0.065925	0.00387691	0.0118722	0.00532688	0.00531049	0.00565149	0.000784237	0.0228158
á	0.0581597	0.0653206	0.150052	0.265316	0.157978	0.0847712	0.10981	0.04294	0.0165193	0.0220055	0.000335094	0.026794
n	0.0149657	0.0600682	0.236867	0.408629	0.21676	0.0318154	0.010913	0.0034736	0.00220423	0.00245333	0.00141451	0.010436
d	0.160282	0.237759	0.0277573	0.273306	0.109076	0.00180704	0.0381792	0.0342014	0.0300141	0.00602282	0.000194855	0.0814001
z	0.226031	0.311279	0.0571433	0.279279	0.0663905	0.00221138	0.0111272	0.00326149	0.00653627	0.00202615	0.000737706	0.0339772
é	0.421404	0.435813	0.0828861	0.0250347	0.0128313	0.000587112	0.00479145	0.000548193	0.00181367	0.00111229	0.00652509	0.0066532
s	0.42699	0.193683	0.0152634	0.0700419	0.168692	0.0197143	0.0428733	0.00593342	0.0103747	0.0112622	0.0121111	0.0230597
i	0.555261	0.220186	0.050778	0.0442054	0.0772432	0.0113774	0.0178158	0.002661	0.00456271	0.00303573	0.00433331	0.00854026
b	0.01531	0.00437411	0.0107412	0.62452	0.195843	0.0112724	0.0930439	0.0232229	0.00707624	0.00719848	0.000844501	0.00655377
ó	0.0483026	0.0591341	0.0838134	0.146914	0.129753	0.186439	0.159526	0.10588	0.0199023	0.0293221	0.000804161	0.0302089
b	0.0226175	0.00511047	0.00659505	0.299498	0.173894	0.0331633	0.284346	0.0624925	0.0287029	0.0573731	0.00275287	0.0234536
á	0.13442	0.401455	0.030109	0.113931	0.0417934	0.024199	0.0890835	0.0924678	0.0276574	0.0379103	0.00152241	0.00545156
a	0.0188114	0.0678227	0.0227203	0.388041	0.17157	0.0175537	0.157232	0.111075	0.0213391	0.0189044	0.000383388	0.00454659
b	0.00468083	0.00183957	0.00226109	0.0717153	0.0207993	0.00858077	0.244485	0.272097	0.18656	0.0778052	0.0189883	0.0901871
έ	0.0120317	0.0139186	0.00274869	0.0350136	0.106398	0.125912	0.119398	0.323541	0.141233	0.0775015	0.0110632	0.031242
r	0.00197055	0.00133001	0.000449794	0.0416692	0.0632674	0.00734109	0.155855	0.291432	0.205424	0.101112	0.0325956	0.0975532
έ	0.00794684	0.00395275	0.000546617	0.0213258	0.0091299	0.000476516	0.10195	0.282423	0.269532	0.100659	0.035666	0.166391
k	0.00259675	0.00247183	0.000580066	0.0230345	0.00612826	0.000447115	0.0770844	0.199602	0.274309	0.146604	0.0672466	0.199896
o	0.00240467	0.00392058	0.00171589	0.00160204	0.00258065	0.000744824	0.00565388	0.0176913	0.046876	0.150559	0.707343	0.058908
l	0.00014578	0.000100985	5.34047e-05	0.000897071	0.00589602	0.00827674	0.00435955	0.00469925	0.00998477	0.0348596	0.849276	0.0814504
i	0.00074827	0.000206455	0.000341819	0.00228908	0.00485087	0.00699934	0.0107937	0.024275	0.0696162	0.0851573	0.658889	0.135833
</S>	0.00115603	0.000139932	5.05179e-05	0.00268704	0.00340394	0.00308468	0.0195474	0.0253662	0.0556809	0.0428197	0.127305	0.718759
