 	c'	est	un	bon	mari	</S>
w	0.665074	0.173497	0.0739222	0.0805244	0.00135527	0.00562698
a	0.594091	0.144047	0.0439267	0.207701	0.00850597	0.00172865
a	0.431721	0.289962	0.138473	0.0543407	0.0124315	0.073072
d	0.100103	0.371626	0.251465	0.135651	0.0869051	0.0542493
í	0.044317	0.371243	0.242929	0.0204354	0.0915728	0.229503
o	0.0166671	0.062496	0.151914	0.324541	0.0637153	0.380667
l	0.0031163	0.029777	0.154274	0.19382	0.408018	0.210995
ó	0.000595241	0.0180184	0.0753229	0.010198	0.869052	0.026813
m	0.00349505	0.0239612	0.146275	0.0921625	0.684341	0.0497661
i	0.00773596	0.0192374	0.116352	0.146728	0.132401	0.577545
ω	0.0184945	0.0155618	0.139098	0.542639	0.00159664	0.282611
b	0.00298011	0.0120778	0.0908028	0.681351	0.0192241	0.193564
v	0.00472476	0.0229699	0.103458	0.782247	0.0200306	0.0665696
έ	0.0019293	0.00834869	0.126911	0.795626	0.0200977	0.0470878
</S>	0.000489174	0.0017489	0.0186611	0.0838807	0.00129648	0.893924
