 	j'	ai	donné	un	drap	blanc	comme	contribution	à	l'	inhumation	de	ma	belle-mère	</S>
n	0.7421	0.0688924	0.0202497	0.0245484	0.121579	0.0133988	0.00512654	0.00130665	0.000754339	0.000599788	9.33356e-05	0.000166529	0.000875814	0.000280816	2.76541e-05
g	0.946366	0.036071	0.00263683	0.00438834	0.00188901	0.000299889	0.00198992	0.00284526	0.000217206	0.000241743	3.10551e-06	2.45282e-05	0.00288136	0.000137836	8.13054e-06
á	0.917521	0.0293867	0.0110147	0.00812957	0.00339871	0.000150762	0.000257732	0.0278678	6.44657e-05	0.000179925	3.23711e-05	2.42788e-05	0.00181116	0.000149221	1.17902e-05
í	0.0343518	0.215945	0.177874	0.196459	0.0325108	0.020772	0.0112285	0.00705648	0.025863	0.0339479	0.00669016	0.0264737	0.0434118	0.00661979	0.160796
k	0.00193158	0.0642292	0.72953	0.133767	0.0563577	0.00223412	0.000512694	0.00138484	0.000825739	0.00154433	0.00234498	0.00154633	0.000726795	0.000513064	0.00255202
u	7.3727e-05	0.0183472	0.364185	0.233222	0.330191	0.0124227	0.00102985	0.000704112	0.00237781	0.00276207	0.0250663	0.00318177	0.000453291	0.00138428	0.00459907
n	7.84992e-05	0.00572675	0.111147	0.362682	0.510585	0.0073623	0.000198697	0.000217492	0.000284578	0.000365237	4.28246e-05	0.000563807	0.000324242	0.00018326	0.000238645
d	0.00044131	0.0115404	0.0985699	0.426963	0.429618	0.0174447	0.000609956	0.000519192	0.00259384	0.00314486	0.000311733	0.0032423	0.00199726	0.000240433	0.00276221
u	0.000786459	0.0212996	0.0533189	0.463541	0.267616	0.0512454	0.00563775	0.0256095	0.0194967	0.0308224	0.000148538	0.0117735	0.0357052	0.00222719	0.0107717
n	0.00464215	0.064027	0.0294294	0.0863682	0.0504769	0.198986	0.121401	0.283861	0.0586453	0.0502546	0.00388675	0.0112443	0.0169932	0.00378963	0.0159943
g	0.00366396	0.00758926	0.00809444	0.0572973	0.0666878	0.1023	0.0450046	0.607366	0.0124188	0.0160357	0.000844023	0.00424114	0.0574574	0.00350342	0.00749672
