 	il	a	réussi	ses	études	parce	qu'	il	a	été	persévérant	</S>
w	0.724759	0.168202	0.0230856	0.033672	0.016302	0.00930186	0.0143481	0.00397672	0.00465173	0.00101017	0.000594397	9.61454e-05
a	0.756135	0.148759	0.0214657	0.0501101	0.00367674	0.00451216	0.0039524	0.00185142	0.0048493	0.00247915	0.00216743	4.17304e-05
á	0.393198	0.399564	0.0271008	0.0242058	0.0105738	0.011984	0.0349615	0.025331	0.0450227	0.0158593	0.00786223	0.00433716
b	0.131356	0.403657	0.266762	0.0445605	0.0270065	0.0131997	0.01262	0.0129623	0.0261431	0.0113044	0.00422662	0.046202
h	0.071627	0.183809	0.444248	0.125646	0.0593904	0.0334281	0.0179954	0.021897	0.0184625	0.0036451	0.00325541	0.0165957
e	0.0292352	0.116355	0.65277	0.127048	0.0519854	0.00530773	0.00348371	0.00221601	0.00358073	0.000782963	0.000519405	0.0067161
r	0.0134045	0.0625297	0.743314	0.0906957	0.0309864	0.00433858	0.00366474	0.00131643	0.00192724	0.00106192	0.00333719	0.043424
á	0.102387	0.197812	0.518405	0.076194	0.0189847	0.010765	0.0152931	0.00829618	0.00992724	0.00208354	0.00352412	0.0363278
l	0.21359	0.199014	0.119796	0.147115	0.127261	0.0861925	0.023928	0.0280876	0.0198473	0.00872821	0.0141846	0.0122559
e	0.174151	0.106795	0.0869821	0.156744	0.11154	0.073337	0.0600892	0.0432813	0.0540687	0.030619	0.00814638	0.0942462
k	0.0153224	0.0407613	0.207216	0.32738	0.318283	0.038958	0.0102378	0.00455621	0.00498979	0.0141452	0.00574861	0.0124023
ώ	0.000619036	0.00357432	0.254196	0.155541	0.569279	0.0104425	0.00266591	0.000816499	0.000214953	0.000258668	0.00112347	0.00126907
ώ	0.00253568	0.0122958	0.256162	0.127338	0.513475	0.0332673	0.0183059	0.0112164	0.00528787	0.00229391	0.00569404	0.0121283
l	0.00932292	0.0322096	0.0256547	0.25188	0.313217	0.247704	0.0587269	0.0275966	0.0115407	0.00358523	0.00604477	0.0125168
i	0.00620557	0.016407	0.0314204	0.111302	0.339473	0.0955862	0.0516263	0.0367794	0.0199801	0.0143877	0.0366979	0.240134
t	0.0224419	0.0205535	0.0102044	0.107499	0.113965	0.372019	0.137367	0.0808502	0.0399597	0.0223362	0.00892237	0.0638816
s	0.0162851	0.0150804	0.0381383	0.152689	0.317508	0.240584	0.0902867	0.0520777	0.007362	0.00889072	0.039787	0.0213113
í	0.000667395	0.00230307	0.0311486	0.0986403	0.255859	0.19437	0.195397	0.10598	0.0339144	0.015755	0.0257448	0.0402199
n	0.00402014	0.00833375	0.0436021	0.129138	0.365475	0.247259	0.0568229	0.0374217	0.00544886	0.00310308	0.0436645	0.0557113
a	0.0262329	0.014871	0.0156087	0.0394148	0.061815	0.156246	0.0839319	0.134866	0.0497023	0.0264983	0.0379986	0.352815
w	0.00577266	0.0144405	0.0119845	0.0963038	0.151026	0.204384	0.202206	0.151028	0.0704183	0.0163397	0.0140505	0.0620465
a	0.00634683	0.00927172	0.00689325	0.0556168	0.044843	0.199991	0.307838	0.20537	0.0578666	0.0438772	0.0401102	0.0219761
á	0.00368323	0.00507478	0.00145366	0.0158968	0.0103588	0.128835	0.271489	0.325206	0.112736	0.0418626	0.0094126	0.0739907
d	0.0081093	0.0350674	0.0404722	0.0753604	0.0558966	0.0144711	0.0542762	0.0991566	0.283262	0.115897	0.0179755	0.200056
z	0.00150962	0.00637701	0.00360058	0.0186844	0.0161922	0.0295275	0.0693104	0.106245	0.14758	0.10502	0.0268337	0.469119
á	0.00546382	0.020376	0.00728438	0.0461789	0.0177306	0.0580409	0.149043	0.160494	0.169678	0.218361	0.0490541	0.0982954
l	0.000590786	0.000836669	0.000512153	0.00709468	0.0111026	0.0532717	0.140207	0.265052	0.181656	0.139438	0.0550196	0.145219
o	0.00233683	0.0029391	0.00284888	0.0123068	0.0188084	0.0382588	0.0825398	0.150177	0.13949	0.150007	0.0495586	0.350728
s	0.00263148	0.00362722	0.00225324	0.0137886	0.0103269	0.0962088	0.159401	0.191885	0.156597	0.234613	0.0880615	0.0406063
w	0.000907721	0.00713111	0.0418085	0.0241755	0.00776182	0.0189301	0.0866292	0.0459393	0.142862	0.234116	0.215438	0.1743
a	0.0017104	0.00271677	0.00366895	0.00466118	0.00217687	0.0137722	0.0593623	0.0612697	0.101946	0.275334	0.358073	0.115307
m	0.000154182	0.000490132	0.000862682	0.00283983	0.00118305	0.00616562	0.0467451	0.0567942	0.149358	0.157058	0.211087	0.367262
w	0.000238101	0.000845614	0.00199012	0.00648624	0.00223225	0.00819159	0.0328814	0.0301632	0.126165	0.212933	0.525384	0.0524903
e	0.000968484	0.000840212	0.00172844	0.00137465	0.000669317	0.0125913	0.0226802	0.0287819	0.0260423	0.0476812	0.766406	0.0902357
</S>	0.000140418	0.000479038	0.00242525	0.00211642	0.00130815	0.00295383	0.0217881	0.0174896	0.0250766	0.019304	0.289248	0.61767
