 	mon	coeur	palpite	parce	que	la	nourriture	que	j'	ai	mangée	était	trop	salée	</S>
n	0.630422	0.244018	0.00217709	0.00645449	0.00850474	0.0140798	0.0260907	0.0176101	0.0150238	0.0255018	0.00712946	0.000664565	0.00220806	7.4628e-05	4.0784e-05
g	0.973055	0.00666997	0.000675853	0.000803978	0.00122339	0.000578577	0.000315403	0.000968194	0.00939383	0.0060189	0.000222661	4.41849e-05	2.51223e-05	3.04146e-06	2.22207e-06
á	0.948513	0.0102397	0.00149027	0.00144012	0.00224135	0.00181391	0.00148355	0.0014393	0.0172751	0.0122253	0.0012805	0.000361816	0.000161712	7.06075e-06	2.74523e-05
o	0.666297	0.125971	0.00413525	0.015686	0.0175348	0.0133585	0.00518384	0.0121808	0.0180361	0.0634889	0.00862404	0.00417038	0.00668186	0.000371825	0.0382804
t	0.0176402	0.922794	0.0423405	0.000908138	0.000727277	0.000503827	5.57285e-05	0.000325522	0.000915966	0.000274227	0.000788148	0.00687774	0.000569589	0.00465666	0.000622951
é	0.00199174	0.947518	0.0169953	0.00389463	0.00242217	0.00359605	0.00109059	0.00274384	0.001981	0.00126966	0.00356767	0.0059366	0.00152889	0.000878306	0.00458596
m	0.0220069	0.884613	0.0188961	0.0137664	0.00645622	0.00738598	0.00197469	0.00443618	0.00672236	0.00393841	0.00525661	0.00556885	0.00496693	0.00261757	0.0113936
a	0.0276297	0.611672	0.139793	0.0593031	0.0505983	0.0291275	0.0213997	0.0116082	0.00297689	0.00354303	0.0147209	0.00881233	0.0034361	0.00322939	0.01215
b	0.134352	0.10784	0.179366	0.101378	0.0962415	0.0487703	0.11592	0.0408134	0.0172786	0.0566659	0.0365511	0.00976973	0.0119432	0.00164098	0.0414683
ó	0.0205054	0.0274353	0.0873759	0.464807	0.120622	0.0806982	0.0989191	0.0376302	0.00342084	0.0182538	0.0294416	0.00257416	0.00238176	0.00031119	0.005623
m	0.0989678	0.050108	0.212634	0.142869	0.0896321	0.0900087	0.0703939	0.0513046	0.0420338	0.0752612	0.029741	0.00557641	0.0106525	0.000325288	0.0304909
ó	0.00328314	0.0415187	0.0768549	0.0368227	0.299483	0.160849	0.236951	0.0442625	0.00459162	0.0193672	0.0586607	0.00157867	0.000719424	3.60859e-05	0.0150217
o	0.0161571	0.0353412	0.331323	0.0990545	0.139913	0.206326	0.0311835	0.063447	0.0343588	0.00896573	0.0224569	0.00392244	0.0020021	0.00140085	0.00414839
l	0.00175852	0.0324442	0.784637	0.028863	0.0516535	0.0534569	0.00860349	0.0118121	0.0085877	0.000837338	0.0060151	0.0069153	0.000951291	0.00185994	0.00160427
y	0.00116554	0.0158296	0.850531	0.021344	0.0205205	0.0190221	0.000374147	0.00550702	0.0137803	0.000638161	0.00196422	0.0183984	0.00193463	0.00418114	0.0248092
é	0.00191637	0.0244272	0.88797	0.0190419	0.00906504	0.0145962	0.000351218	0.00332057	0.00896695	0.000410853	0.00146252	0.0122086	0.00292793	0.00207816	0.0112565
n	0.00812123	0.0349616	0.297915	0.115735	0.0947543	0.114538	0.0352414	0.0603656	0.0200133	0.00739486	0.0170883	0.0455729	0.035245	0.0128698	0.100183
g	0.00316703	0.011362	0.156869	0.263261	0.12643	0.1353	0.154054	0.0650595	0.0300518	0.0140315	0.0132908	0.00310366	0.00438449	0.000822348	0.0188129
a	0.00331142	0.00722085	0.16433	0.221116	0.165636	0.205392	0.0297474	0.0730052	0.0816615	0.0139231	0.00369258	0.000898975	0.00152338	0.000824228	0.0277165
t	0.00169776	0.00046471	0.00974822	0.12829	0.121261	0.126674	0.209922	0.207981	0.0902521	0.0563952	0.0319763	0.00293074	0.00728052	0.000355795	0.00477064
s	0.00153748	0.00205539	0.0288488	0.155403	0.0585103	0.197181	0.158892	0.225474	0.068706	0.0226776	0.0408498	0.00324853	0.00622222	0.0105431	0.0198513
í	0.000531013	0.00378598	0.045238	0.182927	0.059566	0.179827	0.105083	0.178052	0.096316	0.0225104	0.0588038	0.0199692	0.00997723	0.00599772	0.0314151
n	0.00269536	0.001688	0.0360369	0.122338	0.0516578	0.126525	0.222649	0.165087	0.153735	0.0560693	0.0287702	0.00618345	0.00828374	0.00209017	0.0161907
a	0.0199487	0.00386087	0.0314821	0.0930227	0.072957	0.0458226	0.090541	0.115815	0.232571	0.115191	0.0324893	0.00577556	0.00388656	0.00127153	0.135365
b	0.000543624	0.000458704	0.00420711	0.0325026	0.0388739	0.0484185	0.0480978	0.213646	0.317917	0.132196	0.0869296	0.026528	0.0387822	0.0009271	0.00997115
e	0.000625184	0.00305076	0.00976893	0.11081	0.0315069	0.0672341	0.14197	0.144816	0.0730943	0.0838573	0.28308	0.0237984	0.0117024	0.00211894	0.0125667
a	0.00118279	0.000295039	0.00152473	0.0405227	0.0220057	0.031459	0.111139	0.141575	0.111952	0.232731	0.211653	0.0278489	0.0234774	0.000320773	0.0423129
b	0.000597633	0.000609515	0.00221108	0.00852306	0.0152384	0.0110853	0.0135161	0.06641	0.212516	0.204137	0.139524	0.135055	0.174103	0.000571969	0.0159021
í	0.000810564	0.00170006	0.0051735	0.0634173	0.0271023	0.0326258	0.0711206	0.0976147	0.111917	0.204038	0.28162	0.0572183	0.0331991	0.000966541	0.0114761
í	0.00274383	0.000818402	0.00239966	0.0359152	0.0214775	0.0186894	0.0483333	0.0898584	0.149918	0.256527	0.133241	0.0638	0.108225	0.00109377	0.0669589
d	0.00038058	0.00146437	0.00417535	0.00311829	0.00497204	0.00403284	0.00161414	0.0106918	0.065935	0.0561951	0.0367296	0.395993	0.387906	0.00191536	0.0248766
z	0.000331953	0.0014528	0.00793991	0.00499941	0.0142291	0.00775317	0.00243145	0.0194277	0.129266	0.0637451	0.0773802	0.499316	0.0601189	0.000922569	0.110686
