 	a	son	tour	son	frère	l'	a	mal	reçu	</S>
l	0.612013	0.201756	0.131365	0.0251292	0.00547164	0.00643113	0.00453171	0.0116556	0.0010924	0.000553973
ώ	0.482114	0.272032	0.200648	0.0170472	0.0058268	0.00599491	0.00433129	0.00512302	0.00422936	0.00265324
p	0.138251	0.473728	0.257051	0.0206851	0.00793872	0.00888298	0.00623785	0.00629292	0.0114579	0.0694744
f	0.00497388	0.0952577	0.637194	0.0240616	0.0306394	0.0167578	0.0236953	0.00228503	0.0077547	0.157381
a	0.0048855	0.125688	0.843234	0.0146937	0.00355379	0.00205913	0.00191373	0.0004704	0.000366627	0.00313492
m	0.0119027	0.0785558	0.525497	0.151119	0.0360776	0.0244187	0.0216043	0.0175488	0.0134758	0.1198
ó	0.0685559	0.0500012	0.214961	0.461761	0.0700575	0.0462415	0.0257323	0.0135875	0.00848415	0.0406176
w	0.0691069	0.0993742	0.137058	0.395349	0.135802	0.0480239	0.0173709	0.00958268	0.00550185	0.0828294
a	0.0634854	0.133095	0.312644	0.243986	0.0461207	0.0380956	0.0402365	0.0125022	0.00809327	0.101741
m	0.027611	0.0504293	0.127552	0.543069	0.108038	0.0479014	0.0166569	0.0161005	0.00739992	0.055242
w	0.0666624	0.0277697	0.120326	0.360582	0.195911	0.121726	0.0463007	0.0176468	0.0165117	0.0265651
á	0.00736583	0.0203248	0.241323	0.206385	0.215316	0.0879335	0.0728284	0.0121378	0.00942976	0.126956
n	0.0411636	0.0162307	0.0483819	0.366225	0.138608	0.0663304	0.0423026	0.0195748	0.00852248	0.25266
a	0.0395481	0.0755704	0.303605	0.230433	0.0392279	0.0293509	0.0219351	0.0171365	0.0426912	0.200503
n	0.0312276	0.0316558	0.029211	0.262294	0.190365	0.260817	0.0788067	0.0751771	0.0174908	0.0229549
g	0.0291937	0.0633386	0.0693872	0.220889	0.0959664	0.108866	0.0452805	0.0588437	0.118692	0.189542
ó	0.00599912	0.0192562	0.0481789	0.187815	0.135051	0.217952	0.0598841	0.0704129	0.165261	0.0901888
o	0.00225535	0.00798303	0.037505	0.181137	0.0704781	0.142915	0.06076	0.11299	0.209264	0.174713
á	0.0050613	0.00719511	0.00814451	0.0360367	0.162433	0.247801	0.243738	0.0986056	0.122027	0.0689581
y	0.00619353	0.0211047	0.00421269	0.00932475	0.0660334	0.098697	0.218413	0.207712	0.20562	0.162689
a	0.00288532	0.0093047	0.00224793	0.00957514	0.021067	0.0440564	0.107147	0.355493	0.180084	0.268139
m	0.000234183	0.000984577	0.00126268	0.0152887	0.0295227	0.0585069	0.0910334	0.365104	0.134238	0.303825
b	0.000701848	0.00221378	0.00159712	0.00495579	0.0296793	0.0675903	0.152157	0.18304	0.274412	0.283653
i	0.000957456	0.00183317	0.00468795	0.02038	0.0274305	0.089585	0.14691	0.206519	0.236017	0.26568
w	0.000660506	0.0018255	0.00242858	0.0109132	0.0179364	0.0530439	0.106046	0.247525	0.217791	0.34183
á	0.00653525	0.00822314	0.00937515	0.0433248	0.046837	0.0949149	0.213482	0.268963	0.149654	0.158691
o	0.0173153	0.00814645	0.0116642	0.0357466	0.0177537	0.0227063	0.0355504	0.174705	0.419216	0.257196
b	0.00217254	0.00714958	0.00336002	0.0027793	0.0171083	0.014303	0.0219003	0.0676364	0.697264	0.166327
é	0.00146147	0.00730076	0.00876112	0.0265833	0.092396	0.095808	0.156377	0.248073	0.250662	0.112578
</S>	9.47647e-05	0.000773992	0.0011826	0.00307165	0.00740979	0.0130195	0.0519737	0.116639	0.120455	0.68538
