 	aujourd'	hui	le	féticheur	va	prélever	du	sang	sur	ce	malade	</S>
p	0.572563	0.358029	0.0488925	0.0134112	0.003432	0.000466924	0.00110546	0.000219131	0.000629956	0.00103719	0.000189507	2.41073e-05
á	0.291938	0.673427	0.00930765	0.0120231	0.00589352	0.00163738	0.000865665	0.00108737	0.00120856	0.00119934	0.0012426	0.000170052
b	0.136008	0.807902	0.0180155	0.0140017	0.0100689	0.00393439	0.00146744	0.00027001	0.00154804	0.000402416	0.000107243	0.00627469
h	0.10954	0.564109	0.0109944	0.00108989	0.0129386	0.19681	0.0343584	0.0124068	0.0210937	0.0067221	0.00198126	0.0279569
a	0.231687	0.63822	0.0229258	0.0055736	0.0129972	0.0448453	0.0101305	0.00335701	0.00180344	0.000797555	0.000486652	0.0271753
n	0.114466	0.092744	0.36467	0.36095	0.0337366	0.00732443	0.00878324	0.00357885	0.00313211	0.0020982	0.000499693	0.00801604
g	0.0138022	0.00264364	0.123146	0.823364	0.0259403	0.000259099	0.00214135	0.00120931	0.000387925	0.000311227	3.81684e-05	0.00675668
a	0.00113436	0.000400006	0.0356371	0.957577	0.00458339	5.55113e-05	0.000116324	0.000215726	1.82509e-05	2.1676e-05	1.74125e-05	0.000223294
n	0.0101246	0.00378416	0.125316	0.636065	0.161454	0.00173131	0.0135016	0.0299264	0.00210717	0.00346516	0.00154703	0.0109773
g	0.0358674	0.00779738	0.145106	0.312657	0.383934	0.0130042	0.0182417	0.00646739	0.00632553	0.00402002	0.000640695	0.0659387
a	0.0469728	0.00829234	0.201602	0.588188	0.139112	0.00202075	0.00314438	0.00298079	0.000356806	0.00034389	0.000584555	0.00640159
l	0.0376238	0.0480814	0.15354	0.145646	0.46384	0.021642	0.07351	0.0177866	0.0093189	0.00685852	0.000435545	0.0217169
á	0.0197086	0.013277	0.138203	0.0736918	0.471092	0.0582423	0.0910081	0.0207979	0.0258215	0.0121792	0.00162312	0.0743556
a	0.0669501	0.0259009	0.25103	0.041345	0.264453	0.0498054	0.134716	0.0695893	0.0250809	0.0260877	0.00476305	0.0402781
b	0.00752612	0.0109617	0.0217476	0.0228727	0.383475	0.429444	0.0340331	0.0659032	0.00523749	0.00302335	0.00398575	0.0117906
h	0.00461968	0.00632192	0.0188373	0.00346442	0.0762125	0.811029	0.0298878	0.0278359	0.00635322	0.00265176	0.00458556	0.00820115
í	0.000304206	0.000432335	0.000623068	0.000148369	0.0123316	0.975398	0.00150991	0.0034402	0.000868562	0.000223877	0.00106124	0.00365843
b	0.00211804	0.00210415	0.00641935	0.00479325	0.107436	0.784735	0.0128383	0.0128329	0.00909008	0.00308845	0.00549229	0.0490518
h	0.00404837	0.0035516	0.0132003	0.00317177	0.0851803	0.616321	0.118048	0.0722767	0.0208936	0.00927779	0.00649375	0.0475366
á	0.00123777	0.00309424	0.00667023	0.00275574	0.0469416	0.504583	0.103929	0.103014	0.0327143	0.0240083	0.00762981	0.163422
o	0.0035354	0.000671098	0.0110533	0.00212649	0.025736	0.0426843	0.541222	0.126887	0.165172	0.0427778	0.00333884	0.0347954
k	0.00486338	0.00316958	0.00446855	0.00472124	0.0221411	0.0329117	0.0536533	0.194647	0.160532	0.0520102	0.441786	0.0250958
ω	0.000116218	0.00015969	6.46853e-05	4.08092e-05	0.00088368	0.0159178	0.00328297	0.0343286	0.00942726	0.00791498	0.923126	0.00473727
n	2.80936e-05	0.00010426	4.3072e-05	2.16016e-05	0.000623962	0.00391864	0.00284447	0.0503231	0.00434842	0.00360125	0.926386	0.0077568
í	0.00249532	0.00155556	0.000726257	0.000748471	0.00837019	0.0073299	0.0318477	0.101859	0.0566593	0.0356433	0.630487	0.122278
m	0.0044546	0.000699602	0.00305911	0.00044653	0.00200082	0.00178396	0.0348055	0.0133631	0.34013	0.231394	0.0713273	0.296535
u	0.038658	0.0103789	0.0110811	0.00101172	0.0149509	0.0057006	0.110536	0.0339195	0.418718	0.187288	0.0274015	0.140356
</S>	0.00438242	0.00181577	0.00266363	0.00126918	0.00571356	0.00188193	0.0404286	0.0161069	0.379234	0.265619	0.0941407	0.186744
