 	elle	a	le	bras	couvert	de	bracelets	</S>
w	0.900502	0.0608743	0.0318411	0.00427066	0.000232789	0.000911473	0.0013144	5.27553e-05
a	0.859788	0.110115	0.0167357	0.00573084	0.000926185	0.00438606	0.00225268	6.52517e-05
a	0.0769805	0.354407	0.464149	0.0751017	0.00727527	0.0095367	0.0022324	0.0103174
b	0.028529	0.141274	0.502563	0.242489	0.0394422	0.0187088	0.00412679	0.0228675
ώ	0.113825	0.126355	0.207164	0.382031	0.115338	0.0164652	0.00882819	0.0299938
ω	0.0260866	0.0760258	0.166909	0.30685	0.271972	0.0341272	0.0258782	0.0921512
á	0.0225683	0.0780597	0.25811	0.311174	0.200253	0.113006	0.0117336	0.00509534
m	0.00367924	0.036974	0.10709	0.196665	0.431322	0.170011	0.0374741	0.016785
i	0.00096802	0.0123821	0.0258032	0.0634023	0.536674	0.2111	0.0934787	0.0561918
í	0.000236152	0.00171357	0.0148119	0.0920327	0.741144	0.116817	0.0110463	0.0221984
n	0.00039832	0.00397433	0.00911781	0.0997735	0.649603	0.104985	0.0606371	0.0715106
y	0.00138477	0.0133342	0.0156301	0.0373105	0.456086	0.163437	0.224915	0.0879022
á	0.00163975	0.040362	0.0600327	0.0297701	0.305248	0.214026	0.264252	0.08467
á	0.0027154	0.0114205	0.0366845	0.0273737	0.190747	0.309823	0.171861	0.249375
n	0.00647163	0.00562199	0.0222727	0.0135169	0.0326985	0.299156	0.510565	0.109697
á	0.00312796	0.00500283	0.00266021	0.00160848	0.0260852	0.0676358	0.75387	0.140009
m	0.00331716	0.00346001	0.00793251	0.00944326	0.0293287	0.163282	0.551964	0.231272
í	0.0226503	0.0155162	0.012306	0.0240671	0.0440776	0.419581	0.237874	0.223929
b	0.00941782	0.00969866	0.00626852	0.0105815	0.0304721	0.0863479	0.571093	0.27612
á	0.0156362	0.0128587	0.0172009	0.0239511	0.0279165	0.123206	0.668854	0.110376
n	0.00345722	0.00375987	0.00864029	0.00454295	0.013101	0.166688	0.518486	0.281325
g	0.00225079	0.0029844	0.0102756	0.004655	0.0238597	0.0808876	0.307923	0.567164
a	0.01035	0.00528136	0.0119586	0.00197706	0.0153874	0.149308	0.422888	0.382849
</S>	0.00393125	0.0108204	0.0215533	0.0272198	0.0427355	0.117426	0.144715	0.631599
