 	ce	vieillard	a	des	cils	blancs	</S>
e	0.241843	0.724591	0.0130139	0.00653532	0.00958716	0.000916002	0.00351346
d	0.100245	0.796633	0.0167722	0.0500222	0.0124294	0.0190893	0.00480859
ú	0.311248	0.598248	0.0164162	0.0213841	0.00529666	0.00537967	0.0420273
n	0.698054	0.217664	0.0171813	0.019128	0.00751815	0.0104096	0.0300454
u	0.637048	0.256329	0.0120231	0.0427383	0.0214379	0.0103929	0.0200316
i	0.652666	0.0911766	0.107832	0.0408872	0.0217432	0.00785131	0.0778432
b	0.354149	0.169587	0.0722591	0.0824462	0.0432764	0.0772252	0.201057
a	0.230457	0.24373	0.194307	0.190082	0.0801256	0.00476792	0.0565312
a	0.356808	0.275867	0.177662	0.0895422	0.0544866	0.00579606	0.0398384
y	0.0734717	0.0172333	0.670172	0.137251	0.0297588	0.00165716	0.0704555
é	0.218767	0.0306629	0.439266	0.144954	0.0519972	0.0165371	0.0978162
é	0.144075	0.0351972	0.388461	0.196323	0.0916624	0.0292033	0.115078
d	0.0158032	0.0130736	0.392392	0.412095	0.0735867	0.0186343	0.0744144
í	0.0083601	0.00310176	0.176642	0.379201	0.0755612	0.00593161	0.351202
l	0.0145044	0.00485825	0.130942	0.195326	0.160454	0.109076	0.384839
a	0.00879982	0.00390197	0.131204	0.333568	0.161185	0.039028	0.322313
k	0.0224834	0.0041528	0.0597741	0.288535	0.15977	0.326983	0.138302
w	0.000631245	0.00226853	0.00736643	0.0771782	0.0536384	0.833365	0.0255525
a	0.000645301	0.00327625	0.0115734	0.232943	0.286382	0.423741	0.0414396
k	0.00117318	0.00240319	0.034706	0.168692	0.359803	0.309005	0.124217
w	0.00136508	0.0024971	0.0114324	0.0533985	0.120397	0.71936	0.0915507
á	0.0116364	0.00350786	0.0186685	0.217899	0.225868	0.484507	0.0379138
n	0.00538161	0.00328503	0.0102041	0.0250351	0.178637	0.635642	0.141815
g	0.0172348	0.0274444	0.0287125	0.164139	0.344707	0.147454	0.270309
o	0.00791503	0.00345948	0.0518733	0.223163	0.0783781	0.104696	0.530515
b	0.0121688	0.0039852	0.0420338	0.13541	0.11392	0.105772	0.586711
á	0.0325864	0.0145803	0.0412229	0.0790191	0.303418	0.299401	0.229772
m	0.00797241	0.00170342	0.0307789	0.0560098	0.234073	0.106697	0.562766
í	0.0906004	0.0312048	0.0443418	0.116573	0.435846	0.0306465	0.250788
s	0.00546063	0.00286468	0.0290325	0.0976721	0.261925	0.0414337	0.561612
i	0.0302027	0.00717123	0.0329836	0.137272	0.124476	0.0157928	0.652101
p	0.00592718	0.000680787	0.0126906	0.0218697	0.0707334	0.0495365	0.838562
f	0.00312464	0.00149208	0.00899988	0.0140117	0.0740785	0.657926	0.240367
ú	0.00244324	0.000765877	0.00135505	0.0106296	0.0208696	0.780107	0.18383
ú	0.00242889	0.000268045	0.000224054	0.00397947	0.0204639	0.908508	0.0641275
p	0.0156276	0.00370379	0.013929	0.0524876	0.145706	0.215861	0.552686
f	0.0525578	0.0122224	0.0296121	0.0202693	0.0888147	0.421552	0.374972
ú	0.0165824	0.00348861	0.00437854	0.0164461	0.0408729	0.78937	0.128862
ú	0.0465589	0.00559055	0.00201999	0.012858	0.0611824	0.745003	0.126787
</S>	0.0110928	0.00312165	0.0253139	0.075345	0.15197	0.107401	0.625756
