 	la	manière	dont	ils	ont	affronté	le	buffle	était	epouvantable	</S>
e	0.261056	0.544243	0.114118	0.0316313	0.0205744	0.0172153	0.00514095	0.00130456	0.00057059	0.00043947	0.00370527
k	0.0100182	0.00804657	0.02452	0.0398145	0.122179	0.753528	0.0210422	0.00861327	0.00610545	0.00511581	0.00101698
á	0.00381648	0.000563036	0.00061325	0.00344826	0.0231529	0.952606	0.010604	0.00386294	0.000368218	0.000616388	0.000349106
n	0.000162105	0.00179716	0.00256784	0.0391075	0.0443445	0.884388	0.0130276	0.00744891	0.000871142	0.00215337	0.00413197
d	0.00331136	0.0126789	0.00948179	0.0807389	0.0604404	0.804117	0.0115225	0.0120704	0.000618082	6.30425e-05	0.00495721
í	0.00165498	0.00708916	0.00329332	0.00206946	0.0393271	0.816425	0.0337687	0.0375199	0.00215975	0.000569813	0.056123
l	0.0279449	0.031673	0.139255	0.0414291	0.164422	0.0221635	0.167265	0.048291	0.0473378	0.0348277	0.27539
í	0.0180445	0.0117035	0.0180415	0.0113906	0.147687	0.110892	0.0502879	0.0762365	0.0200962	0.0390295	0.496591
y	0.644632	0.0302629	0.15068	0.0304715	0.0183939	0.0126327	0.0566921	0.0166558	0.0109187	0.00304443	0.025616
é	0.217998	0.0454066	0.330611	0.00587676	0.039824	0.00501986	0.0438217	0.0281208	0.0332994	0.0338835	0.216138
é	0.185526	0.0364464	0.179591	0.0378551	0.158846	0.0972093	0.119127	0.0479032	0.0478781	0.0123813	0.0772378
k	0.0182412	0.00323716	0.00844147	0.0537665	0.222973	0.299281	0.117997	0.0511343	0.0127102	0.0863754	0.125843
á	0.00147785	0.000160573	0.00141048	0.0129369	0.0826193	0.766841	0.0813348	0.0148507	0.00209342	0.0116511	0.0246238
n	0.000206676	0.000120364	0.00136667	0.139728	0.132059	0.615328	0.0539327	0.0209732	0.00202414	0.0042602	0.030001
d	0.00607779	0.00286211	0.0149436	0.175677	0.136192	0.436384	0.128471	0.0436701	0.00317215	0.000661364	0.0518889
í	0.0291798	0.0384163	0.137916	0.0539528	0.0984741	0.353409	0.107956	0.0564141	0.00575165	0.00320906	0.115321
b	0.00799752	0.00503782	0.0241405	0.318063	0.108427	0.0407326	0.408345	0.0526061	0.0133435	0.00483875	0.0164675
á	0.00879126	0.00159576	0.00471803	0.693221	0.0695451	0.0915548	0.0526147	0.0677694	0.00236081	0.00411711	0.00371223
a	0.00619631	0.00194368	0.00508181	0.702083	0.0623974	0.0400492	0.0409098	0.108657	0.00670317	0.0162546	0.00972411
n	0.00332716	0.00225536	0.0149136	0.223804	0.122286	0.0253348	0.192152	0.253906	0.123079	0.0285892	0.0103533
d	0.00571099	0.0294338	0.0700877	0.0829257	0.061806	0.0795555	0.160992	0.432482	0.0517881	0.00390757	0.0213108
z	0.00245262	0.0100662	0.0176743	0.00845656	0.0503114	0.102918	0.174277	0.509156	0.0718185	0.0158244	0.0370448
á	0.018745	0.0133351	0.0156017	0.00593889	0.0244632	0.0305675	0.142481	0.550095	0.130562	0.0385573	0.0296534
a	0.00167049	0.000772774	0.00328926	0.0114205	0.0236202	0.050954	0.191265	0.14522	0.0434243	0.01009	0.518273
é	0.00831899	0.00343507	0.019295	0.0358431	0.0488181	0.00704924	0.247325	0.158259	0.401309	0.00747395	0.062873
d	0.00884944	0.00254353	0.00500712	0.00450894	0.0709826	0.0299125	0.0800302	0.116454	0.497579	0.098603	0.08553
z	0.000661025	0.000702538	0.000264979	0.000548657	0.0098028	0.00146985	0.00933648	0.0673936	0.130634	0.0488822	0.730304
e	0.00304391	0.00156551	0.000404159	0.000520311	0.0140479	0.00446016	0.0240825	0.392948	0.333239	0.183695	0.041994
l	0.013024	0.0184765	0.00879139	0.0481099	0.0203617	0.00211061	0.0889733	0.0634076	0.406594	0.0803984	0.249753
a	0.00933727	0.00122965	0.00878802	0.0158975	0.0199113	0.0036378	0.0115925	0.0368625	0.0719898	0.114568	0.706186
m	0.00450598	0.00255427	0.00388252	0.00752012	0.00287386	0.00141504	0.00744382	0.0111737	0.0374366	0.612057	0.309137
w	0.00285121	0.00113187	0.000372667	0.000868228	0.000796078	0.000132289	0.00136677	0.00560208	0.0212511	0.916308	0.0493195
a	0.000190702	6.14244e-05	2.97927e-05	0.000330313	0.000269284	8.17118e-05	0.000836792	0.00928714	0.0167133	0.939038	0.0331615
</S>	0.00126247	0.000479209	0.000818592	0.00172343	0.00141299	0.0010525	0.00436416	0.0171811	0.0199884	0.241492	0.710225
