 	ce	bruit	m'	assourdit	</S>
l	0.39157	0.595276	0.0108581	0.00137773	0.000918459
o	0.686772	0.247995	0.0397454	0.00832851	0.0171588
b	0.440079	0.476048	0.00691215	0.0210572	0.0559036
h	0.0705304	0.822388	0.0426755	0.0385581	0.0258477
ó	0.0608161	0.809808	0.0166141	0.088219	0.024543
d	0.589445	0.305729	0.0548143	0.0258082	0.0242043
í	0.285284	0.260062	0.00674434	0.0629253	0.384984
l	0.155748	0.141965	0.544986	0.0440847	0.113217
í	0.122498	0.0299806	0.20919	0.0285842	0.609747
i	0.235817	0.0476073	0.61344	0.0441643	0.0589715
k	0.00761599	0.0199678	0.0314482	0.866059	0.0749088
í	0.00510055	0.0400522	0.00321401	0.890998	0.0606349
n	0.00108361	0.0129605	0.00766654	0.804933	0.173356
d	0.0217936	0.0231031	0.0858042	0.591507	0.277793
í	0.0165874	0.0131558	0.104334	0.301325	0.564598
s	0.0273011	0.00730532	0.224616	0.310895	0.429882
á	0.0204365	0.017864	0.106474	0.394133	0.461093
n	0.128998	0.0346204	0.413068	0.30969	0.113623
g	0.00737791	0.00358631	0.711522	0.142021	0.135492
á	0.0108754	0.00506016	0.592786	0.0621202	0.329158
a	0.0532755	0.0203307	0.119289	0.435839	0.371266
t	0.0800133	0.0884054	0.0531825	0.456486	0.321913
ú	0.00880571	0.0174559	0.00671091	0.746306	0.220722
e	0.0150383	0.00408606	0.00455874	0.512562	0.463755
</S>	0.0392692	0.00484525	0.017311	0.200921	0.737654
