 	tout	le	village	est	venu	assister	au	match	de	foot-ball	</S>
b	0.474613	0.409879	0.0566514	0.0404093	0.000548424	0.000544377	0.0026045	0.00603463	0.00781221	0.000867046	3.64037e-05
a	0.207104	0.675372	0.0297159	0.02961	0.00947039	0.00185425	0.00264794	0.0176379	0.0135202	0.0114834	0.00158414
r	0.152982	0.656196	0.0754371	0.0443839	0.028375	0.0116328	0.00375889	0.00655811	0.00356285	0.00701643	0.0100961
e	0.36216	0.43539	0.166354	0.0034682	0.00567649	0.00246093	0.00210968	0.00663386	0.00076094	0.00113442	0.0138518
á	0.229539	0.473398	0.177411	0.0779463	0.00571997	0.00559587	0.00477487	0.00149582	0.00498429	0.000565608	0.0185691
t	0.293451	0.245186	0.160986	0.0943768	0.0717218	0.0353467	0.038234	0.00696574	0.0103735	0.00356398	0.0397932
s	0.0497662	0.11279	0.497518	0.085812	0.0782286	0.0764458	0.0417765	0.0080525	0.00897256	0.00975665	0.0308807
ω	0.146269	0.307861	0.175408	0.14439	0.0727372	0.0724198	0.0344425	0.00967724	0.0129196	0.00504137	0.018833
s	0.065254	0.0939561	0.127042	0.448528	0.07165	0.0365602	0.0247907	0.00902785	0.0207805	0.00869739	0.0937136
á	0.147087	0.163787	0.195638	0.0825012	0.0458778	0.0834027	0.0368451	0.0346105	0.0344583	0.0153597	0.160433
p	0.0301881	0.018283	0.0557202	0.544331	0.222084	0.0322829	0.0193131	0.0239311	0.0155433	0.0123976	0.0259261
o	0.0133984	0.0252138	0.632387	0.0527474	0.0409948	0.134495	0.0123398	0.0110214	0.00840443	0.0193211	0.0496763
o	0.0308215	0.0329532	0.335994	0.169457	0.180795	0.130751	0.0282586	0.00827624	0.0106228	0.0107941	0.0612763
á	0.0111511	0.0133454	0.00267965	0.393093	0.278577	0.138841	0.11966	0.0100756	0.0175999	0.00190806	0.0130692
y	0.00560584	0.00889232	0.00369424	0.00860295	0.223037	0.566696	0.15208	0.00461618	0.00997969	0.00177106	0.0150249
ε	0.00113393	0.0021558	0.00465343	0.0109223	0.422238	0.401569	0.131277	0.00912218	0.00807023	0.000263873	0.00859483
i	0.00172665	0.00258903	0.00319068	0.0443311	0.0794798	0.190823	0.377907	0.0462923	0.0519411	0.00810445	0.193615
o	0.00244974	0.00215934	0.000895963	0.0245682	0.0491067	0.158122	0.456825	0.183526	0.0792945	0.0155068	0.0275461
t	0.00194169	0.00314764	0.00119471	0.000396374	0.0061714	0.130522	0.538716	0.196456	0.042954	0.0708354	0.00766469
á	0.0008111	0.00295482	0.0154279	0.00110932	0.00866329	0.502864	0.302387	0.0398924	0.0252403	0.0338149	0.0668348
á	0.000690064	0.00100962	0.0137223	0.00359227	0.0125236	0.456828	0.232104	0.040794	0.0431261	0.0309693	0.164641
d	0.00471137	0.00251058	0.00358679	0.023506	0.013192	0.0476561	0.199812	0.375128	0.261908	0.0428035	0.0251859
i	0.00121378	0.000774435	0.000310771	0.000374391	0.000450492	0.0265568	0.144456	0.523248	0.144365	0.0525959	0.105655
n	0.000200171	0.000176046	0.000165388	0.000690449	0.000452196	0.0163521	0.125301	0.386504	0.314937	0.110108	0.0451147
g	0.000311469	0.000315602	0.000132544	0.000580751	0.000847955	0.00419135	0.0552918	0.832155	0.0663222	0.0236345	0.0162165
a	0.000132079	0.000284605	0.000278914	0.000328696	0.00141985	0.00450933	0.0217573	0.871656	0.0578014	0.0315252	0.0103065
l	7.88186e-05	6.66352e-05	4.71267e-05	0.000426679	0.000402329	0.0028703	0.0682535	0.593471	0.25019	0.0392369	0.0449573
í	0.00056166	0.00066788	7.47165e-05	0.000314435	0.000562537	0.00784667	0.046804	0.546267	0.181691	0.092263	0.122947
m	0.000780886	0.000621327	0.000358341	0.00113769	0.000446145	0.00396096	0.0358448	0.251071	0.287151	0.276756	0.141872
b	0.00171491	0.00122244	0.0017911	0.00184198	0.000539373	0.00549636	0.0531225	0.0764987	0.131625	0.341495	0.384652
ώ	0.000195649	8.75275e-05	1.7665e-05	3.55452e-05	2.28711e-05	0.000712966	0.00690968	0.0648751	0.0339874	0.773551	0.119605
n	4.5574e-05	5.06071e-05	4.3934e-05	0.000127492	3.35355e-05	0.00285223	0.0148145	0.0496747	0.0776774	0.754436	0.100244
d	0.000158545	0.000223123	0.000116293	5.04512e-05	5.85204e-05	0.00194359	0.030638	0.194029	0.0667834	0.591161	0.114839
ώ	5.1441e-05	6.06198e-05	0.000325023	6.20915e-05	6.71687e-05	0.00286896	0.0303653	0.134714	0.0667851	0.652676	0.112024
</S>	0.00121667	0.000485648	8.15714e-05	0.000658812	0.000145716	0.00267915	0.0584252	0.184549	0.222514	0.184948	0.344297
