 	les	feuilles	que	vous	avez	laissées	près	du	feu	se	sont	flétries	</S>
k	0.543359	0.296536	0.0882809	0.0138915	0.0130767	0.0224989	0.0129971	0.00648277	0.000293422	0.000647913	0.000133853	0.00178626	1.4963e-05
á	0.101481	0.844993	0.0165449	0.00468824	0.0187054	0.00441909	0.00479408	0.00212815	0.000165388	0.000854925	0.000145375	0.000948794	0.000132081
s	0.0153372	0.605029	0.172739	0.055007	0.0412458	0.016078	0.0581661	0.00778946	0.0022768	0.016703	0.000853981	9.45807e-05	0.00868024
i	0.192296	0.528334	0.0577682	0.0134377	0.108534	0.0122173	0.0275298	0.0266221	0.000820254	0.0141559	0.00142414	0.000453445	0.0164069
y	0.22276	0.255909	0.341293	0.0823685	0.0475475	0.0213275	0.00467451	0.00412089	0.00204393	0.00373354	0.00350717	0.000391544	0.0103236
é	0.183949	0.100189	0.286391	0.0617589	0.11336	0.0195658	0.0300926	0.0698579	0.0135669	0.0465863	0.0373743	0.000242574	0.0370649
é	0.199047	0.0385196	0.353114	0.151749	0.113311	0.010087	0.0066638	0.0402106	0.0216364	0.0158664	0.0147205	0.000263895	0.0348099
y	0.0118638	0.0122519	0.0612621	0.14261	0.515045	0.157202	0.0325794	0.00958901	0.0249569	0.0105862	0.0106785	0.000844686	0.0105308
í	0.0493475	0.0282543	0.0725583	0.116263	0.633454	0.0279543	0.00541073	0.0142876	0.00658512	0.00528435	0.00774192	0.000283198	0.032576
í	0.0249249	0.0226352	0.0583165	0.157154	0.442765	0.0563476	0.00956309	0.0160237	0.0116252	0.0108004	0.0148718	0.00019839	0.174775
b	0.00447913	0.0019715	0.0820763	0.668957	0.156626	0.0493842	0.00807994	0.00568906	0.00209868	0.00506447	0.00697439	0.000100546	0.00849894
í	0.00299187	0.00311278	0.0308995	0.528714	0.232732	0.0635373	0.110328	0.0178369	0.00125956	0.00665442	0.000915985	0.000356742	0.000661013
n	0.00766815	0.00158527	0.0290205	0.779135	0.0676718	0.0289876	0.0631719	0.00748826	0.00257664	0.00556754	0.000868817	0.000756506	0.00550169
í	0.00897854	0.00160656	0.0156507	0.579897	0.256749	0.0140887	0.0189945	0.00566741	0.00236341	0.00868962	0.00160353	0.000147926	0.0855633
b	0.0023028	0.00233567	0.0559177	0.149597	0.244817	0.399721	0.0476984	0.0527229	0.0151477	0.013353	0.00664957	0.000612709	0.00912449
ε	0.00132647	0.00196102	0.00285013	0.0504066	0.0237793	0.11131	0.777469	0.0184055	0.00399052	0.00506984	0.000876134	0.00195893	0.000597319
έ	0.001738	0.000387248	0.00454726	0.00776876	0.00875667	0.184896	0.630583	0.093919	0.00714273	0.0201148	0.00249064	0.00593133	0.0317248
b	0.00514903	0.0013156	0.00309045	0.000640785	0.00520514	0.0802645	0.583458	0.226192	0.0404549	0.0166446	0.00875536	0.00087495	0.027955
ε	0.00235553	0.000769444	0.0018151	0.0107552	0.0048594	0.0492913	0.83854	0.0648978	0.00537035	0.012334	0.00100216	0.00543428	0.00257568
έ	0.000955033	0.000249779	0.00233246	0.00443564	0.00540258	0.0802721	0.612664	0.126992	0.0397273	0.0561761	0.00289696	0.016116	0.0517801
l	0.003941	0.00110615	0.00331994	0.000945359	0.00330268	0.0245289	0.232281	0.241074	0.12725	0.106629	0.0366089	0.00892025	0.210091
a	0.0042879	0.00258238	0.00685831	0.00585635	0.0116474	0.0281414	0.0750951	0.332325	0.102388	0.174036	0.0496042	0.0107671	0.196411
m	0.00259633	0.000603704	0.0042932	0.00327972	0.00513062	0.00622436	0.0247644	0.498511	0.240843	0.139079	0.0309736	0.00293603	0.0407641
í	0.000423557	0.000214519	0.000302088	0.000112775	2.28639e-05	0.000118261	0.0067715	0.0275582	0.91031	0.00786317	0.00542276	8.64727e-05	0.0407943
á	0.00075338	0.000654512	0.00463544	0.00234327	0.00196247	0.0178543	0.0739785	0.125466	0.452975	0.230742	0.0553603	0.0125101	0.0207646
é	0.000750512	0.00029865	0.00411137	0.00450781	0.00305883	0.00307217	0.00573398	0.0209057	0.164505	0.369391	0.287427	0.00828104	0.127957
m	0.00115243	0.00263134	0.00465134	0.00295099	0.013586	0.0171249	0.00375904	0.0221846	0.0239019	0.270837	0.550046	0.0210464	0.066128
i	0.00244758	0.00227813	0.00476789	0.00215128	0.00114505	0.0034637	0.00573491	0.0169425	0.220743	0.129188	0.422459	0.0133835	0.175295
b	0.000525812	0.000951777	0.000544218	0.000266582	0.00120383	0.00940627	0.0189426	0.0267216	0.228359	0.11702	0.0966706	0.267712	0.231676
ω	3.55328e-05	0.000402447	0.000157354	0.000250715	0.000452851	0.00761713	0.0116425	0.00206946	0.00406748	0.0166697	0.00646834	0.923087	0.0270799
b	4.92095e-06	1.76119e-05	1.53737e-05	1.12209e-05	6.63002e-05	0.000747292	0.00225912	0.00235464	0.00036657	0.00730246	0.00274044	0.972194	0.0119196
h	0.00272754	0.00147375	0.00140474	0.00434266	0.00515361	0.0134941	0.108638	0.0343977	0.00265692	0.0746366	0.0172261	0.706072	0.0277768
ω	6.82207e-05	5.80586e-05	0.000166102	0.000507782	0.000427914	0.00142635	0.0227914	0.0126328	0.000743854	0.0163663	0.00176922	0.935585	0.00745706
ω	0.00331627	0.000454373	0.00315161	0.00136492	0.000718181	0.00272114	0.0114576	0.0572262	0.0108201	0.157645	0.0665178	0.295515	0.389091
</S>	0.00223675	0.000852839	0.00500303	0.00335361	0.00238972	0.00742142	0.00510575	0.0234673	0.014352	0.131127	0.340386	0.0298752	0.43443
