 	va	jusqu'	au	bout	de	la	route	</S>
d	0.851763	0.106169	0.00883597	0.0104105	0.00886237	0.00923234	0.00434419	0.000382904
z	0.494496	0.477187	0.00749514	0.00830728	0.00208978	0.00175681	0.000821748	0.00784695
w	0.330293	0.664069	0.00131078	0.00315797	0.000628193	0.000134177	0.000132057	0.000274835
a	0.898524	0.0717896	0.00191394	0.0175206	0.000668071	0.00134685	0.000174963	0.0080617
á	0.0841551	0.304507	0.0241899	0.014357	0.00955659	0.00371493	0.000173765	0.559346
t	0.10243	0.541336	0.294974	0.0172074	0.00564064	0.00295068	0.00038617	0.0350756
é	0.0676746	0.75137	0.07245	0.0156444	0.0213057	0.0164219	0.0153845	0.0397487
é	0.0361672	0.692866	0.123913	0.0292323	0.0143122	0.00798179	0.0048424	0.0906847
i	0.0156957	0.0241754	0.636312	0.243792	0.0459853	0.010989	0.00223308	0.0208171
s	0.00853127	0.0189251	0.447971	0.301082	0.133284	0.0163616	0.0425952	0.0312508
ú	0.000958785	0.0324914	0.268573	0.552765	0.109464	0.011107	0.00255221	0.0220893
u	0.013333	0.0102978	0.18786	0.610346	0.11908	0.0358224	0.00421283	0.0190482
l	0.00609808	0.00351809	0.114113	0.215928	0.28923	0.261998	0.0357825	0.0733321
á	0.0101047	0.00468412	0.226957	0.235963	0.182105	0.176496	0.0341162	0.129574
p	0.00979231	0.00245517	0.0699572	0.187501	0.122097	0.26766	0.30011	0.0404267
o	0.00325449	0.0160844	0.00842381	0.0221247	0.0360847	0.00663105	0.87715	0.0302465
o	0.00282532	0.00535327	0.0101411	0.0483163	0.0816557	0.0247504	0.713019	0.113939
</S>	0.00266149	0.00112881	0.0294643	0.0457201	0.100895	0.311918	0.153233	0.354979
