 	il	n'	y	a	personne	alentour	</S>
p	0.206995	0.128507	0.239025	0.271735	0.142925	0.00330997	0.00750236
ε	0.0680419	0.0876759	0.0751037	0.136576	0.164308	0.461405	0.00688947
έ	0.0152744	0.0663259	0.156594	0.258385	0.127352	0.0344279	0.341641
p	0.118177	0.160459	0.179031	0.232965	0.13766	0.0198295	0.151878
ε	0.0518671	0.140598	0.240123	0.168582	0.136426	0.157946	0.10446
ε	0.0882533	0.151206	0.25903	0.183522	0.154835	0.0543988	0.108754
w	0.0852105	0.137412	0.143367	0.192041	0.208334	0.103437	0.130198
ó	0.0511385	0.187658	0.245439	0.183845	0.113384	0.177436	0.041099
o	0.0673933	0.119957	0.105201	0.143283	0.172492	0.18852	0.203153
m	0.00830688	0.0518545	0.0808054	0.10481	0.096779	0.182751	0.474693
o	0.0360572	0.058866	0.0407265	0.103672	0.161326	0.208805	0.390548
r	0.00834623	0.0573707	0.134083	0.277211	0.275827	0.0846042	0.162559
o	0.0102224	0.00839074	0.00736001	0.0648612	0.381591	0.417486	0.110088
a	0.00224272	0.0106073	0.068247	0.134131	0.209108	0.0688642	0.5068
d	0.0153878	0.0645106	0.113886	0.139399	0.150878	0.155351	0.360586
í	0.00522961	0.013443	0.0053623	0.0121594	0.0142504	0.0586014	0.890954
k	0.00634491	0.0170127	0.0583473	0.1186	0.0692904	0.0205787	0.709826
a	0.0058162	0.0470857	0.0590843	0.0978084	0.0248448	0.473015	0.292346
á	0.000304227	0.00466091	0.00925754	0.0194059	0.0124301	0.0872867	0.866655
</S>	0.0144455	0.0282058	0.0329209	0.0395051	0.0435237	0.0435662	0.797833
