 	les	mangues	n'	ont	pas	été	achetées	</S>
a	0.69837	0.28401	0.0100728	0.00471775	0.00218864	0.000378721	0.000247971	1.47723e-05
m	0.172877	0.807894	0.0108393	0.00261751	0.00110871	0.00166178	0.00245521	0.000546895
b	0.237139	0.374417	0.293446	0.0479742	0.00306411	0.0028202	0.00311672	0.0380235
á	0.0928429	0.847426	0.0435489	0.00917555	0.000523108	0.000702168	0.00178571	0.0039957
n	0.0254401	0.956398	0.0141401	0.00171896	0.000104415	0.000184812	0.000297866	0.00171554
g	0.232189	0.63433	0.0557923	0.0217196	0.00772895	0.00572438	0.00301573	0.0394998
é	0.383432	0.412844	0.13722	0.0422005	0.00819039	0.0050911	0.00688004	0.00414234
á	0.0289531	0.00688508	0.495167	0.237499	0.117056	0.0739455	0.0115636	0.0289305
t	0.00469807	0.000829841	0.0495235	0.0832456	0.0949037	0.263959	0.474796	0.0280445
ú	0.00271473	0.000274083	0.069312	0.158966	0.0902646	0.182389	0.450492	0.0455871
n	0.050283	0.000495939	0.026332	0.0746402	0.123035	0.15919	0.49324	0.0727837
g	0.0458422	0.00104258	0.0713147	0.136423	0.351175	0.284004	0.0656744	0.0445246
u	0.0925497	0.00338456	0.0393127	0.064451	0.108673	0.295316	0.325872	0.0704413
</S>	0.0122884	0.00169519	0.0693194	0.129594	0.124495	0.114277	0.243178	0.305152
