 	ses	yeux	sont	brouillés	par	les	larmes	</S>
w	0.816817	0.139956	0.0048864	0.0141307	0.0174665	0.00614529	0.000419505	0.000178785
a	0.21342	0.434143	0.03535	0.133917	0.110378	0.0635453	0.00847432	0.000772055
m	0.116333	0.574328	0.126211	0.056194	0.056074	0.0320314	0.01184	0.0269891
í	0.0451323	0.681524	0.133551	0.0252387	0.0522514	0.0096142	0.00423465	0.048454
s	0.0628287	0.448256	0.145664	0.0916948	0.103828	0.0471234	0.0165149	0.0840899
i	0.106177	0.280151	0.14463	0.0893988	0.0278787	0.0195301	0.0606287	0.271606
á	0.194715	0.251275	0.229722	0.0811768	0.0583586	0.0369492	0.0109899	0.136813
m	0.00487454	0.0369652	0.447106	0.288883	0.0859087	0.054317	0.0348608	0.0470845
i	0.00858703	0.057117	0.300168	0.161755	0.235925	0.129044	0.0246323	0.0827724
y	0.000677914	0.00614777	0.250186	0.444526	0.146983	0.0714064	0.0338575	0.0462146
e	0.00052936	0.00262185	0.179125	0.555606	0.0713957	0.0285298	0.0730389	0.0891537
e	0.000324389	0.000256198	0.162478	0.523684	0.112179	0.0388478	0.0283804	0.13385
n	0.00273426	0.00420911	0.113499	0.0839306	0.340355	0.390346	0.0284076	0.0365183
g	0.069008	0.0485244	0.0455551	0.0894965	0.31287	0.163662	0.161226	0.109658
á	0.0496139	0.158569	0.0310952	0.0787963	0.270196	0.122472	0.12503	0.164228
a	0.00212464	0.0010263	0.0178856	0.0483045	0.284332	0.512244	0.116473	0.0176106
t	0.000269783	0.000756576	0.0105467	0.0423899	0.0943808	0.188724	0.602344	0.0605885
s	0.000105113	0.000136266	0.0206027	0.0785189	0.110492	0.16744	0.431337	0.191368
á	0.000491416	6.39318e-05	0.0124224	0.102162	0.157812	0.17069	0.43573	0.120627
n	0.0113928	0.00232375	0.0208382	0.0154188	0.0554248	0.11863	0.273555	0.502416
g	0.00119479	0.000758428	0.00320164	0.00476803	0.0156365	0.0268282	0.650433	0.297179
á	0.000631	0.00181689	0.00265321	0.00762212	0.0275234	0.0316411	0.3366	0.591513
</S>	0.00396942	0.000465988	0.00736836	0.00598667	0.0691158	0.21555	0.212606	0.484938
