 	le	citronnier	a	grandi	</S>
o	0.91471	0.0777205	0.00651626	0.000158193	0.000895367
l	0.0371697	0.945932	0.00498219	0.0110519	0.000864659
á	0.0476461	0.879225	0.00308615	0.0563637	0.013679
á	0.022805	0.867047	0.0250093	0.0607349	0.0244038
l	0.226972	0.12301	0.624037	0.00893323	0.0170478
e	0.331744	0.0805412	0.344729	0.0270749	0.21591
ó	0.546321	0.034732	0.279731	0.0572653	0.0819503
m	0.0115052	0.0406348	0.299415	0.596456	0.0519891
i	0.0195939	0.0197458	0.230154	0.266787	0.463719
y	0.00251013	0.0154007	0.0643621	0.585478	0.332249
ó	0.00362819	0.00097847	0.0229625	0.851306	0.121125
l	0.00369385	0.00379007	0.0737446	0.416878	0.501893
a	0.0611765	0.00489636	0.192983	0.159847	0.581097
</S>	0.0320796	0.0021842	0.277852	0.028276	0.659608
