 	les	soldats	sont	en	train	de	flanquer	des	coups	de	poing	au	voleur	</S>
a	0.918568	0.0461877	0.0136875	0.00229135	0.00139198	0.00310624	0.000368125	0.00608525	0.00240496	0.0018145	0.00139119	0.00200725	0.000688353	7.47409e-06
m	0.0181467	0.976106	0.00163187	0.000186388	0.00310302	0.000144469	6.92475e-05	7.53242e-05	4.57829e-05	6.69888e-05	0.000245721	0.000110753	4.77427e-05	1.96424e-05
b	0.128524	0.841742	0.015567	0.00700026	0.000428384	0.00228911	0.000671683	0.000265339	0.000727828	0.000432989	7.91545e-05	0.000304984	0.000479757	0.00148759
ω	0.0519948	0.848903	0.0199661	0.029082	0.0143476	0.0130208	0.0183403	0.0001488	0.000459162	0.000198405	3.62577e-05	2.51804e-05	0.000628606	0.00284922
r	0.247447	0.390135	0.241743	0.0661668	0.00491535	0.0301623	0.00152365	0.00571595	0.00202965	0.00230284	0.000969443	0.00197301	0.000383938	0.00453254
i	0.207277	0.197083	0.269143	0.123603	0.00271949	0.0486056	0.0296692	0.00894339	0.00238834	0.0115316	0.0070269	0.00331671	0.00316141	0.0855317
b	0.134179	0.00241651	0.398861	0.211819	0.016865	0.155718	0.00467627	0.0244398	0.0108937	0.00756359	0.00196899	0.00361133	0.000299525	0.0266875
ó	0.333607	0.00225405	0.138905	0.166985	0.0291474	0.157473	0.00780582	0.0567598	0.0330335	0.0200361	0.0028177	0.0150583	0.00258515	0.0335318
b	0.127597	0.000957907	0.158914	0.340831	0.029342	0.201044	0.00473923	0.0893709	0.018305	0.00915093	0.00328306	0.00742417	0.000331725	0.00870944
á	0.45694	0.00101216	0.139297	0.0754929	0.00278433	0.277351	0.0110392	0.0139546	0.0118047	0.00460664	0.000553896	0.00200869	0.00126025	0.00189366
a	0.302991	0.000408947	0.189026	0.234521	0.0204413	0.168907	0.0220805	0.0253152	0.0126002	0.00577625	0.0018002	0.00345546	0.00554794	0.00712916
t	0.00471983	0.00446758	0.0236451	0.0333333	0.00183367	0.236774	0.58305	0.0141992	0.0254829	0.0143338	0.00787388	0.00103081	0.0008852	0.0483712
u	0.000765722	0.000804429	0.00508111	0.0118426	0.000168519	0.0174573	0.922302	0.00872982	0.00528241	0.00859102	0.00699817	0.00068396	0.00071506	0.0105777
m	0.0143136	0.0106143	0.0202291	0.0661767	0.00021659	0.0438313	0.694056	0.0287108	0.016025	0.0263563	0.0537694	0.00278238	0.00054622	0.0223725
b	0.0341535	0.000168488	0.0698798	0.0416036	0.000104883	0.0789201	0.183431	0.0939235	0.0329796	0.26184	0.0952559	0.0408415	0.0192679	0.0476305
á	0.0689552	0.000214481	0.0433559	0.0330486	0.000499992	0.0355121	0.325719	0.0905262	0.0281789	0.0826816	0.0471459	0.0331019	0.0402447	0.170815
á	0.00196003	5.38887e-05	0.00607226	0.00861725	0.000172984	0.0135199	0.0551403	0.291971	0.206165	0.217174	0.0550121	0.0995025	0.0363415	0.00829679
m	0.00876982	0.000542193	0.00300095	0.0017057	5.75922e-05	0.007809	0.00384693	0.04909	0.22699	0.293994	0.149591	0.151083	0.0838157	0.0197031
ú	0.00112915	0.00014849	0.000512212	0.000207258	6.70555e-06	0.000651843	0.0051421	0.00536403	0.0284677	0.0287733	0.00855084	0.0332034	0.851783	0.0360606
b	8.52409e-05	5.84085e-05	0.000255306	4.93736e-05	1.36643e-06	0.000328672	0.00375495	0.00648447	0.0431014	0.0793262	0.100983	0.0631548	0.611903	0.0905137
h	0.00285245	0.00011091	0.00129799	0.000790221	3.71222e-06	0.00102893	0.000833869	0.0488287	0.0928786	0.237998	0.32786	0.170192	0.036123	0.0792028
u	0.00276805	0.00122919	0.00167654	0.00362079	0.000114002	0.003	0.00482422	0.0359465	0.0423223	0.143906	0.276609	0.237944	0.133191	0.112849
i	0.00182419	0.000428623	0.00030476	0.00025898	5.75871e-06	0.000499091	0.000177066	0.0199135	0.0275292	0.110907	0.15306	0.447826	0.0225959	0.214669
t	0.00392721	0.000367531	0.00232164	0.0007479	1.33793e-05	0.0022641	0.00178843	0.01229	0.0293606	0.16135	0.158522	0.226261	0.104576	0.29621
s	0.000457396	0.000201487	0.000860257	0.000585679	5.4091e-05	0.000455619	0.0015132	0.0047122	0.0200644	0.0803882	0.5634	0.185732	0.0779326	0.0636429
ω	0.00051282	0.000174919	0.000424922	0.00171448	0.000109822	0.000409706	0.0048784	0.00453655	0.0179541	0.0857626	0.330232	0.227823	0.265069	0.0603966
ώ	0.000693283	0.000176539	0.00120725	0.0016253	3.45366e-05	0.000947398	0.00099589	0.0247702	0.015119	0.0938448	0.127696	0.222218	0.0695745	0.441097
</S>	0.00687458	0.000142698	0.0047167	0.00181232	2.00219e-05	0.00658303	0.000613094	0.0196637	0.0265889	0.16355	0.0586815	0.221551	0.0202199	0.468983
