 	ces	petits	enfants	ont	mis	à	sec	ce	vaste	étang	</S>
a	0.511612	0.38374	0.0986533	0.00235529	0.00174143	0.000738283	2.49717e-05	0.000468801	0.000490416	0.000154852	2.08849e-05
n	0.279705	0.581137	0.123622	0.00714426	0.0025573	0.000572705	0.000118121	0.000918639	0.0011466	0.00164846	0.00142953
d	0.0879231	0.828698	0.0607633	0.00346954	0.00237342	0.00119662	0.000223998	0.00306774	0.00293932	0.0021448	0.00720041
z	0.0463115	0.892941	0.0245666	0.00206373	0.000966122	0.00113136	0.00316178	0.0016467	0.00388552	0.0127449	0.0105813
é	0.161053	0.810417	0.0123351	0.00055186	0.000224847	0.00067626	0.00283393	0.00113387	0.00202561	0.00445134	0.00429689
s	0.448827	0.455687	0.0581394	0.0028738	0.00260396	0.00248658	0.00121432	0.00570117	0.00672912	0.00465614	0.0110815
i	0.353894	0.525889	0.0254168	0.00272359	0.00289042	0.00343594	0.001429	0.00746076	0.0117315	0.0200295	0.045099
b	0.109758	0.0234743	0.394082	0.334128	0.0384169	0.0377484	0.0194973	0.0144301	0.00200724	0.00094534	0.0255127
á	0.169651	0.0213929	0.219057	0.259142	0.195937	0.0290842	0.00634016	0.0323889	0.00853956	0.000500379	0.0579678
á	0.0812906	0.0723092	0.408885	0.296377	0.0791385	0.0303414	0.00524138	0.00809052	0.0035732	0.000882694	0.0138707
m	0.00413546	0.000793363	0.00508432	0.209433	0.38931	0.128777	0.176297	0.0366722	0.0105406	0.000974709	0.037983
i	0.00634805	0.00228863	0.00400359	0.090816	0.159928	0.25237	0.464208	0.0130746	0.00169118	9.18404e-05	0.00517978
w	0.00460069	0.00039064	0.000219377	0.0364778	0.638102	0.137479	0.164675	0.00768954	0.00411793	0.000245801	0.00600228
ó	0.00729564	0.00386657	0.00478082	0.0681481	0.589237	0.253237	0.0457425	0.0101522	0.0140813	0.000846273	0.00261279
m	0.00414331	0.000355745	0.000356067	0.0160608	0.264727	0.467939	0.0705515	0.0636585	0.0497848	0.00987762	0.0525451
b	0.0963032	0.00867719	0.0226875	0.0384379	0.09455	0.387084	0.104196	0.178025	0.0232663	0.00159738	0.0451753
í	0.0819014	0.0196065	0.0245834	0.0444909	0.315661	0.225938	0.156551	0.0963023	0.011664	0.000621149	0.0226802
s	0.00825804	0.000757117	0.00271305	0.0233567	0.104981	0.547586	0.0500755	0.209529	0.0317458	0.00334925	0.0176493
á	0.0317721	0.000813075	0.00028207	0.00512296	0.0303671	0.258706	0.257928	0.214952	0.0697389	0.00867362	0.121645
i	0.0728412	0.00574829	0.0097938	0.00868806	0.0110372	0.34514	0.227012	0.175002	0.100355	0.0338725	0.0105093
f	0.00847135	0.00224698	0.00112837	0.00471571	0.0208533	0.146916	0.208108	0.158896	0.344869	0.090155	0.0136392
u	0.00175747	0.000267398	0.00022057	0.00422867	0.0350327	0.196695	0.141721	0.0944668	0.442822	0.0663932	0.0163948
n	0.0016936	0.000100142	6.59911e-05	0.00109412	0.0130534	0.140915	0.143178	0.197612	0.441672	0.019415	0.0412017
d	0.0012314	0.000343994	0.000195474	0.000660614	0.0169941	0.0499243	0.0131796	0.268465	0.575126	0.0287055	0.0451746
ε	0.000918928	0.000232642	0.000687488	0.000580119	0.00425499	0.017139	0.0104276	0.268244	0.543031	0.105974	0.04851
d	0.0051911	0.000564271	0.000597816	0.000770432	0.00349852	0.0128243	0.00187714	0.352567	0.396623	0.0721946	0.153293
í	0.000418898	3.3997e-05	4.96239e-05	0.00017625	0.00027653	0.00316644	0.00324997	0.441536	0.185201	0.0213279	0.344564
</S>	0.00646677	0.000854295	0.000434263	0.000947454	0.00112004	0.0213027	0.0238594	0.270095	0.232784	0.0452105	0.396925
