 	nous	venons	d'	assister	à	la	danse	</S>
b	0.906573	0.0408103	0.0276593	0.00311511	0.00378083	0.0119849	0.00377196	0.00230495
í	0.972052	0.00619893	0.0101784	8.584e-05	0.000220843	0.00120438	0.0100188	4.10681e-05
s	0.99831	0.00141991	0.000126667	2.02549e-05	2.31941e-05	1.38361e-05	7.12326e-05	1.46304e-05
í	0.897141	0.0310622	0.0302108	0.00171044	0.00764226	0.00633331	0.0147544	0.0111453
l	0.0328499	0.483295	0.0435302	0.0323427	0.0283444	0.0155857	0.0049986	0.359054
é	0.0105466	0.181801	0.282363	0.0975175	0.092635	0.0366825	0.0234524	0.275002
w	0.00251737	0.880618	0.073934	0.0137943	0.00902049	0.00738635	0.000776569	0.011953
ú	0.0043872	0.605453	0.15457	0.174678	0.0344858	0.00888091	0.00103991	0.0165054
r	0.0511532	0.139355	0.517512	0.210855	0.0472693	0.0152602	0.00117879	0.0174162
u	0.0142927	0.160497	0.46891	0.163132	0.116028	0.0420859	0.00545468	0.0296003
o	0.0295213	0.0260751	0.529062	0.268756	0.0645745	0.0435886	0.0244696	0.0139534
t	0.000228964	0.0239061	0.0609993	0.745732	0.143713	0.0156291	0.00366802	0.00612336
á	7.28978e-05	0.00901849	0.0283255	0.801883	0.133291	0.00840533	0.00109885	0.0179048
á	0.00104844	0.0167679	0.0740964	0.656692	0.171239	0.0174855	0.00404625	0.0586244
i	0.00207953	0.00564192	0.176003	0.118566	0.270719	0.286344	0.071281	0.0693653
s	0.00180202	0.00219688	0.0156561	0.0412235	0.177798	0.318473	0.179923	0.262928
é	0.000868185	0.00175928	0.0108714	0.0113021	0.107308	0.398594	0.275888	0.193409
a	0.00046961	0.000354526	0.00422924	0.0155035	0.0427166	0.155735	0.608068	0.172923
</S>	8.42374e-05	0.000668904	0.012054	0.00620544	0.0700202	0.284082	0.231737	0.395148
