 	son	ami	l'	a	frappé	parce	qu'	il	ne	sait	pas	tenir	sa	langue	</S>
o	0.826825	0.0632607	0.0230378	0.00986047	0.0210298	0.0211932	0.011288	0.0045934	0.00474697	0.00258816	0.00577145	0.00479678	0.000880782	6.51882e-05	6.19079e-05
b	0.0420237	0.93456	0.0100638	0.00197807	0.000754501	0.000996598	0.000947829	0.000688249	0.00102283	0.000501023	0.00190273	0.00145031	0.000754767	0.00104362	0.00131146
i	0.013787	0.95314	0.00276522	0.00316407	0.0071169	0.0058481	0.00204112	0.00145911	0.00113916	0.000969542	0.00107996	0.00428337	0.000843564	0.00188188	0.00048045
a	0.0145511	0.893566	0.0210936	0.0144285	0.00637393	0.00249566	0.00201099	0.00404545	0.00420211	0.00457526	0.00215265	0.00766696	0.00209945	0.00269927	0.0180386
á	0.594464	0.0425603	0.198961	0.0506252	0.0208758	0.011508	0.0125347	0.0121399	0.0140963	0.012357	0.00906291	0.00413797	0.00625038	0.000439248	0.00998795
b	0.174337	0.0413776	0.271302	0.162528	0.0440137	0.0171594	0.0161122	0.0193155	0.0403093	0.0762668	0.0388794	0.0391407	0.0206874	0.00401367	0.0345571
έ	0.0307274	0.179075	0.118254	0.143909	0.147606	0.0876753	0.0520402	0.0425026	0.0617595	0.0329563	0.020289	0.0374199	0.0167508	0.00250655	0.0265282
r	0.0768093	0.0486906	0.16245	0.199465	0.0980287	0.0987196	0.0411374	0.0422823	0.0428318	0.0342585	0.0192403	0.0313165	0.0183248	0.00458077	0.0818636
i	0.115849	0.00160169	0.094162	0.120768	0.069149	0.148022	0.183817	0.07419	0.0355096	0.0295564	0.0733316	0.0184458	0.0158487	0.00742439	0.0123244
w	0.0198016	0.000486016	0.0470283	0.0861836	0.180984	0.242892	0.219409	0.12071	0.0238	0.0299617	0.00629441	0.00418432	0.00358841	0.00329733	0.0113785
a	0.0205604	0.000396931	0.0533774	0.0924619	0.0385991	0.382975	0.156328	0.0915648	0.019985	0.0131455	0.035325	0.0108598	0.0212001	0.0156563	0.0475645
t	0.00290949	0.000149446	0.0210525	0.0400234	0.0783942	0.446517	0.190625	0.141592	0.0227177	0.0190871	0.00769889	0.00484206	0.00525099	0.00301481	0.0161256
s	0.0294837	0.000432438	0.0612638	0.0979993	0.0384736	0.34098	0.164567	0.125427	0.0287328	0.0253033	0.0372943	0.00708554	0.0139672	0.0126062	0.0163837
í	0.000473918	0.00030241	0.0158203	0.0597302	0.165329	0.282688	0.121249	0.0797635	0.028756	0.0624965	0.0771614	0.0571153	0.011507	0.00826656	0.0293415
n	0.000937686	0.000852244	0.0145851	0.0367162	0.279586	0.448241	0.0835942	0.0433775	0.0160768	0.014247	0.00971294	0.00620852	0.00117043	0.0018644	0.0428291
a	0.00490785	0.00051171	0.0112602	0.028433	0.0161572	0.150116	0.131228	0.0532198	0.0161695	0.0108024	0.0228632	0.0199104	0.0081703	0.0302119	0.496039
a	0.00281765	6.13303e-05	0.012768	0.0202293	0.0137173	0.0565455	0.221946	0.21274	0.187673	0.102938	0.0935033	0.0391026	0.0185153	0.00343986	0.0140024
p	0.000962766	0.000911611	0.0125897	0.0314613	0.0156622	0.0124126	0.0199134	0.0429104	0.17141	0.373282	0.105635	0.156965	0.0360777	0.00752989	0.012276
é	0.000185015	0.000179219	0.00376619	0.0177369	0.00767811	0.0104258	0.011171	0.0335059	0.0872912	0.287912	0.279236	0.117062	0.0590164	0.0316428	0.0531911
n	0.000387722	0.000167184	0.00281458	0.0142983	0.0121033	0.0154463	0.0162268	0.0252872	0.0727734	0.32745	0.175593	0.172477	0.0319154	0.0192519	0.113808
d	0.00041951	0.000232981	0.00527675	0.0111459	0.00556865	0.0191643	0.0411883	0.0472821	0.137397	0.202652	0.251525	0.193614	0.0423011	0.0114621	0.0307698
í	0.000685025	0.000459573	0.0111981	0.0195613	0.0165367	0.0452274	0.0768984	0.092428	0.10734	0.116681	0.204787	0.143186	0.0487419	0.0433927	0.0728772
l	0.00132992	1.83941e-05	0.00351285	0.00415463	0.00368513	0.00590463	0.0274565	0.0229929	0.0630605	0.0715853	0.254762	0.241052	0.216824	0.0409594	0.0427017
e	0.00187625	0.000181688	0.00343021	0.00761953	0.00793524	0.00932229	0.00915107	0.00865009	0.0267499	0.0293771	0.110021	0.209879	0.195414	0.158558	0.221835
l	0.000413645	8.45554e-05	0.0024201	0.002801	0.00486677	0.00369667	0.00791794	0.00753783	0.0147198	0.00927004	0.0844706	0.111798	0.217002	0.446482	0.0865194
y	0.001191	0.000241911	0.00171357	0.00382865	0.00565461	0.00460523	0.00363663	0.00300332	0.00954389	0.0140636	0.0710673	0.226469	0.13881	0.405916	0.110255
é	0.000456738	0.000118373	0.00054466	0.00121018	0.0032463	0.001078	0.0011749	0.0018218	0.00703134	0.0160968	0.0683651	0.130228	0.0763158	0.646505	0.045808
m	3.25756e-05	1.97247e-05	0.00029527	0.000925505	0.0028981	0.000971476	0.00216968	0.00513207	0.0134975	0.053886	0.0737178	0.161589	0.155694	0.39523	0.133942
i	0.000756726	2.60591e-05	0.00143836	0.00387821	0.000889699	0.000661535	0.00343721	0.00821613	0.0175266	0.00659642	0.00855395	0.0295039	0.213328	0.434335	0.270852
</S>	0.000639078	1.56004e-05	0.00238222	0.00358169	0.00224464	0.000816391	0.00549537	0.00738976	0.0208511	0.0138104	0.0378164	0.0614693	0.211662	0.161947	0.469879
