 	j'	ai	un	ami	à	baya	</S>
n	0.701609	0.107326	0.0486508	0.0370626	0.0422147	0.0587105	0.00442594
g	0.99023	0.00244679	0.000657316	0.00345335	0.00273636	0.000360196	0.000116222
á	0.978934	0.0135286	0.00228418	0.00465768	0.000431398	0.000155146	8.62737e-06
i	0.0574489	0.239508	0.223871	0.201227	0.0710804	0.00584048	0.201026
d	0.0113604	0.525621	0.36785	0.0662191	0.0068096	0.00110305	0.0210373
í	0.0233645	0.852151	0.0844747	0.0304105	0.00151415	0.0013933	0.00669138
l	0.050662	0.139304	0.621367	0.0333059	0.0671503	0.0283088	0.0599017
a	0.020579	0.217926	0.38006	0.035418	0.0683417	0.0831323	0.194543
k	0.00356586	0.0912631	0.169621	0.457775	0.0701224	0.175154	0.0324984
a	0.00308936	0.0277062	0.163185	0.479959	0.0453601	0.26619	0.0145092
n	0.000197879	0.0204864	0.115626	0.659848	0.0770506	0.100521	0.0262696
g	0.000610926	0.0778351	0.419854	0.185408	0.0841104	0.056915	0.175267
a	0.00917057	0.0286744	0.041177	0.190936	0.291878	0.109274	0.32889
ó	0.000191574	0.0132322	0.0372416	0.00797473	0.392428	0.153746	0.395186
b	0.0010174	0.0669633	0.198463	0.00838028	0.203219	0.102255	0.419702
a	0.00248035	0.0404676	0.186322	0.0441991	0.208232	0.335948	0.18235
y	0.000367992	0.00540937	0.0447126	0.0221404	0.112004	0.300093	0.515273
á	0.000556237	0.014989	0.141463	0.0119231	0.272485	0.414239	0.144344
</S>	0.00474017	0.0086385	0.0228495	0.00577935	0.109415	0.1618	0.686777
